Log for: Sam Grieggs
2019-11-21 11:24:57,157: special: Key.shift_r pressed
2019-11-21 11:24:57,483: T pressed
2019-11-21 11:24:57,618: T released
2019-11-21 11:24:57,633: special: Key.shift_r released
2019-11-21 11:24:57,658: h pressed
2019-11-21 11:24:57,754: e pressed
2019-11-21 11:24:57,777: h released
2019-11-21 11:24:57,818: special: Key.space pressed
2019-11-21 11:24:57,881: e released
2019-11-21 11:24:57,953: special: Key.space released
2019-11-21 11:24:58,082: i pressed
2019-11-21 11:24:58,225: i released
2019-11-21 11:24:58,394: t pressed
2019-11-21 11:24:58,466: t released
2019-11-21 11:24:58,530: s pressed
2019-11-21 11:24:58,642: s released
2019-11-21 11:24:58,674: y pressed
2019-11-21 11:24:58,778: special: Key.space pressed
2019-11-21 11:24:58,801: y released
2019-11-21 11:24:58,857: special: Key.space released
2019-11-21 11:24:58,930: b pressed
2019-11-21 11:24:59,033: b released
2019-11-21 11:24:59,066: i pressed
2019-11-21 11:24:59,145: i released
2019-11-21 11:24:59,146: t pressed
2019-11-21 11:24:59,249: t released
2019-11-21 11:24:59,321: s pressed
2019-11-21 11:24:59,473: s released
2019-11-21 11:24:59,498: y pressed
2019-11-21 11:24:59,585: y released
2019-11-21 11:24:59,626: special: Key.space pressed
2019-11-21 11:24:59,754: special: Key.space released
2019-11-21 11:24:59,809: s pressed
2019-11-21 11:24:59,946: p pressed
2019-11-21 11:24:59,961: s released
2019-11-21 11:25:00,074: p released
2019-11-21 11:25:00,138: i pressed
2019-11-21 11:25:00,290: d pressed
2019-11-21 11:25:00,313: i released
2019-11-21 11:25:00,369: d released
2019-11-21 11:25:00,458: e pressed
2019-11-21 11:25:00,578: e released
2019-11-21 11:25:00,594: r pressed
2019-11-21 11:25:00,722: r released
2019-11-21 11:25:00,746: special: Key.space pressed
2019-11-21 11:25:00,833: special: Key.space released
2019-11-21 11:25:00,978: c pressed
2019-11-21 11:25:01,145: c released
2019-11-21 11:25:01,146: l pressed
2019-11-21 11:25:01,210: i pressed
2019-11-21 11:25:01,233: l released
2019-11-21 11:25:01,370: m pressed
2019-11-21 11:25:01,393: i released
2019-11-21 11:25:01,465: m released
2019-11-21 11:25:01,578: b pressed
2019-11-21 11:25:01,658: b released
2019-11-21 11:25:01,682: e pressed
2019-11-21 11:25:01,778: e released
2019-11-21 11:25:01,890: d pressed
2019-11-21 11:25:01,986: special: Key.space pressed
2019-11-21 11:25:02,017: d released
2019-11-21 11:25:02,089: u pressed
2019-11-21 11:25:02,145: special: Key.space released
2019-11-21 11:25:02,242: p pressed
2019-11-21 11:25:02,265: u released
2019-11-21 11:25:02,377: p released
2019-11-21 11:25:02,426: special: Key.space pressed
2019-11-21 11:25:02,529: special: Key.space released
