keyname,timepress,timerelease
shift,0,325
t,229,348
h,421,492
e,533,620
space,861,941
i,1005,1093
t,1125,1196
s,1317,1404
y,1445,1532
space,1613,1692
b,1757,1828
i,1910,2013
t,2141,2164
s,2165,2236
y,2317,2380
space,2517,2572
s,2637,2724
p,2741,2893
i,2838,2916
d,2973,3029
e,3158,3220
r,3181,3284
space,3309,3396
c,3461,3572
l,3541,3676
i,3637,3724
m,3701,3764
b,3869,3956
e,3981,4037
d,4133,4212
space,4237,4268
u,4389,4468
p,4565,4636
space,4709,4789
t,4862,4933
h,4973,5045
e,5061,5157
space,5157,5220
w,5317,5388
a,5493,5540
t,5597,5660
e,5717,5837
r,5813,5868
s,5949,6036
p,6037,6141
o,6437,6604
u,6573,6668
t,6725,6804
.,6901,6988
space,7469,7540
shift,7557,7709
d,7677,7764
o,7805,7884
w,7909,7980
n,8004,8076
space,8157,8268
c,8557,8636
a,8637,8708
m,8756,8828
e,8853,8932
space,8965,9044
t,9069,9124
h,9157,9244
e,9221,9300
space,9365,9444
r,9413,9500
a,9581,9644
i,9676,9780
n,9740,9836
space,9917,9996
a,10029,10076
n,10245,10324
d,10549,10628
space,10997,11077
w,11149,11229
a,11277,11348
s,11372,11452
h,11500,11596
e,11572,11636
d,11732,11812
space,11813,11885
t,11925,11988
h,12012,12084
e,12085,12172
space,12213,12276
s,12309,12388
p,12428,12548
i,12581,12636
d,12692,12772
e,12796,12964
r,12933,13012
space,13068,13132
o,13196,13333
u,13333,13364
t,13365,13452
.,13524,13684
shift,16038,16309
m,16205,16276
a,16389,16428
r,16565,16628
y,16669,16716
space,17518,17588
h,17685,17789
a,17789,17820
d,17957,18036
space,18333,18421
a,18565,18628
space,18764,18861
l,18909,19052
i,18997,19076
t,19365,19429
t,19541,19612
l,19724,19804
e,19845,19932
space,19988,20068
l,20069,20172
a,20196,20252
m,20276,20332
b,20445,20508
comma,20693,20756
space,21165,21260
shift,21277,21438
w,21373,21476
h,21508,21564
o,21621,21700
s,21748,21853
e,21877,21940
space,22028,22092
f,22132,22228
l,22252,22340
e,22364,22420
e,22501,22588
c,22669,22756
e,22925,22956
space,23510,23612
w,23581,23652
a,23709,23804
s,23781,23852
space,23892,23964
w,23981,24060
h,24140,24164
i,24141,24220
t,24196,24300
e,24301,24356
space,24388,24468
a,24493,24572
s,24549,24620
space,24644,24708
s,24756,24836
n,24853,24932
o,24988,25060
w,25092,25188
.,25220,25300
space,25613,25684
shift,25709,25853
a,25781,25876
n,25940,26036
d,26068,26132
space,26156,26244
e,26300,26412
v,26436,26532
e,26517,26636
r,26613,26676
y,26732,26828
w,27021,27101
h,27141,27196
e,27228,27420
r,27309,27444
e,27445,27492
space,27677,27780
t,27804,27877
h,27909,27997
a,27998,28036
t,28101,28172
space,28196,28260
shift,28333,28524
m,28452,28548
a,28621,28684
r,29021,29100
y,29149,29228
space,29958,30052
w,30029,30149
e,30150,30212
n,30268,30348
t,30388,30476
comma,30789,30885
space,31149,31196
t,31252,31332
backspace,31621,31685
shift,31797,31989
t,31926,32028
h,32133,32212
e,32276,32372
space,33053,33149
l,33301,33412
a,33436,33516
m,33548,33636
b,33757,33837
space,34094,34157
w,34237,34324
a,34429,34500
s,34444,34548
space,34676,34756
s,34789,34869
u,34901,35020
r,35221,35308
e,37021,37132
space,37317,37412
t,37436,37484
o,37524,37612
space,37636,37724
g,37805,37820
o,37853,37940
.,38092,38188
shift,53502,53821
h,53725,53844
u,53988,54060
m,54173,54268
p,54372,54468
t,54861,54940
y,55052,55148
space,56213,56308
shift,56364,56588
d,56492,56612
u,56636,56732
m,56861,56924
p,57853,57956
t,58004,58084
y,58204,58252
space,58957,59052
s,59068,59124
a,59212,59285
t,59340,59412
space,59452,59516
o,59548,59644
n,59612,59708
space,59740,59804
a,60037,60116
space,60148,60244
w,60293,60364
a,60420,60508
l,60524,60580
l,60652,60724
comma,60828,60885
space,61325,61404
shift,61428,61548
h,61524,61604
u,61692,61756
m,61870,61932
p,62020,62108
t,62156,62204
y,62300,62380
space,62444,62532
shift,62509,62724
d,62620,62700
u,62804,62876
m,63060,63076
p,63125,63221
t,63244,63324
y,63469,63508
space,63580,63652
h,63724,63836
a,63789,63860
d,63948,64044
