keyname,timepress,timerelease
shift,0,668
t,605,692
h,693,780
e,820,908
space,908,1020
i,996,1132
t,1132,1196
s,1316,1420
y,1452,1556
space,1596,1676
b,1772,1876
i,1852,1940
t,1980,2044
s,2156,2269
y,2246,2340
space,2364,2508
s,2508,2524
p,2548,2692
i,2660,2780
d,2780,2852
e,2948,3004
r,3085,3156
space,3180,3260
c,3372,3508
l,3484,3588
i,3692,3820
m,3772,3868
b,3852,3932
e,4060,4132
d,4212,4316
space,4340,4452
u,4420,4572
p,4572,4660
space,4684,4796
t,4748,4844
h,4876,4988
e,4972,5052
space,5028,5124
s,5284,5428
backspace,5612,5732
w,5676,5756
a,5860,5924
t,6044,6092
e,6213,6292
s,6508,6620
backspace,6828,6932
r,6892,6979
s,7076,7180
p,7149,7252
o,7380,7500
u,7452,7571
t,7596,7675
.,7756,7883
space,9413,9508
shift,10238,10388
d,10316,10436
o,10460,10524
w,10556,10627
n,10628,10748
space,10724,10843
c,10812,10875
a,10980,11075
m,11060,11171
space,11277,11316
backspace,11508,11619
e,11588,11683
space,11732,11859
t,11812,11883
h,11908,12019
e,11996,12083
space,12108,12203
r,12253,12324
a,12436,12531
i,12508,12627
n,12580,12667
space,12628,12731
a,12692,12803
n,12780,12915
d,12900,12979
space,12996,13091
w,13092,13147
backspace,13405,13516
w,14044,14123
a,14236,14308
s,14348,14444
h,14540,14651
e,14580,14628
d,14724,14819
space,14844,14924
t,14948,15011
h,15036,15131
e,15108,15179
space,15228,15276
s,15308,15396
p,15452,15603
i,15572,15699
d,15660,15723
e,15804,15875
r,15948,16027
space,16004,16059
o,16164,16292
u,16244,16372
t,16349,16420
.,16516,16627
shift,28246,28556
m,28476,28579
a,28604,28668
r,28772,28851
y,29028,29156
space,29228,29308
h,29356,29499
a,29476,29555
d,29644,29716
space,29692,29803
a,29828,29891
space,29868,29955
l,30044,30139
i,30261,30371
t,30340,30411
t,30468,30555
l,30532,30619
e,30644,30740
space,30708,30811
l,30836,30916
a,30940,31019
m,31132,31156
b,31237,31268
comma,31292,31395
space,31492,31548
shift,32069,32212
w,32156,32244
h,32268,32339
o,32308,32443
s,32420,32475
e,32556,32635
space,32660,32764
f,32788,32851
l,32884,32963
l,33044,33099
backspace,33316,33388
e,33412,33523
e,33596,33659
c,33788,33860
e,33972,34059
space,34028,34131
w,34164,34244
a,34372,34412
s,34548,34659
space,34684,34780
w,34796,34899
h,34924,35067
i,34972,35091
t,35068,35139
e,35260,35307
space,35284,35387
a,35428,35475
s,35572,35659
space,35604,35691
n,35764,35883
o,35828,35955
w,35916,36027
.,36100,36203
space,36284,36443
shift,36476,36740
shift,36885,37084
a,37020,37139
n,37164,37260
d,37388,37403
space,37404,37467
e,37740,37828
v,37948,38011
e,38124,38179
r,38244,38331
y,38300,38395
w,38436,38507
h,38508,38635
e,38612,38683
r,38748,38827
e,38932,39043
space,39020,39131
t,39604,39683
h,39708,39803
a,39916,39939
t,39996,40052
space,40077,40156
shift,40180,40292
m,40252,40347
a,40372,40411
y,40580,40715
backspace,40892,40980
r,40980,41099
y,41124,41260
space,41260,41307
w,41284,41371
e,41444,41531
n,41564,41739
t,41740,41795
comma,41876,42004
space,42092,42203
shift,42414,42604
t,42524,42627
h,42628,42707
e,42740,42827
space,42852,42915
l,42932,42995
a,43068,43131
m,43092,43228
space,43460,43515
backspace,43708,43811
b,43787,43883
space,43924,44051
w,44028,44139
a,44388,44491
s,44564,44659
space,44660,44739
