date,press,release,identity
2019-11-21,13:35:39.462:,13:35:40.154:,Key.shift
2019-11-21,13:35:40.067:,13:35:40.130:,T
2019-11-21,13:35:40.155:,13:35:40.242:,h
2019-11-21,13:35:40.282:,13:35:40.370:,e
2019-11-21,13:35:40.370:,13:35:40.594:,Key.space
2019-11-21,13:35:40.458:,13:35:40.482:,i
2019-11-21,13:35:40.594:,13:35:40.658:,t
2019-11-21,13:35:40.778:,13:35:40.882:,s
2019-11-21,13:35:40.914:,13:35:41.018:,y
2019-11-21,13:35:41.058:,13:35:41.138:,Key.space
2019-11-21,13:35:41.234:,13:35:41.402:,b
2019-11-21,13:35:41.314:,13:35:41.338:,i
2019-11-21,13:35:41.442:,13:35:41.506:,t
2019-11-21,13:35:41.618:,13:35:41.802:,s
2019-11-21,13:35:41.708:,13:35:41.731:,y
2019-11-21,13:35:41.826:,13:35:41.970:,Key.space
2019-11-21,13:35:41.970:,13:35:41.986:,s
2019-11-21,13:35:42.010:,13:35:42.242:,p
2019-11-21,13:35:42.122:,13:35:42.154:,i
2019-11-21,13:35:42.242:,13:35:42.314:,d
2019-11-21,13:35:42.410:,13:35:42.466:,e
2019-11-21,13:35:42.547:,13:35:42.618:,r
2019-11-21,13:35:42.642:,13:35:42.722:,Key.space
2019-11-21,13:35:42.834:,13:35:43.050:,c
2019-11-21,13:35:42.946:,13:35:42.970:,l
2019-11-21,13:35:43.154:,13:35:43.394:,i
2019-11-21,13:35:43.234:,13:35:43.282:,m
2019-11-21,13:35:43.314:,13:35:43.330:,b
2019-11-21,13:35:43.522:,13:35:43.594:,e
2019-11-21,13:35:43.674:,13:35:43.778:,d
2019-11-21,13:35:43.802:,13:35:44.034:,Key.space
2019-11-21,13:35:43.882:,13:35:43.914:,u
2019-11-21,13:35:44.034:,13:35:44.122:,p
2019-11-21,13:35:44.146:,13:35:44.306:,Key.space
2019-11-21,13:35:44.210:,13:35:44.258:,t
2019-11-21,13:35:44.338:,13:35:44.586:,h
2019-11-21,13:35:44.434:,13:35:44.450:,e
2019-11-21,13:35:44.490:,13:35:44.514:,Key.space
2019-11-21,13:35:44.746:,13:35:44.890:,s
2019-11-21,13:35:45.074:,13:35:45.218:,Key.backspace
2019-11-21,13:35:45.138:,13:35:45.194:,w
2019-11-21,13:35:45.322:,13:35:45.386:,a
2019-11-21,13:35:45.506:,13:35:45.554:,t
2019-11-21,13:35:45.675:,13:35:45.754:,e
2019-11-21,13:35:45.970:,13:35:46.082:,s
2019-11-21,13:35:46.290:,13:35:46.441:,Key.backspace
2019-11-21,13:35:46.354:,13:35:46.394:,r
2019-11-21,13:35:46.538:,13:35:46.714:,s
2019-11-21,13:35:46.611:,13:35:46.642:,p
2019-11-21,13:35:46.842:,13:35:47.033:,o
2019-11-21,13:35:46.914:,13:35:46.962:,u
2019-11-21,13:35:47.058:,13:35:47.137:,t
2019-11-21,13:35:47.218:,13:35:47.345:,.
2019-11-21,13:35:48.875:,13:35:48.970:,Key.space
2019-11-21,13:35:49.700:,13:35:49.898:,Key.shift
2019-11-21,13:35:49.778:,13:35:49.850:,D
2019-11-21,13:35:49.922:,13:35:49.986:,o
2019-11-21,13:35:50.018:,13:35:50.089:,w
2019-11-21,13:35:50.090:,13:35:50.337:,n
2019-11-21,13:35:50.186:,13:35:50.210:,Key.space
2019-11-21,13:35:50.274:,13:35:50.305:,c
2019-11-21,13:35:50.442:,13:35:50.633:,a
2019-11-21,13:35:50.522:,13:35:50.537:,m
2019-11-21,13:35:50.739:,13:35:50.778:,Key.space
2019-11-21,13:35:50.970:,13:35:51.145:,Key.backspace
2019-11-21,13:35:51.050:,13:35:51.081:,e
2019-11-21,13:35:51.194:,13:35:51.345:,Key.space
2019-11-21,13:35:51.274:,13:35:51.321:,t
2019-11-21,13:35:51.370:,13:35:51.545:,h
2019-11-21,13:35:51.458:,13:35:51.481:,e
2019-11-21,13:35:51.570:,13:35:51.665:,Key.space
2019-11-21,13:35:51.715:,13:35:51.786:,r
2019-11-21,13:35:51.898:,13:35:52.441:,a
2019-11-21,13:35:51.970:,13:35:51.993:,i
2019-11-21,13:35:52.042:,13:35:52.089:,n
2019-11-21,13:35:52.090:,13:35:52.129:,Key.space
2019-11-21,13:35:52.154:,13:35:52.193:,a
2019-11-21,13:35:52.242:,13:35:52.265:,n
2019-11-21,13:35:52.362:,13:35:52.377:,d
2019-11-21,13:35:52.458:,13:35:52.553:,Key.space
2019-11-21,13:35:52.554:,13:35:52.609:,w
2019-11-21,13:35:52.867:,13:35:52.978:,Key.backspace
2019-11-21,13:35:53.506:,13:35:53.585:,w
2019-11-21,13:35:53.698:,13:35:53.770:,a
2019-11-21,13:35:53.810:,13:35:53.906:,s
2019-11-21,13:35:54.002:,13:35:54.113:,h
2019-11-21,13:35:54.042:,13:35:54.090:,e
2019-11-21,13:35:54.186:,13:35:54.281:,d
2019-11-21,13:35:54.306:,13:35:54.386:,Key.space
2019-11-21,13:35:54.410:,13:35:54.473:,t
2019-11-21,13:35:54.498:,13:35:54.641:,h
2019-11-21,13:35:54.570:,13:35:54.593:,e
2019-11-21,13:35:54.690:,13:35:54.738:,Key.space
2019-11-21,13:35:54.770:,13:35:54.858:,s
2019-11-21,13:35:54.914:,13:35:55.185:,p
2019-11-21,13:35:55.034:,13:35:55.065:,i
2019-11-21,13:35:55.122:,13:35:55.161:,d
2019-11-21,13:35:55.266:,13:35:55.337:,e
2019-11-21,13:35:55.410:,13:35:55.521:,r
2019-11-21,13:35:55.466:,13:35:55.489:,Key.space
2019-11-21,13:35:55.626:,13:35:55.882:,o
2019-11-21,13:35:55.706:,13:35:55.754:,u
2019-11-21,13:35:55.811:,13:35:55.834:,t
2019-11-21,13:35:55.978:,13:35:56.089:,.
2019-11-21,13:36:07.708:,13:36:08.041:,Key.shift
2019-11-21,13:36:07.938:,13:36:08.018:,M
2019-11-21,13:36:08.066:,13:36:08.130:,a
2019-11-21,13:36:08.234:,13:36:08.313:,r
2019-11-21,13:36:08.490:,13:36:08.618:,y
2019-11-21,13:36:08.690:,13:36:08.770:,Key.space
2019-11-21,13:36:08.818:,13:36:09.017:,h
2019-11-21,13:36:08.938:,13:36:08.961:,a
2019-11-21,13:36:09.106:,13:36:09.265:,d
2019-11-21,13:36:09.154:,13:36:09.178:,Key.space
2019-11-21,13:36:09.290:,13:36:09.417:,a
2019-11-21,13:36:09.330:,13:36:09.353:,Key.space
2019-11-21,13:36:09.506:,13:36:09.601:,l
2019-11-21,13:36:09.723:,13:36:09.873:,i
2019-11-21,13:36:09.802:,13:36:09.833:,t
2019-11-21,13:36:09.930:,13:36:10.081:,t
2019-11-21,13:36:09.994:,13:36:10.017:,l
2019-11-21,13:36:10.106:,13:36:10.273:,e
2019-11-21,13:36:10.170:,13:36:10.202:,Key.space
2019-11-21,13:36:10.298:,13:36:10.378:,l
2019-11-21,13:36:10.402:,13:36:10.481:,a
2019-11-21,13:36:10.594:,13:36:10.618:,m
2019-11-21,13:36:10.699:,13:36:10.730:,b
2019-11-21,13:36:10.754:,13:36:10.857:,.
2019-11-21,13:36:10.954:,13:36:11.010:,Key.space
2019-11-21,13:36:11.531:,13:36:11.706:,Key.shift
2019-11-21,13:36:11.618:,13:36:11.674:,W
2019-11-21,13:36:11.730:,13:36:11.937:,h
2019-11-21,13:36:11.770:,13:36:11.801:,o
2019-11-21,13:36:11.882:,13:36:11.905:,s
2019-11-21,13:36:12.018:,13:36:12.097:,e
2019-11-21,13:36:12.122:,13:36:12.226:,Key.space
2019-11-21,13:36:12.250:,13:36:12.313:,f
2019-11-21,13:36:12.346:,13:36:12.425:,l
2019-11-21,13:36:12.506:,13:36:12.561:,l
2019-11-21,13:36:12.778:,13:36:12.850:,Key.backspace
2019-11-21,13:36:12.874:,13:36:12.985:,e
2019-11-21,13:36:13.058:,13:36:13.121:,e
2019-11-21,13:36:13.250:,13:36:13.322:,c
2019-11-21,13:36:13.434:,13:36:13.593:,e
2019-11-21,13:36:13.490:,13:36:13.521:,Key.space
2019-11-21,13:36:13.626:,13:36:13.706:,w
2019-11-21,13:36:13.834:,13:36:13.874:,a
2019-11-21,13:36:14.010:,13:36:14.121:,s
2019-11-21,13:36:14.146:,13:36:14.242:,Key.space
2019-11-21,13:36:14.258:,13:36:14.361:,w
2019-11-21,13:36:14.386:,13:36:14.601:,h
2019-11-21,13:36:14.434:,13:36:14.529:,i
2019-11-21,13:36:14.530:,13:36:14.553:,t
2019-11-21,13:36:14.722:,13:36:14.849:,e
2019-11-21,13:36:14.746:,13:36:14.769:,Key.space
2019-11-21,13:36:14.890:,13:36:14.937:,a
2019-11-21,13:36:15.034:,13:36:15.153:,s
2019-11-21,13:36:15.066:,13:36:15.121:,Key.space
2019-11-21,13:36:15.226:,13:36:15.489:,n
2019-11-21,13:36:15.290:,13:36:15.345:,o
2019-11-21,13:36:15.378:,13:36:15.417:,w
2019-11-21,13:36:15.562:,13:36:15.665:,.
2019-11-21,13:36:15.746:,13:36:15.905:,Key.space
2019-11-21,13:36:15.938:,13:36:16.202:,Key.shift
2019-11-21,13:36:16.347:,13:36:16.601:,Key.shift
2019-11-21,13:36:16.482:,13:36:16.546:,A
2019-11-21,13:36:16.626:,13:36:16.722:,n
2019-11-21,13:36:16.850:,13:36:16.865:,d
2019-11-21,13:36:16.866:,13:36:16.929:,Key.space
2019-11-21,13:36:17.202:,13:36:17.290:,e
2019-11-21,13:36:17.410:,13:36:17.473:,v
2019-11-21,13:36:17.586:,13:36:17.641:,e
2019-11-21,13:36:17.706:,13:36:17.857:,r
2019-11-21,13:36:17.762:,13:36:17.793:,y
2019-11-21,13:36:17.898:,13:36:17.969:,w
2019-11-21,13:36:17.970:,13:36:18.145:,h
2019-11-21,13:36:18.074:,13:36:18.097:,e
2019-11-21,13:36:18.210:,13:36:18.289:,r
2019-11-21,13:36:18.394:,13:36:18.593:,e
2019-11-21,13:36:18.482:,13:36:18.505:,Key.space
2019-11-21,13:36:19.066:,13:36:19.145:,t
2019-11-21,13:36:19.170:,13:36:19.265:,h
2019-11-21,13:36:19.378:,13:36:19.401:,a
2019-11-21,13:36:19.458:,13:36:19.514:,t
2019-11-21,13:36:19.539:,13:36:19.618:,Key.space
2019-11-21,13:36:19.642:,13:36:19.809:,Key.shift
2019-11-21,13:36:19.714:,13:36:19.754:,M
2019-11-21,13:36:19.834:,13:36:19.873:,a
2019-11-21,13:36:20.042:,13:36:20.177:,y
2019-11-21,13:36:20.354:,13:36:20.442:,Key.backspace
2019-11-21,13:36:20.442:,13:36:20.561:,r
2019-11-21,13:36:20.586:,13:36:20.722:,y
2019-11-21,13:36:20.722:,13:36:20.833:,Key.space
2019-11-21,13:36:20.746:,13:36:20.769:,w
2019-11-21,13:36:20.906:,13:36:20.993:,e
2019-11-21,13:36:21.026:,13:36:21.201:,n
2019-11-21,13:36:21.202:,13:36:21.257:,t
2019-11-21,13:36:21.338:,13:36:21.466:,.
2019-11-21,13:36:21.554:,13:36:21.665:,Key.space
2019-11-21,13:36:21.876:,13:36:22.089:,Key.shift
2019-11-21,13:36:21.986:,13:36:22.066:,T
2019-11-21,13:36:22.090:,13:36:22.169:,h
2019-11-21,13:36:22.202:,13:36:22.289:,e
2019-11-21,13:36:22.314:,13:36:22.377:,Key.space
2019-11-21,13:36:22.394:,13:36:22.457:,l
2019-11-21,13:36:22.530:,13:36:22.690:,a
2019-11-21,13:36:22.554:,13:36:22.593:,m
2019-11-21,13:36:22.922:,13:36:22.977:,Key.space
2019-11-21,13:36:23.170:,13:36:23.345:,Key.backspace
