keyname,timepress,timerelease
shift,0,293
t,165,261
h,421,493
e,517,669
space,597,692
i,805,877
t,981,1061
s,1269,1365
y,1421,1501
space,1605,1717
b,1893,1965
i,1989,2053
t,2173,2245
s,2429,2517
y,2653,2717
space,2797,2909
s,3053,3157
p,3181,3253
i,3373,3445
d,3469,3565
e,3685,3781
r,3757,3845
space,3990,4101
c,4317,4405
l,4429,4494
i,4598,4765
m,4766,4797
b,4861,4941
e,5029,5117
d,5205,5309
space,5269,5381
u,5405,5469
p,5525,5693
space,5670,5693
t,5813,5837
h,5837,5852
e,5885,5965
space,5941,6029
w,6077,6157
a,6373,6589
t,6485,6613
e,6677,6789
r,6765,6813
s,6957,7069
p,7045,7140
o,7429,7533
u,7573,7669
t,7709,7765
.,7845,7909
space,8214,8293
shift,8478,8734
d,8646,8734
o,8861,8940
w,8965,9021
n,9085,9156
space,9189,9260
c,9381,9444
a,9485,9580
m,9605,9677
space,9717,9828
e,9805,9909
backspace,10238,10301
backspace,10373,10445
e,10469,10549
space,10517,10621
t,10670,10741
h,10781,10837
e,10861,10957
space,10909,11013
r,11109,11197
a,11237,11348
i,11349,11461
n,11413,11516
space,11645,11749
a,11781,11893
n,11893,12053
d,12030,12077
space,12053,12156
w,12534,12597
a,12685,12805
s,12917,12989
h,13021,13093
e,13133,13261
d,13293,13380
space,13341,13452
t,13469,13557
h,13581,13661
e,13966,14061
space,14077,14164
s,14237,14340
p,14357,14437
i,14533,14588
d,14621,14684
e,14806,14932
r,14861,14972
space,14909,15029
o,15069,15180
u,15149,15236
t,15221,15284
.,15533,15580
shift,17239,17774
m,17741,17822
a,17917,18037
r,18005,18100
y,18165,18237
space,18301,18404
a,18429,18492
h,18549,18628
a,18838,18949
d,18989,19077
space,19173,19221
backspace,19381,19573
backspace,19645,19708
backspace,19725,19813
backspace,19894,20109
h,20245,20324
a,20349,20420
backspace,20581,20652
backspace,20725,20797
backspace,20877,20893
backspace,21022,21093
space,21349,21469
h,21549,21629
a,21669,21716
d,22246,22317
space,22413,22565
a,22565,22692
space,22669,22780
l,22901,22974
i,23077,23125
t,23181,23245
t,23317,23397
l,23461,23533
e,23557,23669
space,23645,23740
l,23861,23957
a,23981,24053
m,24117,24196
b,24309,24388
.,24581,24652
space,24861,24964
shift,24990,25269
w,25157,25245
h,25317,25404
o,25485,25564
s,25589,25684
e,25709,25852
space,25829,25932
f,26182,26221
l,26245,26300
e,26357,26428
e,26517,26564
c,26677,26780
e,26981,27070
space,27213,27301
w,27349,27444
a,27557,27732
s,27597,27733
space,27717,27812
w,27909,27997
h,28021,28085
i,28173,28220
t,28221,28309
e,28365,28468
space,28445,28548
a,28597,28804
s,28669,28806
space,28805,28876
s,29206,29293
n,29325,29388
o,29477,29556
w,29613,29692
.,29853,29932
space,29957,30045
shift,30094,30325
a,30229,30356
n,30477,30556
d,30597,30684
space,30837,30932
e,31406,31484
v,31597,31668
e,31773,31876
r,31853,31924
y,31989,32085
w,32117,32157
h,32509,32588
e,32605,32716
r,32685,32764
e,32789,32836
space,33085,33181
t,33221,33261
h,33893,34021
a,34037,34164
t,34069,34197
space,34165,34253
shift,34502,34724
m,34573,34636
a,34749,34884
r,34845,34940
y,34965,35045
space,35149,35253
w,35301,35428
e,35405,35476
n,35637,35708
t,35797,35868
.,36173,36229
space,36405,36484
shift,36525,36700
t,36653,36732
h,36757,36901
e,36925,36997
space,36949,37044
l,37077,37172
a,37366,37468
m,37549,37628
b,37701,37788
space,38358,38452
w,38517,38612
a,38733,38940
s,38805,38964
space,39654,39749
s,39845,39940
u,39981,40069
r,40101,40220
e,40566,40644
space,40717,40844
t,40868,40940
o,40964,41036
space,41061,41116
g,41197,41284
o,41309,41573
.,41574,41588
shift,43767,44165
h,44069,44141
u,44277,44324
m,44774,45053
p,45054,45076
t,45285,45364
y,45397,45461
space,45549,45652
shift,45829,46220
d,46117,46173
u,46325,46388
m,46525,46620
p,46685,46780
t,46893,46956
y,47021,47101
space,47213,47293
s,47510,47596
a,47701,47796
t,48165,48260
space,48381,48468
o,48549,48668
n,48621,48748
space,48725,48804
a,48933,48948
space,49630,49732
w,49845,49924
a,50038,50149
l,50173,50228
l,50285,50364
.,50525,50597
space,50773,50876
shift,50893,51061
h,51029,51180
u,51229,51292
m,51413,51492
p,51517,51629
t,51757,51828
y,51869,51948
space,52525,52621
shift,52878,53156
d,53037,53124
u,53213,53228
m,53438,53548
p,53637,53732
t,53917,53989
y,54014,54085
space,54325,54428
h,54774,54845
a,54869,54948
d,55021,55100
a,55237,55357
