date,press,release,identity
2019-11-21,11:16:34.153:,11:16:34.325:,Key.shift
2019-11-21,11:16:34.222:,11:16:34.302:,T
2019-11-21,11:16:34.358:,11:16:34.453:,h
2019-11-21,11:16:34.493:,11:16:34.629:,e
2019-11-21,11:16:34.653:,11:16:34.773:,Key.space
2019-11-21,11:16:34.774:,11:16:34.861:,i
2019-11-21,11:16:34.877:,11:16:34.925:,s
2019-11-21,11:16:35.125:,11:16:35.189:,Key.backspace
2019-11-21,11:16:35.213:,11:16:35.405:,t
2019-11-21,11:16:35.301:,11:16:35.325:,s
2019-11-21,11:16:35.445:,11:16:35.565:,y
2019-11-21,11:16:35.566:,11:16:35.677:,Key.space
2019-11-21,11:16:35.766:,11:16:35.861:,b
2019-11-21,11:16:35.885:,11:16:35.949:,i
2019-11-21,11:16:35.981:,11:16:36.053:,t
2019-11-21,11:16:36.141:,11:16:36.245:,s
2019-11-21,11:16:36.357:,11:16:36.541:,y
2019-11-21,11:16:36.470:,11:16:36.493:,Key.space
2019-11-21,11:16:36.605:,11:16:36.741:,s
2019-11-21,11:16:36.685:,11:16:36.709:,p
2019-11-21,11:16:36.853:,11:16:36.973:,i
2019-11-21,11:16:36.901:,11:16:36.925:,d
2019-11-21,11:16:37.045:,11:16:37.317:,e
2019-11-21,11:16:37.101:,11:16:37.149:,r
2019-11-21,11:16:37.205:,11:16:37.237:,Key.space
2019-11-21,11:16:37.558:,11:16:37.605:,l
2019-11-21,11:16:37.782:,11:16:37.845:,Key.backspace
2019-11-21,11:16:37.861:,11:16:37.989:,c
2019-11-21,11:16:37.933:,11:16:37.965:,l
2019-11-21,11:16:38.077:,11:16:38.141:,i
2019-11-21,11:16:38.229:,11:16:38.349:,m
2019-11-21,11:16:38.365:,11:16:38.446:,b
2019-11-21,11:16:38.573:,11:16:38.621:,e
2019-11-21,11:16:38.645:,11:16:38.726:,d
2019-11-21,11:16:38.749:,11:16:38.861:,Key.space
2019-11-21,11:16:38.861:,11:16:39.077:,u
2019-11-21,11:16:38.949:,11:16:38.997:,p
2019-11-21,11:16:39.021:,11:16:39.045:,Key.space
2019-11-21,11:16:39.149:,11:16:39.517:,t
2019-11-21,11:16:39.245:,11:16:39.269:,h
2019-11-21,11:16:39.333:,11:16:39.357:,e
2019-11-21,11:16:39.381:,11:16:39.413:,Key.space
2019-11-21,11:16:39.589:,11:16:39.717:,w
2019-11-21,11:16:39.718:,11:16:39.813:,a
2019-11-21,11:16:39.829:,11:16:39.925:,t
2019-11-21,11:16:39.949:,11:16:40.133:,e
2019-11-21,11:16:40.029:,11:16:40.069:,r
2019-11-21,11:16:40.165:,11:16:40.277:,s
2019-11-21,11:16:40.277:,11:16:40.333:,p
2019-11-21,11:16:40.437:,11:16:40.509:,o
2019-11-21,11:16:40.621:,11:16:40.845:,u
2019-11-21,11:16:40.725:,11:16:40.749:,t
2019-11-21,11:16:40.901:,11:16:41.013:,.
2019-11-21,11:16:41.069:,11:16:41.165:,Key.space
2019-11-21,11:16:41.598:,11:16:41.613:,Key.backspace
2019-11-21,11:16:41.669:,11:16:41.765:,Key.backspace
2019-11-21,11:16:41.829:,11:16:41.845:,.
2019-11-21,11:16:42.229:,11:16:42.397:,Key.backspace
2019-11-21,11:16:42.261:,11:16:42.285:,.
2019-11-21,11:16:42.742:,11:16:43.045:,Key.space
2019-11-21,11:16:42.862:,11:16:42.863:,Key.shift
2019-11-21,11:16:42.957:,11:16:43.021:,D
2019-11-21,11:16:43.077:,11:16:43.133:,o
2019-11-21,11:16:43.133:,11:16:43.205:,w
2019-11-21,11:16:43.229:,11:16:43.309:,n
2019-11-21,11:16:43.309:,11:16:43.381:,Key.space
2019-11-21,11:16:43.437:,11:16:43.781:,c
2019-11-21,11:16:43.525:,11:16:43.549:,a
2019-11-21,11:16:43.613:,11:16:43.637:,m
2019-11-21,11:16:43.693:,11:16:43.717:,Key.space
2019-11-21,11:16:44.165:,11:16:44.373:,Key.backspace
2019-11-21,11:16:44.213:,11:16:44.237:,e
2019-11-21,11:16:44.293:,11:16:44.333:,Key.space
2019-11-21,11:16:44.445:,11:16:44.597:,t
2019-11-21,11:16:44.509:,11:16:44.541:,h
2019-11-21,11:16:44.621:,11:16:44.821:,e
2019-11-21,11:16:44.725:,11:16:44.749:,Key.space
2019-11-21,11:16:44.997:,11:16:45.093:,r
2019-11-21,11:16:45.117:,11:16:45.205:,a
2019-11-21,11:16:45.229:,11:16:45.781:,i
2019-11-21,11:16:45.277:,11:16:45.357:,n
2019-11-21,11:16:45.357:,11:16:45.380:,Key.space
2019-11-21,11:16:45.421:,11:16:45.437:,a
2019-11-21,11:16:45.517:,11:16:45.541:,n
2019-11-21,11:16:45.573:,11:16:45.645:,d
2019-11-21,11:16:45.645:,11:16:45.757:,Key.space
2019-11-21,11:16:45.781:,11:16:45.845:,w
2019-11-21,11:16:45.885:,11:16:46.053:,a
2019-11-21,11:16:45.965:,11:16:46.021:,s
2019-11-21,11:16:46.053:,11:16:46.437:,h
2019-11-21,11:16:46.157:,11:16:46.181:,e
2019-11-21,11:16:46.229:,11:16:46.253:,d
2019-11-21,11:16:46.389:,11:16:46.413:,Key.space
2019-11-21,11:16:46.485:,11:16:46.789:,t
