keyname,timepress,timerelease
shift,0,189
t,110,221
h,221,317
e,269,396
space,357,492
i,461,572
s,549,628
backspace,886,981
t,982,1092
s,1069,1188
y,1213,1317
space,1365,1445
b,1517,1613
i,1693,1718
t,1742,1829
s,1805,1933
y,1981,2101
space,2077,2180
s,2237,2381
p,2317,2405
i,2453,2572
d,2541,2620
e,2677,2789
r,2741,2844
space,2821,2916
c,2973,3084
l,3037,3085
i,3165,3276
m,3229,3349
b,3293,3380
e,3437,3532
d,3565,3636
space,3757,3781
u,3781,3900
p,3821,3941
space,3901,3972
t,4029,4124
h,4301,4421
e,4445,4572
space,4541,4644
w,4773,4836
a,4965,5076
t,5101,5180
e,5205,5308
r,5277,5356
s,5437,5565
p,5581,5620
o,5717,5797
u,5901,6005
t,6005,6084
/,6277,6308
.,6277,6340
space,6381,6429
backspace,6717,6829
backspace,6853,6932
backspace,7261,7340
.,7470,7533
space,7557,7684
shift,7661,7813
d,7741,7836
o,7901,7972
w,7997,8076
n,8101,8180
space,8205,8300
s,8341,8404
backspace,8605,8693
c,8694,8812
a,8782,8884
m,8869,8964
e,8981,9092
space,9045,9140
t,9205,9324
h,9285,9372
e,9349,9444
space,9421,9525
t,9653,9773
backspace,9909,10004
r,9981,10100
a,10069,10196
i,10165,10308
n,10253,10340
space,10309,10404
a,10429,10517
n,10541,10621
d,10589,10700
space,10653,10772
w,10797,10876
a,10917,11084
s,11005,11108
h,11109,11244
e,11269,11372
d,11397,11508
space,11541,11628
t,11701,11820
h,11789,11884
e,11845,11940
space,11917,12028
s,12053,12108
p,12077,12188
i,12253,12356
d,12333,12396
e,12461,12557
r,12517,12612
space,12685,12789
o,12813,12877
u,12997,13076
t,13101,13196
.,13221,13276
shift,15063,15285
m,15253,15324
a,15357,15460
r,15437,15492
y,15573,15701
space,15669,15765
h,15789,15900
a,15877,15964
d,15933,16052
space,16021,16100
a,16125,16260
space,16237,16316
l,16293,16348
i,16437,16556
t,16477,16557
t,16597,16693
l,16718,16780
e,16757,16860
space,16845,16964
l,16941,17052
a,17053,17124
m,17605,17733
b,17757,17844
.,17989,18084
space,18245,18357
backspace,18477,18532
backspace,18661,18668
