keyname,timepress,timerelease
shift,0,157
t,77,158
h,236,300
e,317,397
space,421,485
i,1582,1644
t,1805,1876
s,1956,2028
y,2077,2132
space,3022,3100
b,3413,3484
i,3589,3652
t,3772,3828
s,3892,3956
y,3980,4036
space,4869,4940
s,5213,5276
p,5348,5420
i,5524,5589
d,5637,5708
e,5796,5876
r,5972,6044
space,7133,7212
c,7613,7677
l,7797,7860
i,7989,8044
m,8173,8236
b,8821,8884
e,8964,9028
d,9132,9204
space,9910,10108
u,10589,10652
p,10789,10860
space,10980,11052
t,11172,11196
h,11300,11348
e,11349,11405
space,11477,11548
w,12141,12220
a,12397,12476
t,12661,12716
e,12789,12860
r,12932,13020
space,13044,13124
backspace,13453,13508
s,14741,14797
p,14925,14996
o,15437,15548
u,15660,15716
t,15877,15948
.,23693,23756
space,25285,25300
shift,25486,25756
shift,26158,26348
d,26277,26324
o,26541,26596
w,26692,26748
n,26772,26828
space,26924,27004
c,27605,27660
a,27796,27868
space,28068,28084
t,28197,28260
h,28357,28420
e,28508,28524
space,28564,28644
r,29084,29156
a,29300,29380
i,29404,29460
n,29516,29620
space,29900,29980
a,30012,30116
n,30084,30164
d,30212,30276
space,30300,30348
w,31029,31092
a,31205,31268
s,31356,31420
h,31444,31484
e,31540,31596
d,31676,31748
space,31772,31836
t,32221,32276
h,32381,32452
e,32468,32532
space,32556,32628
s,32788,32860
p,33221,33284
i,33445,33500
d,33580,33652
e,33748,33812
r,33908,33972
space,34718,34812
o,35205,35285
u,35437,35500
t,35644,35692
.,36573,36644
m,41477,41548
e,41596,41652
shift,44902,45044
m,45012,45068
a,46389,46476
r,46877,46940
y,47149,47268
space,47316,47396
h,47605,47660
a,47684,47748
d,47876,47940
space,47996,48044
a,48092,48164
space,48228,48252
l,48749,48820
i,49004,49060
t,49212,49276
t,49356,49412
l,49565,49628
e,49660,49716
space,49764,49836
l,50397,50452
a,50508,50572
m,50629,50684
b,50980,51036
.,52005,52076
space,54101,54148
w,54861,54932
h,54956,55068
o,55092,55108
backspace,55452,55516
backspace,55604,55676
backspace,55836,55908
shift,56141,56364
w,56324,56397
h,56524,56596
o,56733,56804
s,56900,56996
e,57084,57156
space,58045,58148
f,58597,58660
l,58973,59036
e,59421,59476
e,59556,59636
c,59845,59916
e,60020,60084
space,60172,60252
w,60501,60564
a,60668,60756
s,60829,60908
space,60884,61020
h,61372,61468
w,61492,61556
i,61532,61588
backspace,62237,62300
backspace,62396,62436
backspace,62508,62580
w,62836,62900
h,63044,63116
i,63172,63228
t,63693,63756
e,63828,63892
space,63924,63996
a,64549,64636
s,64724,64804
space,64836,64916
s,65989,66052
n,66076,66139
o,66204,66283
w,66308,66363
.,68045,68116
space,68821,68900
shift,68973,69140
a,69084,69219
n,69196,69267
d,69324,69388
space,69412,69459
e,70029,70124
v,70172,70227
e,70260,70323
r,70421,70476
y,70980,71036
w,73341,73412
h,73452,73499
e,73588,73723
r,73916,73979
e,74093,74148
space,74709,74803
t,75469,75540
h,75620,75676
a,75700,75755
t,75780,75835
space,75892,75947
shift,76374,76548
m,76500,76572
a,76636,76715
r,76892,76955
y,76996,77043
space,77076,77139
w,77725,77804
e,77900,77971
n,77996,78051
t,78148,78212
.,79101,79171
space,79733,79812
shift,80044,80196
t,80172,80228
h,80332,80388
e,80389,80443
space,80476,80523
l,80660,80715
a,80740,80803
m,80836,80891
b,81052,81107
space,81709,81788
w,82076,82155
a,82244,82308
s,82397,82460
space,82516,82571
s,83252,83332
u,83396,83451
r,83492,83555
e,83636,83731
space,83700,83771
t,83852,83915
o,83884,83947
