keyname,timepress,timerelease
shift,0,262
t,158,285
h,389,518
e,462,621
space,566,717
i,741,885
n,854,973
t,933,1053
backspace,1254,1317
backspace,1397,1502
t,1526,1622
s,1646,1806
y,1894,1965
space,2134,2181
b,2230,2349
i,2365,2493
t,2462,2589
space,2566,2613
s,2645,2829
backspace,2941,2989
backspace,3053,3149
s,3174,3309
y,3310,3381
space,3413,3542
s,3678,3813
p,3829,3957
i,3981,4101
d,4197,4325
e,4389,4525
r,4501,4645
space,4606,4725
c,4837,4981
l,4933,5061
i,5085,5245
m,5213,5309
b,5413,5493
e,5509,5590
d,5686,5805
space,5782,5893
u,5870,6029
p,5982,6117
space,6149,6373
t,6374,6397
h,6397,6501
e,6437,6573
space,6517,6654
w,6670,6757
a,6781,6973
t,6997,7093
e,7125,7269
r,7245,7381
space,7341,7429
s,8055,8198
p,8221,8325
backspace,8542,8605
backspace,8686,8781
backspace,8838,8917
s,9158,9309
p,9278,9389
o,9429,9573
u,9638,9790
t,9838,9933
.,10069,10213
space,10245,10357
shift,10454,10614
d,10533,10645
w,10766,10901
backspace,11101,11165
o,11309,11421
w,11349,11517
n,11541,11654
space,11655,11774
c,11989,12085
a,12109,12261
m,12213,12333
e,12365,12494
space,12494,12589
t,12622,12742
h,12743,12829
e,12774,12909
space,12853,13005
r,13029,13141
a,13173,13317
i,13285,13397
n,13357,13533
space,13517,13621
a,14031,14053
n,14054,14149
d,14117,14253
space,14221,14349
w,14397,14485
a,14533,14662
s,14663,14814
h,14830,14933
e,14934,15037
d,15174,15317
space,15294,15413
t,15469,15597
h,15598,15733
e,15661,15797
space,15757,15853
s,15885,16029
p,16061,16165
i,16181,16309
d,16261,16357
e,16437,16565
r,16533,16685
space,16654,16765
o,16765,16877
u,16854,16989
t,16933,17045
.,17133,17237
shift,19175,19445
m,19366,19493
a,19494,19614
r,19589,19741
y,19718,19805
space,19829,19934
h,20070,20181
a,20157,20285
d,20309,20437
space,20389,20509
a,20485,20629
space,20606,20725
l,20701,20845
i,20821,20997
t,20918,20998
t,21053,21149
l,21173,21293
e,21245,21397
space,21341,21453
l,21509,21653
a,21781,21909
m,21910,21982
b,22118,22205
.,22678,22813
space,22845,22949
w,23062,23197
h,23237,23389
o,23358,23557
s,23598,23733
e,23982,24085
space,24109,24221
f,24317,24469
l,24437,24541
e,24573,24661
e,24773,24789
c,24949,25014
e,25126,25261
space,25230,25397
w,25357,25477
a,25493,25589
s,25621,25797
space,25765,25869
w,25925,26069
h,26054,26173
i,26117,26293
t,26237,26349
e,26325,26485
space,26445,26565
a,26566,26717
s,26741,26949
space,26886,27013
s,27037,27181
n,27158,27301
o,27261,27389
w,27357,27509
.,27533,27622
space,28222,28357
shift,28310,28638
a,28437,28573
n,28661,28749
d,28781,28893
space,29005,29118
e,29253,29325
v,29453,29509
e,29750,29885
r,29885,30053
y,30029,30117
w,30198,30293
h,30421,30541
e,30565,30693
r,30670,30797
e,30829,30973
space,30917,31045
t,31125,31253
h,31198,31317
a,31277,31413
t,31349,31477
space,31413,31525
shift,31734,31989
m,31877,32013
a,31933,32085
r,32214,32333
backspace,32630,32709
backspace,32783,32901
a,32878,33037
r,32957,33133
y,33109,33198
space,33310,33469
w,33501,33597
e,33805,33917
n,33941,34061
t,34125,34222
.,34437,34581
space,34557,34693
t,34813,34933
h,34965,35085
backspace,35310,35429
backspace,35453,35525
backspace,35606,35645
space,35893,35997
shift,35974,36237
t,36101,36213
h,36350,36437
e,36453,36581
space,36806,36917
l,36957,37077
a,37053,37189
m,37189,37294
b,37390,37477
space,37517,37653
w,37717,37805
a,37845,37973
s,37949,38093
space,38061,38229
s,38253,38333
u,38310,38429
r,38501,38557
e,38525,38605
space,38629,38797
t,38773,38893
o,38917,39029
space,39181,39285
g,39326,39429
o,39389,39485
.,39581,39709
left,42958,43245
left,43638,44381
left,44974,46021
right,46357,46478
left,49246,50861
left,51158,51669
left,52117,53429
right,54030,54261
left,54703,54821
right,54989,55757
backspace,56534,56622
shift,56895,57357
w,57158,57277
enter,57525,57645
shift,60063,60501
h,60326,60477
u,60613,60685
m,60854,60941
p,60925,61045
t,61085,61213
y,61189,61301
space,61317,61445
shift,61541,61741
d,61677,61717
u,61773,61869
m,61981,62149
p,62125,62245
t,62333,62445
y,62469,62549
space,62573,62685
s,62741,62974
a,62975,63069
t,63085,63229
space,63197,63317
o,63357,63517
n,63485,63605
space,63573,63693
a,63717,63845
space,63813,63949
w,63950,64069
a,64101,64253
l,64221,64277
l,64357,64445
.,64661,64805
space,64781,64926
shift,64974,65277
h,65149,65261
u,65357,65437
m,65557,65685
p,65701,65821
t,65869,66014
y,66037,66109
space,66133,66245
d,66678,66805
u,66805,66877
backspace,67158,67213
backspace,67293,67373
shift,67518,67654
d,67573,67685
u,67717,67813
m,68358,68429
p,68557,68677
t,68701,68853
y,68829,68941
space,68989,69085
h,69205,69341
a,69301,69413
d,69437,69597
space,69549,69669
a,69646,69773
space,69757,69885
g,69885,69989
r,70094,70205
e,70173,70308
a,70285,70428
t,70397,70588
space,70557,70605
f,70645,70757
a,70781,70925
l,70901,70965
l,71030,71133
.,71181,71293
space,71341,71461
shift,71605,71989
a,71885,72021
l,72086,72149
l,72237,72349
space,72317,72405
t,72429,72565
h,72542,72637
e,72605,72757
space,72701,72829
k,72805,72885
i,72973,73077
n,73053,73205
g,73133,73244
',73333,73476
s,73421,73556
space,73533,73661
h,73757,73909
o,73877,74013
r,74053,74165
s,74181,74333
e,74365,74476
s,74541,74685
space,74654,74780
a,74805,74908
n,74885,75013
d,74957,75076
space,75053,75173
a,75213,75365
l,75341,75420
l,75501,75613
space,75645,75757
t,75781,75901
h,75877,75965
e,75901,76045
space,75989,76125
k,76158,76237
i,76333,76397
n,76373,76589
g,76477,76589
',76589,76725
s,76726,76860
space,76845,76972
m,77005,77133
e,77149,77253
n,77254,77373
space,77870,77997
shift,78021,78278
c,78190,78301
o,78365,78460
u,78477,78588
l,78557,78756
d,78693,78812
n,78829,79020
',78997,79140
t,79061,79196
space,79165,79309
p,79477,79637
u,79605,79740
t,79709,79829
space,79853,79932
h,80061,80164
backspace,80510,80605
shift,80909,81205
h,81045,81141
u,81302,81381
m,81565,81701
p,81725,81837
t,81901,82020
y,82045,82116
space,82189,82309
t,82542,82685
o,82639,82749
g,82781,82861
e,82941,83060
t,83037,83157
h,83197,83325
e,83269,83421
r,83397,83605
space,83565,83701
a,83677,83813
g,83853,84012
a,83981,84140
i,84117,84196
n,84165,84357
.,84334,84485
shift,87335,87526
t,87406,87557
w,87581,87693
i,87695,87821
n,87797,87949
k,87925,88020
l,88165,88341
e,88365,88485
.,88533,88661
space,88637,88740
t,88933,89013
w,89077,89173
i,89189,89325
n,89301,89469
k,89438,89573
l,89613,89805
e,89829,89956
.,89981,90116
space,90101,90204
l,90333,90404
i,90381,90525
t,90549,90597
t,90677,90789
l,90813,90997
e,90973,91044
s,91181,91276
backspace,91518,91637
space,91606,91757
s,91725,91821
t,91837,91956
a,91933,92101
r,92125,92221
.,92461,92613
space,92590,92700
shift,92879,93077
h,93037,93165
o,93245,93365
w,93341,93485
space,93461,93573
shift,93735,93957
i,93821,93933
space,93933,94044
w,94021,94157
o,94117,94204
u,94205,94301
backspace,94566,94677
n,94853,94973
d,95077,95173
e,95309,95380
r,95357,95589
space,95509,95621
w,95725,95844
h,95821,95948
a,95885,96044
t,96013,96148
space,96117,96244
o,96277,96468
y,96445,96508
backspace,96726,96804
backspace,96877,96973
y,97061,97140
o,97101,97276
u,97245,97372
space,97349,97468
a,97493,97629
r,97653,97748
e,97701,97860
shift,97957,98260
!,98085,98212
space,98798,98924
shift,98957,99373
u,99261,99374
p,99541,99661
space,99701,99836
a,99909,100068
b,100046,100148
o,100173,100284
v,100349,100437
e,100517,100613
space,100565,100693
t,100821,100860
h,100845,100956
e,100901,101036
space,100981,101108
w,101109,101212
o,101213,101316
r,101341,101436
l,101461,101605
d,101573,101701
space,101669,101789
s,101965,102108
o,102021,102172
space,102149,102252
h,102429,102548
i,102581,102693
g,102717,102852
h,102829,102932
.,103029,103148
space,103173,103300
shift,104207,104405
l,104349,104492
i,104605,104628
k,104709,104821
e,104765,104900
space,104861,104980
a,105013,105172
space,105125,105236
d,105285,105420
i,105445,105572
a,105597,105772
m,105749,105892
o,105869,106028
n,105989,106124
d,106085,106308
space,106197,106332
i,106333,106396
n,106365,106508
space,106445,106540
t,106613,106732
h,106709,106845
e,106773,106932
space,106877,107012
s,107029,107140
k,107221,107356
y,107509,107588
.,107805,107981
backspace,108942,109037
.,109357,109437
