keyname,timepress,timerelease
shift,0,494
t,406,462
h,542,629
e,606,669
space,630,693
i,726,781
t,871,933
s,958,1021
y,1046,1125
space,1141,1205
b,1262,1325
i,1406,1494
s,1510,1581
backspace,2110,2181
t,2342,2405
s,2430,2494
y,2526,2581
space,2606,2645
s,2686,2797
p,2774,2846
i,2926,3005
d,3030,3093
e,3094,3229
r,3206,3285
space,3358,3413
c,3790,3823
l,3934,3997
i,4094,4157
m,4230,4301
b,4398,4461
e,4462,4566
d,4534,4653
space,4726,4741
y,4790,4805
p,5206,5229
backspace,5422,5477
backspace,5599,5670
u,6071,6133
p,6222,6277
space,6310,6365
t,6414,6461
h,6534,6614
e,6582,6645
space,6686,6757
w,6734,6838
a,6894,6973
t,6950,7021
e,7086,7189
r,7166,7229
s,7318,7397
p,7478,7557
o,7694,7765
y,7951,8022
backspace,8422,8502
u,8702,8774
t,8830,8910
.,9470,9541
space,9695,9749
shift,9774,10006
d,9950,10029
o,10030,10101
w,10230,10253
n,10254,10317
space,10429,10517
c,10646,10726
a,10824,10893
m,10958,10997
e,11022,11069
space,11110,11189
t,11214,11285
h,11358,11429
e,11382,11453
space,11493,11557
r,11558,11613
a,11718,11773
i,11774,11846
n,11918,11989
space,12014,12061
a,12038,12157
n,12158,12213
d,12181,12245
space,12294,12365
w,12326,12366
a,12462,12557
s,12525,12589
h,12613,12758
e,12759,12781
d,12846,12933
space,12886,12965
t,12966,13021
h,13102,13173
e,13126,13197
space,13221,13269
s,13293,13349
p,13365,13421
i,13494,13629
d,13550,13630
e,13630,13750
r,13725,13805
space,13830,13861
o,13910,13989
u,14086,14149
t,14150,14237
.,14301,14333
shift,16095,16614
m,16534,16615
a,16694,16806
r,16934,16973
y,17029,17101
space,17134,17173
h,17622,17693
a,17694,17774
d,17823,17893
space,17870,17941
a,17990,18069
space,18046,18093
l,18134,18189
i,18270,18341
t,18310,18381
t,18430,18517
l,18542,18629
e,18630,18701
space,18774,18789
l,18838,18926
a,18942,18989
m,19030,19093
b,19750,19805
comma,19951,19997
space,20046,20133
shift,20486,20710
w,20678,20773
h,20750,20805
o,20886,20966
s,21254,21333
e,21389,21445
space,21477,21533
f,21573,21645
l,21814,21893
e,21934,21997
e,22086,22149
x,22270,22341
e,22510,22597
backspace,22758,22829
backspace,22902,22998
c,23030,23189
e,23158,23213
space,23286,23365
w,23422,23485
a,23590,23693
s,23670,23733
space,23758,23789
w,23967,24038
h,24142,24205
i,24310,24373
t,24502,24549
e,24582,24653
space,24710,24757
a,24798,24917
s,24894,24973
space,24997,25062
s,25117,25213
n,25261,25373
o,25413,25485
w,25510,25573
.,25622,25685
space,25766,25837
shift,25862,26165
a,26078,26285
n,26310,26357
d,26446,26501
space,26806,26878
e,26926,26989
v,27021,27094
e,27109,27293
r,27270,27293
y,27317,27389
w,27549,27637
h,27693,27765
e,27789,27885
r,27862,27981
e,27957,28029
space,28053,28101
t,28126,28197
h,28278,28373
a,28350,28405
t,28446,28533
shift,28510,28669
space,28533,28581
a,28645,28725
m,28702,28773
r,28854,28949
y,28989,29061
backspace,29334,29389
backspace,29469,29525
backspace,29597,29653
backspace,29725,29813
shift,29838,29989
m,29958,30013
a,30077,30166
r,30262,30341
y,30373,30453
space,30501,30565
w,30613,30749
e,30725,30773
n,30797,30854
t,30974,31037
comma,31206,31269
space,31381,31437
shift,32168,32357
t,32302,32358
h,32470,32533
e,32549,32629
space,32653,32717
l,32781,32854
a,32893,32965
m,33326,33389
b,33517,33589
space,33645,33717
w,33741,33781
a,33870,33957
s,33933,34013
space,34037,34077
s,34109,34189
u,34165,34245
r,34310,34405
e,34373,34501
space,34437,34525
t,34549,34605
o,34757,34773
space,34797,34861
g,34885,34933
o,35005,35061
.,35358,35421
shift,37119,37558
h,37510,37581
u,37613,37685
m,37758,37838
p,37894,37973
t,37997,38077
y,38101,38157
space,38189,38253
shift,38230,38406
d,38382,38429
u,39094,39157
m,39229,39309
[,39398,39437
t,39469,39557
y,39621,39693
space,39733,39765
backspace,39934,39989
backspace,40061,40133
backspace,40197,40261
backspace,40333,40430
p,40534,40589
t,40758,40837
y,40861,40941
space,41005,41085
s,41734,41823
a,41886,41965
t,41989,42037
space,42061,42133
o,42254,42349
n,42406,42469
space,42470,42541
a,42517,42597
w,42621,42693
space,42645,42717
a,42773,42877
l,42838,42901
l,42965,43029
comma,43125,43157
backspace,43293,43357
backspace,43414,43469
backspace,43541,43605
backspace,43677,43733
backspace,43805,43862
backspace,43934,44013
space,44085,44181
w,44165,44205
a,44277,44357
l,44333,44397
l,44462,44525
.,45566,45637
space,45685,45741
shift,45765,45998
h,45878,46021
u,46022,46053
m,46141,46197
p,46269,46365
t,46389,46469
y,46534,46629
space,46701,46717
shift,46911,47013
backspace,47085,47781
