date,press,release,identity
2019-11-21,12:05:41.874:,12:05:42.368:,Key.shift
2019-11-21,12:05:42.280:,12:05:42.336:,T
2019-11-21,12:05:42.416:,12:05:42.567:,h
2019-11-21,12:05:42.480:,12:05:42.503:,e
2019-11-21,12:05:42.504:,12:05:42.543:,Key.space
2019-11-21,12:05:42.600:,12:05:42.655:,i
2019-11-21,12:05:42.745:,12:05:42.807:,t
2019-11-21,12:05:42.832:,12:05:42.895:,s
2019-11-21,12:05:42.920:,12:05:42.999:,y
2019-11-21,12:05:43.015:,12:05:43.079:,Key.space
2019-11-21,12:05:43.136:,12:05:43.199:,b
2019-11-21,12:05:43.280:,12:05:43.368:,i
2019-11-21,12:05:43.384:,12:05:43.455:,s
2019-11-21,12:05:43.984:,12:05:44.055:,Key.backspace
2019-11-21,12:05:44.216:,12:05:44.279:,t
2019-11-21,12:05:44.304:,12:05:44.368:,s
2019-11-21,12:05:44.400:,12:05:44.455:,y
2019-11-21,12:05:44.480:,12:05:44.519:,Key.space
2019-11-21,12:05:44.560:,12:05:44.720:,s
2019-11-21,12:05:44.648:,12:05:44.671:,p
2019-11-21,12:05:44.800:,12:05:44.879:,i
2019-11-21,12:05:44.904:,12:05:44.967:,d
2019-11-21,12:05:44.968:,12:05:45.159:,e
2019-11-21,12:05:45.080:,12:05:45.103:,r
2019-11-21,12:05:45.232:,12:05:45.287:,Key.space
2019-11-21,12:05:45.664:,12:05:45.697:,c
2019-11-21,12:05:45.808:,12:05:45.871:,l
2019-11-21,12:05:45.968:,12:05:46.031:,i
2019-11-21,12:05:46.104:,12:05:46.175:,m
2019-11-21,12:05:46.272:,12:05:46.335:,b
2019-11-21,12:05:46.336:,12:05:46.527:,e
2019-11-21,12:05:46.408:,12:05:46.440:,d
2019-11-21,12:05:46.600:,12:05:46.615:,Key.space
2019-11-21,12:05:46.664:,12:05:46.679:,y
2019-11-21,12:05:47.080:,12:05:47.103:,p
