keyname,timepress,timerelease
shift,0,597
t,502,629
h,709,917
space,941,980
shift,965,1012
i,1357,1436
t,1485,1556
backspace,4030,4221
backspace,4277,4485
backspace,4918,5085
e,6262,6349
space,7062,7141
i,8510,8597
t,8645,8773
s,8837,8925
y,9045,9133
space,9333,9404
b,9469,9548
i,9637,9724
t,9749,9828
s,9885,9973
t,10085,10141
backspace,10741,10845
y,10981,11053
space,11710,11773
s,12062,12157
p,12205,12356
i,12309,12404
d,12461,12628
e,12541,12700
r,12725,12789
space,12982,13077
c,13126,13197
l,13221,13348
i,13285,13388
m,13789,13868
b,14006,14077
e,14117,14197
d,14293,14396
space,14381,14444
u,14525,14596
p,14669,14740
space,14765,14844
t,14868,14932
h,14957,15029
e,15030,15109
space,15142,15229
w,15301,15316
a,15389,15452
t,15541,15612
e,15685,15796
r,15765,15860
s,16166,16308
p,16341,16485
o,16517,16668
u,16669,16748
t,16853,16908
.,17005,17085
space,21198,21260
shift,21309,21524
d,21501,21525
o,21581,21660
w,21685,21756
n,21789,21868
space,21958,22036
c,22069,22156
a,22133,22220
m,22245,22324
e,22349,22420
space,22397,22460
t,22525,22588
h,22612,22668
e,22693,22748
space,22781,22876
r,22853,22932
a,23005,23076
i,23077,23156
n,23125,23204
space,23229,23292
a,23269,23324
n,23389,23460
d,23444,23516
space,23517,23604
w,23629,23692
a,23772,23836
s,23837,23909
h,23949,24036
e,24037,24116
d,24198,24284
space,24309,24396
t,24829,24900
h,24924,25004
e,25036,25116
space,25133,25213
s,25237,25316
p,25405,25452
i,25428,25484
d,25524,25580
e,25660,25756
r,25724,25812
space,25836,25916
o,25964,26132
u,26108,26156
t,26156,26204
.,26357,26436
shift,39270,39797
m,39573,39660
a,39893,39948
r,40044,40125
y,40197,40276
space,40428,40492
h,40589,40676
a,40701,40732
d,40821,40892
space,40949,41004
a,41044,41125
space,41149,41228
l,41317,41428
i,41388,41468
t,41516,41556
t,41661,41724
l,41764,41844
e,41860,41932
space,42693,42756
l,42813,42924
a,42925,42988
m,43076,43156
b,43268,43340
d,43364,43428
backspace,43869,43933
comma,44117,44188
space,45549,45628
shift,45653,45940
w,45805,45916
h,46068,46148
o,46228,46324
s,46444,46532
e,46652,46725
space,54973,55077
f,55053,55148
l,55172,55276
e,55260,55324
e,55412,55508
c,55612,55636
e,55676,55812
space,56469,56565
w,56566,56612
s,56732,56812
backspace,57166,57252
a,57276,57380
s,57357,57404
space,57837,57941
w,57942,58004
h,58005,58125
i,58101,58172
t,58196,58340
e,58317,58388
space,58436,58508
a,58532,58604
s,58580,58660
space,58692,58773
s,58853,58932
n,58949,59012
o,59100,59172
w,59212,59284
.,59364,59428
space,59596,59660
shift,59765,59948
a,59868,59949
n,60069,60164
d,60188,60260
space,60300,60372
e,60468,60572
v,60604,60716
e,60692,60820
r,60796,60892
y,61045,61116
w,61357,61436
h,61468,61532
e,61580,61692
r,61692,61812
e,61780,61884
space,61964,62020
t,62045,62100
h,62413,62500
a,62524,62572
t,62660,62740
space,62780,62860
shift,62908,63109
m,63021,63110
a,63157,63212
r,63348,63388
y,63412,63508
space,63628,63700
w,63756,63860
e,63836,63988
n,64012,64036
t,64085,64156
comma,64220,64308
space,64356,64412
shift,64516,64660
shift,64861,65134
t,65093,65180
h,65276,65356
e,65484,65508
space,65604,65676
a,65924,65948
m,66036,66100
b,66237,66316
space,66789,66892
backspace,67253,67316
backspace,67436,67484
backspace,67596,67668
backspace,67764,67820
l,68437,68548
a,68572,68636
m,68676,68756
b,68884,68940
space,69381,69436
w,69620,69732
a,69804,69924
s,69852,69948
space,70469,70548
s,70668,70748
u,70796,70868
r,70932,71052
e,71012,71100
space,71197,71277
t,72229,72317
o,72348,72436
space,72500,72596
g,72652,72716
o,72756,72852
.,72964,73053
enter,76606,76700
shift,80134,80493
h,80397,80516
u,80620,80684
