keyname,timepress,timerelease
shift,0,117
t,93,164
h,277,341
e,341,413
space,453,501
i,605,692
t,661,733
s,909,1029
y,2670,2741
space,2918,2998
b,3518,3589
i,3685,3749
t,3765,3829
s,3965,4077
y,4101,4157
space,4309,4381
s,4910,4997
p,5021,5117
i,5197,5277
d,5301,5372
e,5357,5428
r,5469,5549
space,5589,5645
c,6166,6237
l,6301,6373
i,6461,6533
m,6645,6701
b,6741,6844
e,6958,7053
d,7013,7165
space,7213,7293
u,8142,8213
p,8214,8285
space,8429,8492
t,8541,8613
h,8637,8708
e,8733,8812
space,8845,8925
w,9542,9645
a,9781,9860
t,10014,10085
e,10109,10189
r,10229,10324
s,10549,10669
p,10725,10844
o,10781,10876
u,11006,11093
t,11093,11181
.,11941,12005
space,12149,12221
shift,12502,12829
d,12741,12830
o,12965,13045
w,13398,13492
n,13589,13660
space,13773,13860
c,13837,13900
a,14006,14093
m,14133,14204
e,14229,14316
space,14357,14436
t,14461,14540
h,14573,14653
e,14653,14748
space,14885,15021
r,15325,15405
a,15501,15596
i,15621,15708
n,15661,15748
space,16670,16740
a,16829,16908
n,16997,17076
d,17109,17196
space,17221,17300
w,17413,17492
a,17709,17796
s,17925,17940
h,18326,18396
e,18421,18500
d,18557,18652
space,18749,18828
t,19782,19861
h,19901,19972
e,19997,20060
space,20101,20181
s,20213,20308
p,20389,20484
i,20453,20540
d,20541,20612
e,20637,20692
r,20717,20804
space,20805,20844
o,20981,21068
u,21021,21148
t,21149,21221
.,21349,21412
shift,23799,24061
m,23990,24062
a,24109,24180
r,24253,24349
y,24349,24404
space,24525,24588
h,24701,24836
a,24861,24884
d,24941,25029
space,25077,25140
a,25165,25260
space,25285,25340
l,25453,25516
i,25645,25724
t,25749,25804
t,25909,25972
l,26005,26068
e,26093,26156
space,26189,26244
l,26365,26444
a,26469,26548
m,26597,26652
b,26813,26884
e,26917,26989
comma,28382,28461
space,28533,28604
shift,28725,28853
w,28829,28892
h,29053,29188
o,29133,29260
s,29237,29308
e,29309,29421
space,29477,29556
f,30333,30405
l,30437,30500
e,30525,30596
e,30693,30780
c,30925,31021
e,31053,31132
space,31269,31348
w,31822,31893
a,32069,32172
h,32318,32381
t,32413,32477
space,32541,32605
backspace,33134,33212
backspace,33309,33396
backspace,33773,33844
backspace,34141,34156
a,34717,34821
s,34893,34989
space,35102,35165
w,35357,35396
h,36238,36324
i,36301,36388
s,36413,36492
t,36661,36781
e,36805,36900
backspace,37165,37244
backspace,37325,37396
backspace,37485,37572
t,37549,37628
e,37597,37676
space,37829,37900
a,38005,38132
s,38101,38220
space,38277,38332
s,38396,38468
n,38565,38676
o,38653,38732
w,38764,38868
.,39646,39724
space,40341,40412
shift,40557,40773
a,40653,40774
n,40901,41004
d,40981,41052
space,41109,41188
e,41140,41236
v,41340,41388
e,41420,41540
r,41541,41621
y,41741,41828
w,41909,42004
u,42077,42140
e,42173,42316
h,42420,42548
backspace,43094,43140
backspace,43293,43364
backspace,43517,43588
h,44454,44572
e,44597,44644
r,44669,44749
e,44750,44860
space,44885,44948
t,47701,47781
h,47805,47876
a,47957,48012
t,48133,48164
space,48165,48196
shift,48365,48572
m,48548,48596
a,48660,48789
r,48765,48844
y,48845,48916
space,49062,49140
w,49172,49268
e,49365,49444
n,49484,49572
t,49596,49676
comma,50894,50972
space,51069,51140
shift,51325,51444
t,51412,51468
h,51588,51652
e,51789,51900
space,51877,51940
l,52149,52228
