keyname,timepress,timerelease
shift,0,365
t,269,333
h,485,565
e,597,692
space,645,740
i,837,917
s,973,1173
t,1069,1173
backspace,1333,1397
backspace,1477,1549
t,1581,1661
s,1973,2053
y,2054,2141
space,2277,2357
b,2581,2637
i,2685,2749
t,2845,2933
s,3102,3189
y,3341,3397
space,3469,3564
s,3653,3772
p,3749,3844
i,3942,3997
d,4046,4125
e,4261,4420
r,4333,4452
space,4397,4508
c,4701,4789
l,4789,4853
i,4973,5101
m,5078,5173
b,5277,5357
e,5469,5517
d,5661,5764
space,5749,5861
u,6094,6173
p,6269,6357
space,6357,6461
t,6477,6581
h,6549,6620
space,6701,6757
backspace,7222,7293
e,7309,7405
space,7381,7484
w,7525,7621
a,7709,7812
t,7925,8005
e,8101,8213
r,8166,8260
s,8421,8572
p,8573,8636
o,8757,8845
backspace,9086,9157
o,9477,9549
u,9685,9757
t,9861,9925
.,10133,10213
space,10469,10557
shift,10613,11053
d,10869,10925
o,11238,11316
w,11349,11428
n,11525,11588
space,11613,11725
c,11877,11964
a,12029,12140
m,12117,12188
e,12269,12380
space,12381,12476
t,12509,12572
h,12613,12716
e,12685,12796
space,12773,12868
r,12949,13044
a,13109,13229
i,13205,13316
n,13269,13388
space,13597,13717
a,13917,14012
n,14069,14148
d,14125,14236
space,14213,14301
w,14333,14420
a,14501,14612
s,14733,14828
h,14877,14980
e,15021,15100
d,15213,15332
space,15301,15404
t,15797,15877
h,15909,16004
e,16029,16116
space,16077,16180
s,16501,16588
p,16621,16684
i,16789,16860
d,16877,16948
e,17069,17188
r,17133,17220
space,17389,17484
o,17557,17652
u,17629,17724
t,17701,17764
.,17861,17941
shift,20183,20661
m,20558,20621
a,20805,20941
r,21117,21188
y,21261,21308
space,21397,21493
h,22166,22245
a,22277,22388
d,22493,22573
space,22709,22804
a,23029,23068
space,23173,23292
l,23349,23420
i,23525,23581
t,23629,23685
t,23765,23829
l,23877,23964
e,23989,24060
space,24213,24316
l,24902,24981
a,25013,25093
m,25253,25324
b,25421,25509
.,25973,26029
space,26493,26589
shift,26694,26989
w,26877,26965
h,27125,27260
o,27293,27356
s,27445,27549
e,27661,27741
space,27765,27836
f,28045,28124
l,28149,28220
e,28277,28396
e,28437,28484
c,28629,28709
e,28741,28869
space,29101,29204
w,29325,29380
a,29477,29669
s,29589,29669
space,29637,29732
w,29869,29965
h,29997,30052
i,30141,30212
t,30237,30300
e,30349,30468
space,30445,30548
a,31174,31348
s,31325,31428
space,31629,31725
s,31797,31901
n,31989,32068
o,32181,32268
w,32293,32356
.,32589,32652
space,33589,33685
shift,33718,33949
a,33829,33933
n,34125,34212
d,34237,34324
space,34445,34500
e,36070,36140
v,36253,36324
e,36420,36524
r,36493,36572
y,36629,36708
w,36845,36941
h,36997,37076
e,37109,37212
r,37189,37284
e,37285,37348
space,37749,37829
t,37885,37980
h,38005,38076
a,38149,38276
t,38228,38364
space,38317,38428
shift,38701,38861
m,38797,38862
a,38973,39100
r,39069,39164
y,39237,39316
space,39357,39476
w,39709,39844
e,39821,39901
backspace,40229,40300
e,40493,40588
n,40708,40780
t,40869,40964
.,41309,41372
space,41725,41828
shift,41902,42196
t,42069,42164
h,42277,42364
e,42388,42492
space,42444,42548
l,42612,42700
a,42725,42788
m,42893,42964
b,43069,43148
space,43445,43572
w,43628,43748
a,43836,44012
s,43885,44044
space,43997,44100
s,44238,44341
u,44365,44460
r,44485,44580
e,44556,44676
space,44652,44740
t,44812,44892
o,44917,44981
space,45005,45084
g,45173,45276
o,45253,45324
.,45540,45604
shift,47630,48188
h,48030,48116
u,48309,48420
m,48581,48676
p,48693,48820
t,49070,49197
y,49213,49252
space,49413,49500
shift,49829,50125
d,50013,50085
u,50221,50316
m,50485,50572
p,50653,50764
t,50925,50996
y,51069,51133
space,51453,51556
s,51853,51956
a,52053,52149
t,52269,52340
space,52445,52540
o,52669,52716
n,52693,52796
space,52797,52828
a,52901,53036
space,53005,53124
w,53373,53468
a,53645,53700
l,53741,53812
l,53877,53964
.,54469,54516
space,54629,54732
shift,54813,55021
h,54965,55036
u,55181,55236
m,55380,55468
p,55500,55612
t,55741,55804
y,55877,55956
space,56429,56548
shift,56701,56964
d,56837,56908
u,57085,57156
m,57309,57412
p,57436,57524
t,57628,57700
y,57780,57860
space,58109,58220
w,58325,58340
h,58613,58668
backspace,58837,58884
backspace,58957,59028
h,59173,59261
a,59228,59364
d,59501,59580
space,60125,60212
a,60245,60397
space,60398,60476
g,60989,61068
r,61189,61316
e,61293,61356
a,61749,61877
t,61853,61932
space,62101,62204
f,62316,62396
a,62421,62516
l,62476,62548
l,62628,62692
.,62861,62932
space,63245,63340
shift,63373,63804
a,63685,63780
l,63909,63972
l,64044,64140
space,64172,64284
t,64356,64453
h,64476,64556
e,64580,64708
space,64692,64732
k,64812,64868
i,64988,65126
n,65128,65205
g,65252,65316
',65421,65500
s,65564,65684
space,65644,65740
h,66101,66148
o,66236,66316
r,66332,66412
s,66589,66684
e,66805,66877
s,66981,67092
space,67060,67188
