keyname,timepress,timerelease
shift,0,437
t,389,468
h,500,564
e,588,668
space,692,748
i,925,1004
t,1101,1164
s,1244,1356
y,1380,1420
space,1532,1588
b,1684,1756
i,2325,2436
t,2484,2564
s,2628,2764
y,2861,2956
space,3077,3164
s,3300,3420
p,3420,3468
i,4181,4276
d,4253,4332
e,4388,4524
r,4501,4572
space,4548,4652
c,4877,4940
;,5109,5188
i,5356,5428
backspace,5644,5700
backspace,5788,5844
l,6038,6116
i,6221,6293
m,6397,6476
b,6588,6652
e,6692,6796
d,6772,6860
space,6828,6892
u,7021,7084
p,7196,7260
space,7388,7460
t,7484,7572
h,7596,7644
e,7660,7724
space,7772,7852
w,7868,7949
a,8053,8164
t,8141,8228
e,8284,8404
r,8356,8444
s,8516,8612
p,8580,8684
o,8933,9045
u,9180,9260
t,9388,9484
.,9836,9924
shift,9982,10188
space,10061,10156
d,10133,10228
o,10292,10356
w,10524,10636
n,10708,10772
space,10900,10972
c,10996,11069
a,11140,11252
m,11372,11428
e,11620,11724
space,11756,11836
t,11860,11924
h,11956,12045
e,12046,12124
space,12156,12236
r,12260,12316
a,12388,12500
i,12476,12548
n,12644,12700
space,12788,12892
a,12868,12980
n,12996,13076
d,13053,13132
space,13172,13276
w,13252,13388
a,13364,13516
s,13485,13612
h,13540,13644
e,13668,13820
d,13748,13884
space,13884,13972
t,14021,14133
h,14156,14229
e,14252,14332
space,14372,14428
s,14452,14596
p,14620,14660
i,14884,14988
d,15069,15084
e,15148,15276
r,15236,15332
space,15364,15444
o,15564,15636
u,15716,15796
t,15836,15916
.,15972,16060
shift,17918,19044
m,18949,19021
a,19124,19229
r,19292,19388
y,19412,19468
space,19620,19724
h,19908,19980
a,20101,20252
d,20237,20332
space,20356,20412
a,20660,20756
space,20796,20868
l,21004,21076
i,21188,21269
t,21284,21404
t,21420,21492
l,21516,21580
e,21620,21700
space,21724,21780
l,21900,21996
a,22020,22100
m,22821,22884
b,23037,23084
.,23349,23420
space,23500,23556
shift,23525,23740
w,23644,23772
h,23772,23820
o,23972,24036
s,24068,24140
e,24269,24380
space,24396,24460
f,24749,24860
l,24861,24940
e,25013,25092
e,25172,25276
c,25397,25572
e,25500,25612
space,25764,25900
w,26124,26220
a,26308,26444
s,26389,26484
space,26484,26580
w,26798,26932
h,26909,26980
i,27076,27164
t,27204,27308
e,27260,27364
space,27388,27476
a,27740,27876
s,27844,27948
space,27988,28077
s,28148,28220
n,28477,28564
o,28692,28780
w,28836,28908
.,29204,29276
space,29661,29757
shift,29756,30165
a,30004,30166
n,30166,30236
d,30268,30348
space,30372,30468
e,30548,30652
v,30700,30780
e,30804,30908
r,30868,30964
y,30940,31004
w,31124,31220
h,31252,31300
e,31388,31500
r,31469,31628
e,31596,31708
space,31724,31836
t,32173,32204
h,32501,32596
a,32596,32692
t,32764,32820
space,32844,32916
shift,33093,33364
m,33212,33284
a,33284,33365
r,33517,33620
backspace,33836,33916
backspace,33988,34052
a,34076,34196
r,34172,34252
y,34292,34388
space,34525,34644
w,34836,34980
e,35044,35236
n,35236,35260
t,35284,35356
.,35565,35620
backspace,36108,36180
.,36645,36724
space,36876,36956
shift,36924,37124
t,37037,37148
h,37148,37212
e,37252,37324
space,37340,37396
l,37516,37596
a,37636,37732
m,37756,37860
b,38077,38156
space,38276,38388
w,38356,38492
a,38412,38580
s,38548,38636
space,38604,38708
s,38804,38908
u,38948,39028
r,39052,39164
e,39140,39244
space,39220,39380
t,39669,39748
o,39828,39844
space,39972,40044
g,40076,40148
o,40204,40260
.,40500,40572
shift,42606,43188
h,43029,43164
u,43204,43260
m,43380,43444
p,43556,43636
t,43668,43741
y,43820,43884
space,43916,43996
shift,44053,44284
d,44188,44308
u,44308,44380
m,44484,44556
p,44684,44764
t,44788,44868
y,44964,45052
space,45532,45604
s,45909,45932
a,46180,46276
t,46372,46500
space,46564,46628
backspace,46989,47084
e,47132,47172
backspace,47580,47636
space,47780,47844
o,47980,48052
n,48148,48244
space,48348,48428
a,48476,48588
space,48612,48740
w,49077,49220
a,49172,49283
l,49260,49348
l,49428,49499
.,49684,49795
space,49988,50060
shift,50189,50468
h,50292,50364
u,50492,50548
m,50684,50764
p,50885,50948
t,50972,51037
y,51124,51220
space,51308,51380
capsock,51533,51636
capsock,52053,52188
shift,52349,52636
d,52548,52612
u,52637,52692
m,52812,52908
p,53028,53108
t,53124,53228
y,53332,53428
space,54069,54148
w,54172,54244
backspace,54556,54620
h,54740,54804
a,54772,54908
d,54884,54972
space,54996,55068
a,55092,55204
space,55188,55284
g,55517,55604
r,55788,55956
e,55868,55956
a,56077,56156
t,56268,56428
space,56460,56516
f,56540,56636
a,56700,56820
l,56820,56868
l,56932,57004
.,57157,57236
space,57444,57540
shift,57564,58284
a,58117,58252
l,58420,58492
l,58556,58635
space,58820,58892
t,59077,59172
h,59212,59283
e,59308,59404
space,59428,59500
k,59636,59723
i,59812,59875
n,59980,60052
g,60077,60140
',60756,60819
s,60852,60947
space,60972,61044
h,62077,62164
o,62268,62371
r,62348,62436
s,62460,62555
e,62652,62763
s,62852,62979
