keyname,timepress,timerelease
shift,0,516
t,438,492
h,573,644
e,613,692
space,669,716
i,765,829
s,869,932
t,957,1036
backspace,1494,1549
backspace,1605,1676
t,1821,1876
s,1893,1964
y,1989,2060
space,2085,2196
b,2221,2277
i,2349,2420
t,2605,2684
s,2733,2805
y,2846,2917
space,2973,3044
p,3197,3268
backspace,3477,3541
s,3581,3644
p,3669,3732
i,3821,3900
d,3917,3972
e,3997,4108
r,4077,4132
space,4173,4228
c,4253,4325
l,4301,4372
i,4437,4516
m,4581,4692
b,4725,4813
e,4789,4900
d,4869,4924
space,4949,5012
u,5061,5100
p,5197,5252
space,5333,5421
t,5501,5581
h,5661,5748
e,5773,5837
space,5917,6004
w,5981,6044
a,6141,6212
t,6237,6292
e,6341,6460
r,6437,6484
s,6669,6748
p,6781,6845
p,7854,7916
o,7877,7901
u,8037,8060
t,8133,8212
backspace,8509,8564
backspace,8653,8708
backspace,8789,8909
backspace,9021,9116
o,9494,9565
u,9653,9740
t,9741,9813
.,9837,9908
space,9973,10028
shift,10005,10204
shift,10389,10613
d,10525,10636
o,10661,10724
w,10765,10861
n,10885,10932
space,10989,11068
c,11285,11340
a,11597,11684
m,11732,11796
e,11822,11877
space,11901,11973
t,12005,12068
h,12149,12228
e,12173,12252
space,12365,12388
r,12389,12420
a,12517,12588
i,12613,12692
n,12781,12828
space,12853,12916
a,12941,12988
n,13013,13076
d,13101,13140
space,13165,13252
w,13229,13276
a,13373,13484
s,13453,13524
h,13557,13629
e,13629,13692
d,13829,13852
space,13853,13892
t,13917,13956
h,14029,14108
e,14052,14188
space,14189,14204
s,14237,14284
p,14285,14348
i,14429,14508
d,14485,14572
e,14549,14684
r,14653,14724
space,14757,14796
o,14877,14956
u,15053,15116
t,15149,15204
.,15260,15324
shift,17302,17748
m,17677,17724
a,17773,17853
r,17949,18036
y,18012,18068
space,18068,18140
h,18181,18244
a,18229,18284
d,18325,18444
space,18445,18468
a,18492,18564
space,18540,18596
i,18757,18796
t,18797,18957
t,18981,19004
l,19053,19108
backspace,19341,19444
backspace,19477,19532
backspace,19589,19652
backspace,19717,19804
l,19917,19996
u,20101,20132
i,20101,20156
t,20188,20228
t,20293,20372
backspace,20525,20580
backspace,20653,20709
backspace,20774,20837
backspace,20901,20964
backspace,21044,21060
i,21237,21276
backspace,21557,21628
l,21749,21814
u,21918,21964
i,21941,21965
t,22004,22068
t,22141,22196
backspace,22300,22356
backspace,22429,22492
backspace,22557,22612
backspace,22685,22766
i,23253,23332
t,23365,23404
t,23461,23540
l,23565,23620
e,23644,23700
space,23724,23789
l,23821,23892
a,23973,23988
m,24045,24100
b,24565,24628
comma,24782,24853
space,24973,25084
shift,25253,25469
w,25429,25524
h,25501,25548
o,25629,25724
e,25909,25948
backspace,26189,26276
s,26277,26348
e,26381,26444
space,26469,26532
f,26548,26612
l,26748,26845
e,26869,26924
e,27005,27060
c,27181,27284
e,27308,27388
space,27485,27516
w,27821,27869
a,27973,28084
s,28061,28116
space,28117,28180
w,28229,28316
h,28317,28388
i,28444,28516
t,28637,28708
e,28732,28788
space,28821,28901
a,28902,29020
s,28997,29044
space,29068,29124
s,29509,29564
n,29997,30052
o,30133,30220
w,30196,30260
.,30340,30412
space,30492,30564
shift,30509,30796
a,30684,30772
n,30869,30925
d,30965,31036
space,31084,31142
e,31173,31244
v,31277,31324
e,31356,31452
r,31429,31524
y,31500,31564
h,31685,31732
w,31756,31829
e,31989,32156
r,32068,32212
e,32180,32276
space,32300,32356
