date,press,release,identity
2019-11-21,12:02:54.492:,12:02:54.969:,Key.shift
2019-11-21,12:02:54.874:,12:02:54.945:,T
2019-11-21,12:02:55.041:,12:02:55.120:,h
2019-11-21,12:02:55.065:,12:02:55.097:,e
2019-11-21,12:02:55.121:,12:02:55.168:,Key.space
2019-11-21,12:02:55.722:,12:02:55.793:,i
2019-11-21,12:02:55.905:,12:02:56.033:,t
2019-11-21,12:02:56.033:,12:02:56.089:,s
2019-11-21,12:02:56.754:,12:02:56.841:,y
2019-11-21,12:02:56.841:,12:02:56.896:,Key.space
2019-11-21,12:02:56.953:,12:02:57.017:,b
2019-11-21,12:02:57.089:,12:02:57.161:,i
2019-11-21,12:02:57.273:,12:02:57.329:,t
2019-11-21,12:02:57.385:,12:02:57.465:,s
2019-11-21,12:02:57.497:,12:02:57.561:,y
2019-11-21,12:02:57.593:,12:02:57.632:,Key.space
2019-11-21,12:02:57.673:,12:02:57.745:,s
2019-11-21,12:02:57.769:,12:02:57.849:,p
2019-11-21,12:02:57.921:,12:02:57.993:,i
2019-11-21,12:02:58.017:,12:02:58.272:,d
2019-11-21,12:02:58.065:,12:02:58.088:,e
2019-11-21,12:02:58.201:,12:02:58.224:,r
2019-11-21,12:02:58.289:,12:02:58.368:,Key.space
2019-11-21,12:02:58.593:,12:02:58.769:,w
2019-11-21,12:02:58.985:,12:02:59.049:,Key.backspace
2019-11-21,12:02:59.105:,12:02:59.177:,Key.backspace
2019-11-21,12:02:59.193:,12:02:59.240:,c
2019-11-21,12:02:59.626:,12:02:59.713:,Key.backspace
2019-11-21,12:02:59.818:,12:02:59.889:,Key.space
2019-11-21,12:02:59.889:,12:02:59.953:,c
2019-11-21,12:02:59.977:,12:03:00.033:,l
2019-11-21,12:03:00.105:,12:03:00.177:,i
2019-11-21,12:03:00.225:,12:03:00.297:,m
2019-11-21,12:03:00.377:,12:03:00.440:,b
2019-11-21,12:03:00.457:,12:03:00.520:,e
2019-11-21,12:03:00.714:,12:03:00.770:,d
2019-11-21,12:03:00.817:,12:03:00.889:,Key.space
2019-11-21,12:03:00.929:,12:03:00.985:,u
2019-11-21,12:03:01.073:,12:03:01.137:,p
2019-11-21,12:03:01.169:,12:03:01.224:,Key.space
2019-11-21,12:03:01.265:,12:03:01.368:,t
2019-11-21,12:03:01.401:,12:03:01.560:,h
2019-11-21,12:03:01.449:,12:03:01.480:,e
2019-11-21,12:03:01.561:,12:03:01.584:,Key.space
2019-11-21,12:03:01.609:,12:03:01.672:,w
2019-11-21,12:03:01.769:,12:03:01.841:,a
2019-11-21,12:03:01.865:,12:03:01.920:,t
2019-11-21,12:03:01.961:,12:03:02.136:,e
2019-11-21,12:03:02.057:,12:03:02.088:,r
2019-11-21,12:03:02.449:,12:03:02.520:,s
2019-11-21,12:03:02.649:,12:03:02.721:,p
2019-11-21,12:03:03.234:,12:03:03.312:,o
2019-11-21,12:03:03.425:,12:03:03.472:,u
2019-11-21,12:03:03.529:,12:03:03.592:,t
2019-11-21,12:03:03.793:,12:03:03.873:,.
2019-11-21,12:03:04.497:,12:03:04.593:,Key.space
2019-11-21,12:03:04.649:,12:03:05.097:,Key.shift
2019-11-21,12:03:04.978:,12:03:05.073:,D
2019-11-21,12:03:05.193:,12:03:05.264:,w
2019-11-21,12:03:05.305:,12:03:05.376:,o
2019-11-21,12:03:05.577:,12:03:05.688:,n
2019-11-21,12:03:05.713:,12:03:05.760:,Key.space
2019-11-21,12:03:06.041:,12:03:06.120:,c
2019-11-21,12:03:06.217:,12:03:06.296:,a
2019-11-21,12:03:06.505:,12:03:06.568:,Key.backspace
2019-11-21,12:03:06.641:,12:03:06.704:,Key.backspace
2019-11-21,12:03:06.761:,12:03:06.824:,Key.backspace
2019-11-21,12:03:06.889:,12:03:06.953:,Key.backspace
2019-11-21,12:03:07.017:,12:03:07.088:,Key.backspace
2019-11-21,12:03:07.649:,12:03:07.721:,Key.backspace
2019-11-21,12:03:07.841:,12:03:07.921:,o
2019-11-21,12:03:07.945:,12:03:08.008:,w
2019-11-21,12:03:08.113:,12:03:08.176:,n
2019-11-21,12:03:08.201:,12:03:08.312:,Key.space
2019-11-21,12:03:08.393:,12:03:08.456:,c
2019-11-21,12:03:08.489:,12:03:08.552:,a
2019-11-21,12:03:08.593:,12:03:08.657:,m
2019-11-21,12:03:08.673:,12:03:08.753:,e
2019-11-21,12:03:08.777:,12:03:08.856:,Key.space
2019-11-21,12:03:08.857:,12:03:08.912:,t
2019-11-21,12:03:08.985:,12:03:09.088:,h
2019-11-21,12:03:09.009:,12:03:09.056:,e
2019-11-21,12:03:09.113:,12:03:09.224:,Key.space
2019-11-21,12:03:09.169:,12:03:09.192:,r
2019-11-21,12:03:09.329:,12:03:09.352:,a
2019-11-21,12:03:09.369:,12:03:09.392:,a
2019-11-21,12:03:09.425:,12:03:09.504:,i
2019-11-21,12:03:09.601:,12:03:09.680:,n
2019-11-21,12:03:09.721:,12:03:09.808:,Key.space
2019-11-21,12:03:09.969:,12:03:10.032:,Key.backspace
2019-11-21,12:03:10.105:,12:03:10.160:,Key.backspace
2019-11-21,12:03:10.233:,12:03:10.288:,Key.backspace
2019-11-21,12:03:10.361:,12:03:10.408:,Key.backspace
2019-11-21,12:03:10.689:,12:03:10.777:,i
2019-11-21,12:03:10.849:,12:03:10.912:,n
2019-11-21,12:03:10.929:,12:03:10.985:,Key.space
2019-11-21,12:03:11.017:,12:03:11.088:,a
2019-11-21,12:03:11.121:,12:03:11.176:,n
2019-11-21,12:03:11.209:,12:03:11.296:,d
2019-11-21,12:03:11.329:,12:03:11.408:,Key.space
2019-11-21,12:03:11.817:,12:03:11.896:,w
2019-11-21,12:03:11.977:,12:03:12.120:,a
2019-11-21,12:03:12.041:,12:03:12.072:,s
2019-11-21,12:03:12.169:,12:03:12.288:,h
2019-11-21,12:03:12.233:,12:03:12.256:,e
2019-11-21,12:03:12.377:,12:03:12.512:,d
2019-11-21,12:03:12.441:,12:03:12.464:,Key.space
2019-11-21,12:03:12.537:,12:03:12.592:,t
2019-11-21,12:03:12.657:,12:03:12.776:,h
2019-11-21,12:03:12.705:,12:03:12.752:,e
2019-11-21,12:03:12.809:,12:03:12.928:,Key.space
2019-11-21,12:03:12.857:,12:03:12.880:,s
2019-11-21,12:03:12.945:,12:03:13.000:,p
2019-11-21,12:03:13.081:,12:03:13.169:,i
2019-11-21,12:03:13.193:,12:03:13.424:,d
2019-11-21,12:03:13.233:,12:03:13.256:,e
2019-11-21,12:03:13.353:,12:03:13.376:,r
2019-11-21,12:03:13.441:,12:03:13.496:,Key.space
2019-11-21,12:03:13.545:,12:03:13.624:,o
2019-11-21,12:03:13.721:,12:03:13.784:,u
2019-11-21,12:03:13.785:,12:03:13.912:,t
2019-11-21,12:03:14.618:,12:03:14.672:,.
2019-11-21,12:03:24.458:,12:03:24.521:,Key.backspace
2019-11-21,12:03:24.713:,12:03:24.776:,.
2019-11-21,12:03:26.930:,12:03:27.306:,Key.shift
2019-11-21,12:03:27.169:,12:03:27.305:,M
2019-11-21,12:03:27.370:,12:03:27.441:,a
2019-11-21,12:03:27.489:,12:03:27.552:,r
2019-11-21,12:03:27.633:,12:03:27.784:,y
2019-11-21,12:03:27.697:,12:03:27.712:,Key.space
2019-11-21,12:03:27.857:,12:03:27.944:,h
2019-11-21,12:03:27.881:,12:03:27.896:,a
2019-11-21,12:03:27.969:,12:03:28.176:,d
2019-11-21,12:03:28.017:,12:03:28.040:,Key.space
2019-11-21,12:03:28.177:,12:03:28.192:,a
2019-11-21,12:03:28.193:,12:03:28.248:,Key.space
2019-11-21,12:03:28.305:,12:03:28.369:,l
2019-11-21,12:03:28.449:,12:03:28.504:,i
2019-11-21,12:03:28.536:,12:03:28.584:,t
2019-11-21,12:03:28.905:,12:03:28.992:,t
2019-11-21,12:03:29.097:,12:03:29.176:,l
2019-11-21,12:03:29.233:,12:03:29.328:,e
2019-11-21,12:03:29.353:,12:03:29.425:,Key.space
2019-11-21,12:03:29.465:,12:03:29.552:,l
2019-11-21,12:03:29.585:,12:03:29.664:,a
2019-11-21,12:03:29.697:,12:03:29.744:,m
2019-11-21,12:03:29.873:,12:03:29.936:,b
2019-11-21,12:03:30.097:,12:03:30.176:,.
2019-11-21,12:03:30.297:,12:03:30.360:,Key.space
2019-11-21,12:03:30.826:,12:03:31.152:,Key.shift
2019-11-21,12:03:31.073:,12:03:31.113:,W
2019-11-21,12:03:31.153:,12:03:31.208:,h
2019-11-21,12:03:31.281:,12:03:31.400:,o
2019-11-21,12:03:31.329:,12:03:31.352:,s
2019-11-21,12:03:31.433:,12:03:31.497:,e
2019-11-21,12:03:31.497:,12:03:31.568:,Key.space
2019-11-21,12:03:31.617:,12:03:31.672:,f
2019-11-21,12:03:31.849:,12:03:31.944:,l
2019-11-21,12:03:32.001:,12:03:32.064:,e
2019-11-21,12:03:32.129:,12:03:32.192:,e
2019-11-21,12:03:32.296:,12:03:32.368:,c
2019-11-21,12:03:32.865:,12:03:32.944:,e
