keyname,timepress,timerelease
shift,0,477
t,382,453
h,549,605
e,573,628
space,629,676
i,1230,1301
t,1413,1541
s,1541,1597
y,2262,2349
space,2349,2404
b,2461,2525
i,2597,2669
t,2781,2837
s,2893,2973
y,3005,3069
space,3101,3140
s,3181,3253
p,3277,3357
i,3429,3501
d,3525,3596
e,3573,3732
r,3709,3780
space,3797,3876
w,4101,4277
backspace,4493,4557
backspace,4613,4685
c,4701,4748
backspace,5134,5221
space,5326,5397
c,5397,5461
l,5485,5541
i,5613,5685
m,5733,5805
b,5885,5948
e,5965,6028
d,6222,6278
space,6325,6397
u,6437,6493
p,6581,6645
space,6677,6732
t,6773,6876
h,6909,6988
e,6957,7068
space,7069,7092
w,7117,7180
a,7277,7349
t,7373,7428
e,7469,7596
r,7565,7644
s,7957,8028
p,8157,8229
o,8742,8820
u,8933,8980
t,9037,9100
.,9301,9381
space,10005,10101
shift,10157,10605
d,10486,10581
w,10701,10772
o,10813,10884
n,11085,11196
space,11221,11268
c,11549,11628
a,11725,11804
backspace,12013,12076
backspace,12149,12212
backspace,12269,12332
backspace,12397,12461
backspace,12525,12596
backspace,13157,13229
o,13349,13429
w,13453,13516
n,13621,13684
space,13709,13820
c,13901,13964
a,13997,14060
m,14101,14165
e,14181,14261
space,14285,14364
t,14365,14420
h,14493,14596
e,14517,14564
space,14621,14700
r,14677,14732
a,14837,14860
a,14877,14900
i,14933,15012
n,15109,15188
space,15229,15316
backspace,15477,15540
backspace,15613,15668
backspace,15741,15796
backspace,15869,15916
i,16197,16285
n,16357,16420
space,16437,16493
a,16525,16596
n,16629,16684
d,16717,16804
space,16837,16916
w,17325,17404
a,17485,17580
s,17549,17628
h,17677,17764
e,17741,17796
d,17885,17972
space,17949,18020
t,18045,18100
h,18165,18260
e,18213,18284
space,18317,18388
s,18365,18436
p,18453,18508
i,18589,18677
d,18701,18764
e,18741,18884
r,18861,18932
space,18949,19004
o,19053,19132
u,19229,19292
t,19293,19420
.,20126,20180
backspace,29966,30029
.,30221,30284
shift,32438,32813
m,32677,32814
a,32878,32949
r,32997,33060
y,33141,33220
space,33205,33292
h,33365,33404
a,33389,33452
d,33477,33548
space,33525,33684
a,33685,33700
space,33701,33756
l,33813,33877
i,33957,34012
t,34044,34092
t,34413,34500
l,34605,34684
e,34741,34836
space,34861,34933
l,34973,35060
a,35093,35172
m,35205,35252
b,35381,35444
.,35605,35684
space,35805,35868
shift,36334,36621
w,36581,36660
h,36661,36716
o,36789,36860
s,36837,36908
e,36941,37005
space,37005,37076
f,37125,37180
l,37357,37452
e,37509,37572
e,37637,37700
c,37804,37876
e,38373,38452
space,38509,38588
w,38620,38692
a,38797,38900
s,38877,38948
space,38973,39013
w,39285,39364
h,39437,39484
i,39548,39612
t,39701,39780
e,39757,39812
space,39837,39908
a,39909,40005
s,39981,40068
space,40045,40124
s,40149,40220
n,40245,40292
o,40364,40436
w,40460,40516
.,40564,40644
space,40805,40892
shift,40925,41245
a,41197,41268
n,41293,41332
d,41741,41820
space,42101,42180
e,42277,42372
v,42437,42508
e,42484,42580
r,42556,42620
y,42620,42692
w,42724,42796
h,42820,42900
e,42940,43076
r,43052,43172
e,43149,43228
space,43260,43308
h,43501,43532
backspace,43837,43900
t,44044,44100
h,44189,44253
a,44277,44332
t,44349,44428
shift,44453,44604
space,44454,44484
m,44580,44652
a,44605,44653
r,44789,44868
y,44884,44948
space,44988,45044
w,45101,45236
e,45213,45276
n,45301,45372
t,45460,45532
.,45644,45716
space,45773,45836
t,45908,45964
backspace,46461,46540
shift,46621,46796
t,46749,46820
h,46884,46964
e,46916,46988
space,47020,47052
l,47076,47189
a,47189,47245
m,47301,47364
space,47581,47612
backspace,47861,47916
b,48077,48140
space,48222,48284
w,48309,48372
a,48468,48572
s,48548,48620
space,48621,48692
s,48748,48844
u,48821,48892
r,48948,49044
e,49020,49124
space,49100,49156
t,49188,49253
o,49349,49420
space,49444,49484
f,49548,49604
backspace,49949,50028
g,50349,50428
o,50460,50532
.,50700,50780
space,50892,50916
left,57974,58052
backspace,58749,58844
space,63566,63620
\,66429,66508
backspace,66941,67020
.,67749,67820
