keyname,timepress,timerelease
shift,0,476
t,326,461
h,501,620
e,597,724
space,661,796
i,925,1068
t,1237,1309
s,1373,1485
y,1517,1644
space,1621,1700
b,1773,1876
i,1909,1988
t,1989,2092
s,2164,2316
y,2341,2428
space,2469,2597
s,2652,2804
p,2789,2917
i,2981,3156
d,3133,3212
e,3301,3421
r,3437,3565
space,3589,3676
c,3821,3988
l,3989,4076
i,4053,4236
m,4213,4308
b,4421,4501
e,4525,4621
d,4733,4860
space,4829,4988
u,4932,5108
p,5085,5220
space,5269,5372
t,5397,5501
h,5485,5661
e,5525,5684
space,5685,5764
w,5741,5836
a,5852,6036
r,6013,6148
backspace,6405,6493
t,6517,6612
e,6653,6804
r,6757,6900
space,6901,7020
backspace,7333,7436
s,7461,7597
p,7621,7764
o,7741,7876
u,8117,8228
t,8276,8396
.,8469,8620
space,8597,8692
shift,8933,9148
d,9053,9149
o,9237,9348
w,9332,9452
n,9468,9557
space,9558,9676
c,9821,9964
a,9965,10124
m,10125,10284
e,10260,10340
space,10316,10420
t,10444,10564
h,10533,10652
e,10589,10708
space,10740,10884
r,10756,10924
backspace,11389,11420
r,11717,11868
a,11845,11980
i,11948,12044
n,12004,12148
space,12172,12268
a,12268,12388
n,12356,12500
d,12444,12581
space,12532,12660
w,12901,12988
a,13044,13164
s,13220,13372
h,13348,13460
e,13493,13564
d,13669,13756
space,13732,13900
t,13901,14052
h,14013,14148
e,14076,14204
space,14228,14380
s,14340,14509
p,14469,14596
i,14613,14740
d,14693,14764
e,14853,14956
r,14932,15092
space,15036,15172
o,15197,15324
u,15300,15420
t,15388,15508
.,15532,15653
shift,17678,17893
m,17837,17948
a,17917,17996
r,18020,18172
y,18148,18268
space,18244,18364
h,18444,18573
a,18517,18636
d,18652,18780
space,18750,18972
a,18852,19020
space,18996,19092
l,19381,19524
i,19501,19588
t,19612,19652
t,19733,19828
l,19860,19996
e,19965,20092
space,20044,20164
l,20492,20644
a,20589,20716
m,20805,20892
b,20989,21068
.,21252,21356
space,21629,21757
shift,22014,22197
w,22101,22220
h,22244,22340
e,22364,22420
o,22460,22565
backspace,22701,22772
backspace,22845,22916
o,23020,23148
s,23125,23220
e,23268,23396
space,23373,23500
f,23717,23821
l,23822,23932
e,23956,24020
e,24116,24164
c,24292,24372
e,24468,24604
space,24581,24684
w,24685,24780
a,24820,24948
s,24917,25100
space,25028,25164
w,25188,25316
h,25317,25444
i,25397,25524
t,25468,25556
space,25612,25780
e,25724,25836
backspace,25973,26044
backspace,26116,26244
e,26221,26356
space,26300,26444
a,26420,26556
s,26580,26772
space,26716,26852
s,26884,27044
n,26997,27124
o,27068,27204
w,27204,27284
.,27404,27516
space,27516,27597
shift,27677,27860
a,27780,27892
n,27892,28004
d,28005,28116
space,28140,28268
e,28605,28724
v,28820,28900
e,29005,29116
r,29092,29244
y,29220,29324
w,29380,29500
h,29500,29628
e,29589,29756
e,30317,30380
backspace,30629,30756
r,30732,30852
e,30796,30916
space,30940,31077
t,31140,31292
h,31172,31292
a,31268,31428
t,31372,31508
space,31460,31564
m,31860,32004
a,31964,32052
backspace,32221,32284
backspace,32372,32436
shift,32566,32756
m,32661,32820
a,32820,32940
r,32964,33101
y,33124,33204
space,33260,33396
shift,33484,33653
w,33917,34020
e,34044,34148
n,34180,34332
t,34412,34532
.,34837,34972
space,35461,35581
shift,36222,36388
t,36292,36420
h,36500,36620
e,36597,36724
space,36684,36828
shift,36868,37028
l,37229,37348
a,37324,37476
m,37452,37524
b,37645,37732
space,37820,37940
w,38092,38188
a,38220,38364
s,38340,38492
space,38444,38556
s,38580,38740
u,38764,38852
r,38876,38972
e,38940,39076
space,39060,39148
t,39173,39300
o,39236,39348
space,39324,39412
g,39468,39588
o,39724,39812
.,39964,40068
shift,41854,42100
h,41989,42116
u,42196,42268
m,42404,42557
p,42532,42668
t,42692,42772
y,42788,42892
space,42924,42980
shift,43278,43468
d,43380,43469
u,43492,43556
m,43700,43796
p,43820,43956
t,43980,44092
y,44068,44164
space,44188,44277
s,44453,44596
a,44597,44748
t,44724,44876
space,44844,44956
o,44980,45108
n,45052,45212
space,45140,45284
a,45285,45396
space,45365,45476
w,45500,45612
a,45684,45836
l,45772,45868
l,45908,46036
.,46172,46292
space,46308,46421
shift,46646,47236
h,47085,47212
u,47332,47396
m,47541,47645
p,47660,47788
t,47812,47916
y,47892,47996
space,48036,48124
shift,48317,48429
d,48365,48452
u,49101,49188
m,49340,49500
p,49453,49572
t,49596,49684
y,49732,49828
space,49860,49964
h,50044,50204
a,50180,50308
d,50372,50532
space,50509,50652
a,50629,50836
space,50860,51044
g,51068,51188
r,51316,51436
e,51412,51516
a,51540,51676
t,51604,51716
space,51716,51796
f,51844,51964
a,51996,52132
l,52108,52188
l,52260,52348
.,52412,52532
space,52556,52612
shift,52692,53364
space,52724,52772
backspace,53541,53628
shift,53749,54012
a,53844,53980
l,54140,54244
l,54316,54420
t,54629,54740
backspace,55044,55148
space,55172,55276
t,55276,55396
h,55372,55460
e,55484,55604
space,55573,55700
k,56140,56220
i,56316,56404
n,56380,56565
g,56476,56580
',56604,56724
s,56748,56868
space,56900,57028
h,58141,58268
o,58236,58372
s,58412,58516
backspace,58765,58876
r,58836,58940
s,58956,59084
e,59132,59276
space,59252,59348
backspace,60285,60372
s,60396,60532
