keyname,timepress,timerelease
t,0,93
h,78,141
e,165,221
space,206,301
i,262,357
t,534,622
s,790,885
y,925,1021
space,1022,1101
b,1157,1245
i,1214,1325
t,1341,1445
s,1421,1533
y,1557,1653
space,1622,1733
s,1781,1893
p,1869,1965
i,1941,2021
d,2101,2117
e,2205,2293
r,2261,2365
space,2342,2437
c,2742,2877
l,2854,2965
i,2909,3029
m,2989,3093
b,3173,3277
e,3245,3349
d,3454,3549
space,3605,3718
u,3941,4029
p,3981,4109
space,4494,4597
t,4630,4725
h,4710,4797
e,4821,4901
space,4869,4981
w,5157,5221
a,5197,5341
t,5285,5405
e,5373,5517
r,5485,5581
space,5613,5718
backspace,5934,6005
s,6109,6213
p,6237,6317
o,6285,6413
u,6390,6565
t,6589,6645
up,7590,7726
right,7862,7957
left,8670,10645
right,10942,11037
backspace,11486,11565
shift,11630,11806
t,11749,11829
right,12013,14029
.,14750,14845
space,15054,15157
shift,15213,15367
d,15342,15369
o,15370,15438
w,15462,15533
n,15533,15661
space,15637,15733
c,15709,15789
a,15813,15933
m,15918,16005
e,16005,16085
space,16157,16181
t,16181,16261
h,16262,16349
e,16334,16405
space,16429,16525
r,16501,16629
a,16573,16661
i,16605,16709
n,16661,16773
space,16733,16813
a,16813,16885
n,16909,16981
d,16997,17101
space,17077,17173
w,17197,17253
a,17277,17381
s,17325,17445
h,17445,17517
e,17549,17621
d,17685,17765
space,17717,17813
t,17853,18013
h,17925,18014
e,18037,18085
space,18069,18181
s,18181,18269
p,18245,18349
i,18350,18373
d,18373,18437
e,18533,18645
r,18605,18693
space,18669,18749
o,18773,18861
u,18805,18893
t,18917,18989
.,19013,19077
enter,19245,19301
shift,23695,24126
m,24037,24157
a,24229,24334
r,24277,24405
y,24389,24485
space,24461,24573
h,24597,24645
a,24677,24749
d,24717,24813
space,24837,24901
a,24925,25021
space,24997,25069
l,25045,25157
i,25102,25205
t,25181,25253
t,25334,25429
l,25398,25469
e,25509,25605
space,25581,25685
l,25605,25741
a,25741,25829
m,25877,25957
b,25997,26069
comma,26246,26357
space,26326,26445
shift,26542,26741
w,26669,26765
h,26789,26877
o,26845,26941
s,26997,27109
e,27053,27149
space,27197,27301
f,27366,27477
l,27501,27573
e,27597,27661
e,27757,27829
c,27925,28005
e,28278,28357
space,28406,28501
w,28541,28637
a,28661,28757
s,28725,28805
space,28805,28877
w,28933,29045
h,29045,29125
i,29070,29165
t,29165,29285
e,29238,29325
space,29326,29421
a,29437,29525
s,29469,29573
space,29549,29653
s,29653,29757
n,29725,29821
o,29781,29869
w,29893,29973
.,30005,30085
space,30197,30317
shift,30358,30661
a,30574,30685
n,30749,30821
d,30845,30949
space,30973,31061
e,31077,31173
v,31189,31309
e,31286,31429
r,31389,31485
y,31469,31549
w,31581,31677
h,31701,31757
e,31789,31869
r,31845,31965
e,31941,32045
space,32045,32125
t,32125,32213
h,32237,32293
a,32278,32373
t,32334,32429
space,32405,32509
shift,32533,32686
m,32605,32687
a,32766,32893
r,32853,32989
y,32965,33069
space,33037,33133
w,33245,33293
e,33278,33325
n,33349,33437
t,33461,33637
comma,33557,33669
space,33637,33741
t,34077,34117
backspace,34326,34421
shift,34399,34533
t,34477,34597
h,34645,34725
e,34813,34901
space,34957,35053
l,35173,35245
a,35277,35373
m,35405,35477
b,35525,35605
space,35637,35725
w,35757,35829
a,35853,35949
s,35925,36029
space,36005,36093
s,36117,36237
u,36213,36277
r,36301,36405
e,36374,36453
space,36429,36509
t,36525,36613
o,36589,36661
space,36661,36773
g,36749,36861
o,36837,36909
.,37325,37414
shift,39863,40037
h,39965,40038
u,40117,40189
m,40261,40365
p,40389,40469
t,40549,40637
y,40613,40741
space,40693,40821
shift,40797,40893
d,40861,40964
u,40949,40997
m,41101,41229
p,41205,41301
t,41398,41534
y,41534,41613
space,41589,41709
s,41773,41885
a,41853,41989
t,41965,42053
space,42013,42117
o,42085,42173
n,42149,42261
space,42229,42309
a,42334,42421
space,42445,42517
w,42701,42797
a,42733,42869
l,42845,42901
l,42965,43045
comma,43173,43293
space,43270,43365
shift,43830,44029
h,43949,44005
u,44109,44181
m,44293,44421
p,44398,44501
y,44574,44702
space,44680,44797
shift,44775,44877
d,44821,44941
u,44941,45069
m,45101,45221
p,45245,45341
t,45598,45645
y,45677,45789
space,45765,45877
h,45941,46013
a,46037,46133
d,46077,46173
space,46149,46221
a,46245,46366
space,46309,46405
g,46429,46485
r,46574,46661
e,46637,46733
a,46709,46805
t,46757,46869
space,46853,46933
f,47013,47141
a,47093,47189
l,47165,47213
l,47277,47333
.,47429,47493
space,47517,47597
shift,47637,47821
a,47733,47869
l,47949,48005
l,48069,48141
space,48142,48237
t,48206,48285
h,48317,48381
e,48357,48445
space,48445,48541
k,48509,48565
i,48637,48741
n,48709,48805
g,48869,48973
',49109,49205
s,49245,49341
space,49365,49461
h,49774,49885
o,49861,49933
r,49957,50045
s,50069,50181
e,50149,50253
s,50333,50397
space,50397,50485
a,50485,50589
n,50565,50645
d,50621,50693
space,50717,50805
a,50781,50869
l,50869,51005
l,51029,51084
space,51061,51141
t,51141,51237
h,51213,51277
e,51309,51388
space,51365,51477
k,51413,51453
i,51533,51629
n,51605,51693
g,51669,51757
',51781,51853
s,51885,51996
space,51973,52085
m,52133,52205
e,52285,52333
n,52317,52381
space,52726,52847
shift,52959,53117
c,53069,53181
o,53141,53229
u,53205,53269
l,53301,53381
d,53430,53526
n,53493,53613
',53591,53661
t,53693,53765
space,53766,53877
p,54101,54125
u,54125,54205
t,54293,54389
space,54421,54525
shift,55022,55165
h,55085,55141
u,55213,55285
m,55373,55477
p,55493,55556
t,55605,55716
y,55685,55812
space,55790,55900
t,56261,56365
o,56389,56461
g,56517,56612
e,56589,56668
t,56725,56829
h,56830,56909
e,56933,57021
r,56989,57077
space,57053,57165
a,57141,57253
g,57229,57365
a,57341,57445
i,57365,57421
n,57389,57477
.,57557,57668
t,89358,89445
shift,91383,91566
t,91501,91621
w,91677,91789
i,91765,91852
n,91885,91996
k,91965,92100
l,92077,92172
e,92253,92333
comma,92349,92460
space,92413,92540
t,92622,92733
w,92757,92861
i,92837,92948
n,92893,93044
k,93021,93108
l,93141,93236
y,93261,93349
comma,93549,93668
space,93638,93748
l,93861,93948
i,93901,93980
t,94013,94108
t,94149,94300
l,94221,94301
e,94325,94397
space,94421,94500
s,94525,94629
t,94606,94708
a,94733,94844
r,94797,94900
comma,94925,95028
space,95005,95084
shift,95293,95485
h,95421,95516
o,95541,95612
w,95829,95917
space,95973,96076
shift,96197,96357
i,96293,96372
space,96421,96524
w,96637,96661
o,96662,96757
n,96701,96804
d,96829,96884
e,96973,97084
r,97021,97156
space,97133,97236
w,97325,97437
h,97469,97540
a,97565,97644
t,97589,97685
delete,100566,100636
e,100725,100797
space,103966,104037
y,104093,104204
o,104181,104292
u,104261,104388
space,104333,104444
a,104445,104588
r,104517,104620
e,104589,104660
shift,104757,105005
space,105125,105228
shift,105358,105509
u,105493,105556
p,105629,105716
space,105797,105901
a,106189,106308
b,106269,106348
o,106389,106452
v,106477,106556
e,106525,106612
space,106637,106724
t,106701,106772
h,106805,106893
e,106869,106981
space,106981,107052
w,107029,107140
o,107141,107212
r,107253,107341
l,107366,107501
d,107501,107524
space,107557,107644
s,107621,107732
o,107701,107764
space,107789,107884
h,107885,107988
i,107965,108012
g,108093,108148
h,108125,108180
comma,108277,108452
space,108429,108484
shift,108541,108669
l,108605,108700
i,108781,108852
k,108949,109020
e,109053,109116
space,109149,109236
a,109261,109341
space,109341,109452
d,109477,109548
i,109549,109653
a,109653,109756
m,109733,109876
n,109901,109973
o,109901,109974
d,109997,110060
space,110021,110116
i,110085,110172
n,110141,110244
space,110221,110284
t,110245,110348
h,110349,110444
e,110421,110492
space,110517,110580
s,110581,110660
k,110685,110740
y,110717,110788
.,110909,110981
d,116238,116341
i,116365,116493
a,116469,116556
m,116470,116557
o,116581,116709
n,116709,116732
d,116757,116836
