date,press,release,identity
2019-11-21,12:23:27.363:,12:23:27.504:,t
2019-11-21,12:23:27.441:,12:23:27.456:,h
2019-11-21,12:23:27.528:,12:23:27.720:,e
2019-11-21,12:23:27.569:,12:23:27.584:,Key.space
2019-11-21,12:23:27.625:,12:23:27.664:,i
2019-11-21,12:23:27.897:,12:23:27.985:,t
2019-11-21,12:23:28.153:,12:23:28.248:,s
2019-11-21,12:23:28.288:,12:23:28.384:,y
2019-11-21,12:23:28.385:,12:23:28.464:,Key.space
2019-11-21,12:23:28.520:,12:23:28.688:,b
2019-11-21,12:23:28.577:,12:23:28.608:,i
2019-11-21,12:23:28.704:,12:23:28.896:,t
2019-11-21,12:23:28.784:,12:23:28.808:,s
2019-11-21,12:23:28.920:,12:23:29.096:,y
2019-11-21,12:23:28.985:,12:23:29.016:,Key.space
2019-11-21,12:23:29.144:,12:23:29.384:,s
2019-11-21,12:23:29.232:,12:23:29.256:,p
2019-11-21,12:23:29.304:,12:23:29.328:,i
2019-11-21,12:23:29.464:,12:23:29.480:,d
2019-11-21,12:23:29.568:,12:23:29.800:,e
2019-11-21,12:23:29.624:,12:23:29.656:,r
2019-11-21,12:23:29.705:,12:23:29.728:,Key.space
2019-11-21,12:23:30.105:,12:23:30.456:,c
2019-11-21,12:23:30.217:,12:23:30.240:,l
2019-11-21,12:23:30.272:,12:23:30.328:,i
2019-11-21,12:23:30.352:,12:23:30.392:,m
2019-11-21,12:23:30.536:,12:23:30.712:,b
2019-11-21,12:23:30.608:,12:23:30.640:,e
2019-11-21,12:23:30.817:,12:23:30.912:,d
2019-11-21,12:23:30.968:,12:23:31.081:,Key.space
2019-11-21,12:23:31.304:,12:23:31.472:,u
2019-11-21,12:23:31.344:,12:23:31.392:,p
2019-11-21,12:23:31.857:,12:23:31.960:,Key.space
2019-11-21,12:23:31.993:,12:23:32.160:,t
2019-11-21,12:23:32.073:,12:23:32.088:,h
2019-11-21,12:23:32.184:,12:23:32.344:,e
2019-11-21,12:23:32.232:,12:23:32.264:,Key.space
2019-11-21,12:23:32.520:,12:23:32.944:,w
2019-11-21,12:23:32.560:,12:23:32.584:,a
2019-11-21,12:23:32.648:,12:23:32.704:,t
2019-11-21,12:23:32.736:,12:23:32.768:,e
2019-11-21,12:23:32.848:,12:23:32.880:,r
2019-11-21,12:23:32.976:,12:23:33.081:,Key.space
2019-11-21,12:23:33.297:,12:23:33.368:,Key.backspace
2019-11-21,12:23:33.472:,12:23:33.576:,s
2019-11-21,12:23:33.600:,12:23:33.928:,p
2019-11-21,12:23:33.648:,12:23:33.680:,o
2019-11-21,12:23:33.753:,12:23:33.776:,u
2019-11-21,12:23:33.952:,12:23:34.008:,t
2019-11-21,12:23:34.953:,12:23:35.089:,Key.up
2019-11-21,12:23:35.225:,12:23:35.320:,Key.right
2019-11-21,12:23:36.033:,Key.left
2019-11-21,12:23:36.533:,Key.left
2019-11-21,12:23:36.562:,Key.left
2019-11-21,12:23:36.593:,Key.left
2019-11-21,12:23:36.624:,Key.left
2019-11-21,12:23:36.655:,Key.left
2019-11-21,12:23:36.686:,Key.left
2019-11-21,12:23:36.716:,Key.left
2019-11-21,12:23:36.746:,Key.left
2019-11-21,12:23:36.777:,Key.left
2019-11-21,12:23:36.807:,Key.left
2019-11-21,12:23:36.838:,Key.left
2019-11-21,12:23:36.867:,Key.left
2019-11-21,12:23:36.897:,Key.left
2019-11-21,12:23:36.928:,Key.left
2019-11-21,12:23:36.958:,Key.left
2019-11-21,12:23:36.988:,Key.left
2019-11-21,12:23:37.018:,Key.left
2019-11-21,12:23:37.049:,Key.left
2019-11-21,12:23:37.079:,Key.left
2019-11-21,12:23:37.110:,Key.left
2019-11-21,12:23:37.141:,Key.left
2019-11-21,12:23:37.171:,Key.left
2019-11-21,12:23:37.201:,Key.left
2019-11-21,12:23:37.231:,Key.left
2019-11-21,12:23:37.261:,Key.left
2019-11-21,12:23:37.291:,Key.left
2019-11-21,12:23:37.322:,Key.left
2019-11-21,12:23:37.351:,Key.left
2019-11-21,12:23:37.382:,Key.left
2019-11-21,12:23:37.413:,Key.left
2019-11-21,12:23:37.444:,Key.left
2019-11-21,12:23:37.474:,Key.left
2019-11-21,12:23:37.505:,Key.left
2019-11-21,12:23:37.535:,Key.left
2019-11-21,12:23:37.565:,Key.left
2019-11-21,12:23:37.595:,Key.left
2019-11-21,12:23:37.625:,Key.left
2019-11-21,12:23:37.656:,Key.left
2019-11-21,12:23:37.686:,Key.left
2019-11-21,12:23:37.717:,Key.left
2019-11-21,12:23:37.747:,Key.left
2019-11-21,12:23:37.777:,Key.left
2019-11-21,12:23:37.808:,Key.left
2019-11-21,12:23:37.839:,Key.left
2019-11-21,12:23:37.869:,Key.left
2019-11-21,12:23:37.899:,Key.left
2019-11-21,12:23:37.930:,Key.left
2019-11-21,12:23:37.959:,Key.left
2019-11-21,12:23:37.990:,12:23:38.008:,Key.left
2019-11-21,12:23:38.305:,12:23:38.400:,Key.right
2019-11-21,12:23:38.849:,12:23:38.928:,Key.backspace
2019-11-21,12:23:38.993:,12:23:39.192:,Key.shift
2019-11-21,12:23:39.112:,12:23:39.169:,T
2019-11-21,12:23:39.376:,Key.right
2019-11-21,12:23:39.877:,Key.right
2019-11-21,12:23:39.906:,Key.right
2019-11-21,12:23:39.937:,Key.right
2019-11-21,12:23:39.967:,Key.right
2019-11-21,12:23:39.998:,Key.right
2019-11-21,12:23:40.028:,Key.right
2019-11-21,12:23:40.060:,Key.right
2019-11-21,12:23:40.090:,Key.right
2019-11-21,12:23:40.121:,Key.right
2019-11-21,12:23:40.152:,Key.right
