user,session,keyname,timepress,timerelease
0,0,shift,0,494
0,0,t,406,517
0,0,h,541,605
0,0,e,629,709
0,0,space,733,805
0,0,i,918,981
0,0,t,1005,1085
0,0,s,1174,1285
0,0,y,1350,1413
0,0,space,1542,1621
0,0,b,1741,1797
0,0,i,1918,1997
0,0,t,2029,2109
0,0,s,2230,2341
0,0,y,2422,2477
0,0,space,2654,2725
0,0,s,2806,2925
0,0,p,2966,3037
0,0,i,3174,3237
0,0,f,3350,3429
0,0,d,3373,3405
0,0,backspace,4094,4173
0,0,backspace,4374,4445
0,0,d,4534,4621
0,0,e,4677,4741
0,0,r,4789,4837
0,0,space,5246,5317
0,0,c,5318,5389
0,0,a,5470,5573
0,0,m,5598,5725
0,0,backspace,6006,6069
0,0,backspace,6150,6221
0,0,l,6422,6510
0,0,i,6630,6709
0,0,m,6902,6957
0,0,b,7133,7205
0,0,e,7237,7405
0,0,d,7350,7485
0,0,space,7462,7549
0,0,u,7814,7901
0,0,p,8038,8109
0,0,space,8222,8294
0,0,t,8318,8413
0,0,h,8414,8469
0,0,e,8494,8573
0,0,space,8598,8669
0,0,w,8726,8829
0,0,a,8926,8997
0,0,t,9102,9181
0,0,e,9254,9389
0,0,r,9318,9429
0,0,s,9526,9629
0,0,p,9662,9726
0,0,o,9846,9917
0,0,u,10142,10221
0,0,t,10302,10398
0,0,.,10734,10853
0,0,space,11054,11157
0,0,shift,11134,11478
0,0,d,11366,11533
0,0,o,11502,11597
0,0,w,11621,11789
0,0,n,11789,11805
0,0,space,11894,11981
0,0,c,11997,12045
0,0,a,12141,12285
0,0,m,12262,12333
0,0,e,12374,12453
0,0,space,12454,12525
0,0,t,12581,12661
0,0,h,12685,12741
0,0,e,12773,12869
0,0,space,12981,13101
0,0,r,13173,13293
0,0,a,13357,13509
0,0,i,13478,13557
0,0,n,13662,13725
0,0,space,13822,13933
0,0,a,13885,14013
0,0,n,14085,14149
0,0,d,14125,14205
0,0,space,14245,14341
0,0,a,14397,14550
0,0,backspace,14902,14989
0,0,w,14965,15061
0,0,a,15037,15229
0,0,s,15157,15285
0,0,h,15253,15349
0,0,e,15422,15605
0,0,d,15542,15677
0,0,space,15653,15741
0,0,t,15781,15869
0,0,h,15909,15981
0,0,e,16061,16101
0,0,space,16117,16181
0,0,s,16213,16349
0,0,p,16382,16510
0,0,i,16654,16733
0,0,d,16781,16885
0,0,e,16933,17069
0,0,r,17037,17173
0,0,space,17109,17197
0,0,o,17333,17413
0,0,u,17527,17605
0,0,t,17629,17701
0,0,.,17845,17933
0,1,shift,0,678
0,1,m,583,638
0,1,a,750,854
0,1,r,926,1015
0,1,y,1054,1127
0,1,space,1238,1302
0,1,h,1422,1518
0,1,a,1518,1662
0,1,d,1638,1734
0,1,space,1734,1830
0,1,a,1846,1983
0,1,space,1943,2006
0,1,l,2159,2278
0,1,i,2358,2430
0,1,t,2486,2542
0,1,t,2614,2694
0,1,l,2718,2782
0,1,e,2822,2926
0,1,space,2927,2998
0,1,l,3120,3206
0,1,a,3222,3350
0,1,m,3446,3550
0,1,b,3711,3798
0,1,comma,4111,4207
0,1,space,4319,4422
0,1,shift,4391,4486
0,1,shift,4607,5022
0,1,w,4879,4998
0,1,h,5023,5086
0,1,o,5271,5294
0,1,s,5294,5374
0,1,e,5486,5598
0,1,space,5622,5694
0,1,f,5798,5950
0,1,l,5991,6046
0,1,e,6031,6046
0,1,backspace,6279,6334
0,1,backspace,6422,6478
0,1,l,6983,7054
0,1,e,7094,7182
0,1,e,7263,7398
0,1,c,7590,7702
0,1,e,7630,7862
0,1,space,7862,7886
0,1,w,7918,8023
0,1,a,8143,8318
0,1,s,8255,8374
0,1,space,8350,8446
0,1,w,8646,8766
0,1,h,8798,8870
0,1,i,8991,9054
0,1,t,9078,9230
0,1,e,9174,9278
0,1,space,9303,9398
0,1,a,9646,9822
0,1,s,9758,9878
0,1,space,9878,9934
0,1,s,10063,10190
0,1,n,10206,10278
0,1,o,10390,10470
0,1,w,10494,10566
0,1,.,10662,10742
0,1,space,11247,11343
0,1,shift,11383,11774
0,1,a,11638,11775
0,1,n,11750,11846
0,1,d,11926,12014
0,1,space,12015,12118
0,1,backspace,12463,12518
0,1,backspace,12598,12654
0,1,backspace,12718,12774
0,1,n,12911,12990
0,1,d,13006,13086
0,1,space,13126,13214
0,1,e,13727,13822
0,1,v,13886,14006
0,1,e,14007,14118
0,1,r,14062,14166
0,1,y,14190,14254
0,1,w,14390,14494
0,1,h,14534,14630
0,1,e,14710,14782
0,1,r,14758,14910
0,1,e,14878,15014
0,1,space,15038,15110
0,1,t,15174,15270
0,1,h,15318,15438
0,1,a,15462,15590
0,1,t,15654,15758
0,1,space,15758,15838
0,1,shift,16159,16478
0,1,m,16334,16422
0,1,a,16502,16558
0,1,r,16662,16782
0,1,y,16991,17102
0,1,space,17238,17350
0,1,w,17567,17646
0,1,e,17758,17846
0,1,n,17878,17990
0,1,t,18014,18086
0,1,comma,18302,18366
0,1,space,18791,18902
0,1,shift,19856,20166
0,1,t,20047,20142
0,1,h,20190,20270
0,1,e,20334,20470
0,1,space,20494,20566
0,1,l,20967,21086
0,1,a,21110,21238
0,1,m,21254,21358
0,1,b,21527,21630
0,1,space,21806,21878
0,1,w,21959,22094
0,1,a,22070,22238
0,1,s,22190,22318
0,1,space,22262,22366
0,1,s,22406,22551
0,1,u,22574,22662
0,1,r,22702,22838
0,1,e,22782,22910
0,1,space,22870,22958
0,1,t,23134,23230
0,1,o,23230,23286
0,1,space,23406,23510
0,1,g,23486,23598
0,1,o,23654,23750
0,1,.,23926,24022
0,2,shift,0,279
