keyname,timepress,timerelease
shift,0,197
t,133,244
h,245,300
e,365,444
space,429,541
shift,565,636
i,909,996
t,1029,1116
s,1173,1268
y,1292,1364
space,1557,1652
b,2277,2340
i,2317,2388
t,2445,2533
s,2565,2684
y,2700,2780
space,2781,2868
s,2900,3028
p,3029,3092
i,3069,3172
d,3148,3212
e,3301,3396
r,3341,3444
space,3428,3500
c,3797,3916
l,3893,3996
i,3940,4100
m,4101,4182
e,4183,4228
d,4309,4412
space,4444,4532
backspace,4989,5060
backspace,5125,5197
backspace,5277,5380
b,5357,5436
e,5404,5484
d,5557,5660
space,5621,5724
u,5685,5884
p,5885,5908
space,5909,5940
t,5964,6044
h,6012,6084
e,6100,6164
space,6190,6260
w,6276,6364
a,6341,6468
t,6420,6532
e,6509,6644
r,6613,6708
s,6757,6876
p,6853,6940
o,6901,7020
u,6996,7076
t,7133,7228
.,7245,7324
space,7565,7687
shift,7686,7821
d,7773,7884
o,7909,7980
w,8012,8100
n,8076,8212
space,8189,8276
c,8300,8404
a,8380,8484
m,8484,8548
e,8572,8636
space,8636,8708
t,8733,8820
h,8797,8884
e,8885,8980
space,8956,9060
r,9084,9244
a,9221,9245
i,9221,9284
n,9245,9372
space,9348,9436
a,9404,9492
n,9516,9604
d,9580,9660
space,9677,9764
w,9741,9820
a,9804,9932
s,9892,9996
h,9996,10068
e,10084,10148
d,10229,10324
space,10300,10372
t,10396,10484
h,10484,10572
space,10508,10805
e,10548,10620
s,10805,10828
p,10829,10916
i,10932,11012
backspace,11213,11284
backspace,11348,11428
backspace,11500,11580
backspace,11653,11708
backspace,11789,11852
e,11884,11948
space,11948,12060
s,12061,12140
p,12116,12212
i,12213,12276
d,12276,12324
e,12420,12516
r,12484,12588
space,12565,12628
o,12605,12700
u,12676,12772
t,12773,12852
.,12876,12932
shift,36894,37124
m,37037,37148
a,37221,37340
r,37293,37404
y,37380,37468
space,37444,37540
h,37564,37636
a,37660,37724
d,37684,37804
space,37780,37860
a,37884,37964
space,37948,38044
l,38004,38108
i,38068,38140
t,38140,38228
t,38301,38444
l,38421,38444
e,38468,38572
space,38548,38644
l,38572,38692
a,38716,38812
m,38836,38908
b,38948,39028
.,39068,39164
space,39188,39276
shift,39606,39812
w,39757,39852
h,39908,39996
o,39972,40044
s,40108,40252
e,40189,40300
space,40276,40356
f,40420,40532
l,40508,40588
e,40604,40668
e,40756,40844
c,40940,41020
e,41108,41196
space,41172,41260
w,41340,41364
a,41365,41572
s,41501,41652
space,41596,41684
w,41997,42100
h,42124,42188
i,42148,42252
t,42228,42332
e,42300,42380
space,42380,42460
a,42492,42604
s,42556,42628
space,42676,42780
s,42804,42908
n,42876,42964
o,42932,43012
w,43052,43116
.,43148,43252
space,43276,43372
shift,43605,43812
a,43740,43852
n,43892,43972
d,43996,44092
space,44068,44172
e,44357,44460
v,44476,44556
e,44572,44692
r,44668,44764
y,44748,44820
w,44844,44956
h,44956,45020
e,45044,45108
r,45108,45228
e,45196,45284
space,45284,45372
t,45372,45460
h,45484,45540
a,45516,45612
t,45564,45660
space,45636,45740
shift,45716,45860
m,45740,45828
a,45964,46108
r,46060,46180
y,46181,46276
space,46252,46412
w,46412,46468
e,46436,46516
n,46548,46628
t,46652,46772
.,46740,46852
space,46828,46916
t,46956,47044
h,47068,47124
backspace,47277,47348
shift,47372,47660
backspace,47420,47508
t,47612,47708
h,47764,47900
e,47900,47996
space,47980,48100
l,48036,48156
a,48132,48220
m,48284,48364
b,48340,48412
space,48476,48588
w,48589,48644
a,48700,48788
s,48740,48836
space,48812,48900
s,48916,49036
u,49012,49148
r,49148,49196
e,49172,49228
space,49196,49276
t,49300,49388
o,49364,49428
space,49452,49524
g,49524,49620
o,49597,49660
.,49756,49820
shift,51526,51700
h,51606,51684
e,51772,51860
m,51876,51972
p,51940,52036
t,52181,52276
y,52300,52404
backspace,52669,52804
backspace,52828,52892
backspace,52980,53036
backspace,53116,53189
backspace,53269,53324
backspace,53404,53492
shift,53798,53988
h,53876,53964
u,54060,54132
m,54220,54348
p,54316,54396
t,54452,54532
y,54548,54660
space,54612,54724
shift,54756,55076
d,55013,55148
u,55182,55204
m,55293,55412
p,55412,55476
t,55532,55612
y,55636,55740
space,55709,55812
s,55940,56084
a,56060,56188
t,56140,56252
space,56212,56308
o,56284,56372
n,56332,56444
space,56420,56484
a,56484,56572
space,56572,56652
w,56676,56804
a,56749,56876
l,56852,56908
l,56980,57052
.,57333,57412
space,57821,57910
shift,57909,58164
h,58116,58188
u,58268,58348
m,58444,58548
p,58524,58620
t,58692,58781
y,58804,58900
space,58860,58964
shift,58988,59124
d,59068,59204
u,59188,59260
m,59348,59524
p,59452,59548
t,59628,59772
y,59773,59844
space,59821,59924
h,60020,60100
a,60116,60308
d,60237,60323
space,60322,60340
a,60364,60420
space,60420,60516
g,60540,60636
r,60748,60828
e,60804,60900
a,60868,60964
t,60924,61068
space,60996,61084
f,61108,61212
a,61188,61260
l,61236,61284
l,61340,61412
.,61500,61580
space,61556,61660
shift,61708,61877
a,61820,61932
l,62044,62108
l,62196,62252
space,62292,62388
t,62372,62436
h,62468,62556
e,62532,62604
space,62628,62716
k,62684,62740
i,62812,62956
n,62933,62980
g,62956,63012
',63060,63148
s,63172,63260
space,63276,63372
h,63532,63580
o,63556,63612
r,63636,63724
s,63724,63828
e,63796,63900
s,63924,64036
space,64060,64156
a,64645,64732
n,64756,64812
d,64828,64908
space,64909,64988
a,65020,65116
l,65092,65156
l,65212,65308
space,65276,65372
t,65348,65420
h,65444,65516
e,65492,65564
space,65588,65676
k,65628,65700
i,65820,65860
n,65844,65932
g,66108,66204
',66260,66348
s,66404,66492
space,66508,66620
m,66644,66700
e,66740,66812
n,66836,66892
space,66965,67052
shift,67213,67324
c,67292,67412
o,67380,67468
u,67436,67516
l,67540,67620
d,67660,67772
n,67748,67844
',67820,67900
t,67924,68004
space,68028,68124
p,68236,68324
u,68292,68404
t,68380,68467
space,68444,68539
h,68596,68676
backspace,68908,68972
shift,69013,69156
h,69084,69157
u,69253,69316
m,69412,69500
p,69468,69564
t,69644,69740
y,69740,69859
space,69836,69939
t,70100,70196
o,70172,70236
g,70276,70396
e,70372,70476
t,70516,70628
h,70660,70708
e,70740,70836
r,70796,70884
space,70908,70996
a,70996,71076
g,71053,71204
a,71148,71276
i,71172,71252
n,71205,71300
.,71356,71428
shift,73094,73268
t,73205,73340
w,73372,73460
i,73460,73532
n,73596,73692
k,73652,73804
l,73772,73868
e,73948,74052
.,74349,74460
space,74412,74531
t,74820,74956
w,74932,75036
i,75012,75116
n,75092,75268
k,75197,75324
l,75300,75404
e,75428,75532
.,75580,75716
space,75676,75795
l,75844,75980
i,75924,76020
t,76020,76068
t,76148,76252
l,76229,76307
e,76332,76387
space,76412,76516
s,76556,76660
t,76684,76772
a,76796,76924
r,76892,76995
.,77020,77132
space,77068,77185
shift,77183,77332
h,77301,77372
o,77452,77524
w,77564,77652
space,77676,77780
i,77860,77900
backspace,78132,78213
shift,78236,78396
i,78308,78397
space,78468,78572
w,78748,78852
o,78852,78924
n,78892,78996
d,78956,79059
e,79116,79269
r,79197,79292
space,79292,79363
w,79348,79428
h,79452,79524
a,79524,79636
t,79556,79716
space,79612,79717
y,79716,79788
o,79764,79891
u,79860,80027
space,80004,80059
a,80004,80083
r,80028,80124
e,80084,80164
shift,80228,80524
!,80405,80492
space,80660,80788
shift,80812,81132
u,81108,81180
p,81261,81356
space,81380,81467
a,81444,81547
b,81500,81611
o,81636,81716
v,81740,81859
e,81836,81923
space,81980,82059
t,82060,82099
h,82132,82228
e,82205,82275
space,82300,82404
w,82556,82667
o,82692,82756
r,82796,82923
l,82844,82924
d,83084,83196
space,83557,83676
s,83812,83915
o,83892,83963
space,83940,84107
h,84132,84156
i,84132,84180
g,84212,84308
h,84284,84348
.,84444,84563
space,84532,84629
shift,84628,84780
l,84708,84803
i,84908,84995
k,85140,85204
e,85340,85380
space,85420,85516
a,85556,85635
space,85652,85739
d,85820,85939
i,85916,86035
m,86012,86083
a,86068,86131
o,86156,86259
n,86228,86323
d,86364,86451
space,86436,86523
i,86524,86619
n,86596,86683
space,86660,86739
t,86716,86795
h,86820,86891
e,86908,86987
space,86964,87051
s,87052,87163
k,87140,87211
y,87188,87259
.,87356,87436
d,90629,90740
i,90708,90828
m,90804,90851
a,90876,90972
backspace,91260,91332
backspace,91388,91484
a,91548,91652
m,91629,91699
o,91732,91820
n,91796,91859
d,91884,91964
