date,press,release,identity
2019-11-21,12:25:47.515:,12:25:47.759:,Key.shift
2019-11-21,12:25:47.648:,12:25:47.712:,T
2019-11-21,12:25:47.760:,12:25:47.815:,h
2019-11-21,12:25:47.880:,12:25:48.056:,e
2019-11-21,12:25:47.944:,12:25:47.959:,Key.space
2019-11-21,12:25:48.080:,12:25:48.151:,Key.shift
2019-11-21,12:25:48.424:,12:25:48.511:,i
2019-11-21,12:25:48.544:,12:25:48.631:,t
2019-11-21,12:25:48.688:,12:25:48.783:,s
2019-11-21,12:25:48.807:,12:25:48.879:,y
2019-11-21,12:25:49.072:,12:25:49.167:,Key.space
2019-11-21,12:25:49.792:,12:25:49.903:,b
2019-11-21,12:25:49.832:,12:25:49.855:,i
2019-11-21,12:25:49.960:,12:25:50.048:,t
2019-11-21,12:25:50.080:,12:25:50.199:,s
2019-11-21,12:25:50.215:,12:25:50.295:,y
2019-11-21,12:25:50.296:,12:25:50.383:,Key.space
2019-11-21,12:25:50.415:,12:25:50.543:,s
2019-11-21,12:25:50.544:,12:25:50.727:,p
2019-11-21,12:25:50.584:,12:25:50.607:,i
2019-11-21,12:25:50.663:,12:25:50.687:,d
2019-11-21,12:25:50.816:,12:25:51.015:,e
2019-11-21,12:25:50.856:,12:25:50.911:,r
2019-11-21,12:25:50.943:,12:25:50.959:,Key.space
2019-11-21,12:25:51.312:,12:25:51.615:,c
2019-11-21,12:25:51.408:,12:25:51.431:,l
2019-11-21,12:25:51.455:,12:25:51.511:,i
2019-11-21,12:25:51.616:,12:25:51.697:,m
2019-11-21,12:25:51.698:,12:25:51.743:,e
2019-11-21,12:25:51.824:,12:25:51.927:,d
2019-11-21,12:25:51.959:,12:25:52.047:,Key.space
2019-11-21,12:25:52.504:,12:25:52.575:,Key.backspace
2019-11-21,12:25:52.640:,12:25:52.712:,Key.backspace
2019-11-21,12:25:52.792:,12:25:52.999:,Key.backspace
2019-11-21,12:25:52.872:,12:25:52.895:,b
2019-11-21,12:25:52.919:,12:25:52.951:,e
2019-11-21,12:25:53.072:,12:25:53.399:,d
2019-11-21,12:25:53.136:,12:25:53.175:,Key.space
2019-11-21,12:25:53.200:,12:25:53.239:,u
2019-11-21,12:25:53.400:,12:25:53.423:,p
2019-11-21,12:25:53.424:,12:25:53.455:,Key.space
2019-11-21,12:25:53.479:,12:25:53.599:,t
2019-11-21,12:25:53.527:,12:25:53.559:,h
2019-11-21,12:25:53.615:,12:25:53.679:,e
2019-11-21,12:25:53.705:,12:25:53.775:,Key.space
2019-11-21,12:25:53.791:,12:25:54.223:,w
2019-11-21,12:25:53.856:,12:25:53.879:,a
2019-11-21,12:25:53.935:,12:25:53.983:,t
2019-11-21,12:25:54.024:,12:25:54.047:,e
2019-11-21,12:25:54.128:,12:25:54.159:,r
2019-11-21,12:25:54.272:,12:25:54.591:,s
2019-11-21,12:25:54.368:,12:25:54.391:,p
2019-11-21,12:25:54.416:,12:25:54.455:,o
2019-11-21,12:25:54.511:,12:25:54.535:,u
2019-11-21,12:25:54.648:,12:25:54.743:,t
2019-11-21,12:25:54.760:,12:25:54.839:,.
2019-11-21,12:25:55.080:,12:25:55.399:,Key.space
2019-11-21,12:25:55.201:,12:25:55.202:,Key.shift
2019-11-21,12:25:55.288:,12:25:55.336:,D
2019-11-21,12:25:55.424:,12:25:55.495:,o
2019-11-21,12:25:55.527:,12:25:55.791:,w
2019-11-21,12:25:55.591:,12:25:55.615:,n
2019-11-21,12:25:55.704:,12:25:55.727:,Key.space
2019-11-21,12:25:55.815:,12:25:55.999:,c
2019-11-21,12:25:55.895:,12:25:55.919:,a
2019-11-21,12:25:55.999:,12:25:56.063:,m
2019-11-21,12:25:56.087:,12:25:56.151:,e
2019-11-21,12:25:56.151:,12:25:56.223:,Key.space
2019-11-21,12:25:56.248:,12:25:56.399:,t
2019-11-21,12:25:56.312:,12:25:56.335:,h
2019-11-21,12:25:56.400:,12:25:56.575:,e
2019-11-21,12:25:56.471:,12:25:56.495:,Key.space
2019-11-21,12:25:56.599:,12:25:57.007:,r
2019-11-21,12:25:56.736:,12:25:56.760:,a
2019-11-21,12:25:56.736:,12:25:56.759:,i
2019-11-21,12:25:56.760:,12:25:56.799:,n
2019-11-21,12:25:56.863:,12:25:56.887:,Key.space
2019-11-21,12:25:56.919:,12:25:56.951:,a
2019-11-21,12:25:57.031:,12:25:57.175:,n
2019-11-21,12:25:57.095:,12:25:57.119:,d
2019-11-21,12:25:57.192:,12:25:57.511:,Key.space
2019-11-21,12:25:57.256:,12:25:57.279:,w
2019-11-21,12:25:57.319:,12:25:57.335:,a
2019-11-21,12:25:57.407:,12:25:57.447:,s
2019-11-21,12:25:57.511:,12:25:57.583:,h
2019-11-21,12:25:57.599:,12:25:57.663:,e
2019-11-21,12:25:57.744:,12:25:57.887:,d
2019-11-21,12:25:57.815:,12:25:57.839:,Key.space
2019-11-21,12:25:57.911:,12:25:57.999:,t
2019-11-21,12:25:57.999:,12:25:58.320:,h
2019-11-21,12:25:58.023:,12:25:58.135:,Key.space
2019-11-21,12:25:58.063:,12:25:58.087:,e
2019-11-21,12:25:58.320:,12:25:58.343:,s
2019-11-21,12:25:58.344:,12:25:58.431:,p
2019-11-21,12:25:58.447:,12:25:58.527:,i
2019-11-21,12:25:58.728:,12:25:58.799:,Key.backspace
2019-11-21,12:25:58.863:,12:25:58.943:,Key.backspace
2019-11-21,12:25:59.015:,12:25:59.095:,Key.backspace
2019-11-21,12:25:59.168:,12:25:59.223:,Key.backspace
2019-11-21,12:25:59.304:,12:25:59.367:,Key.backspace
2019-11-21,12:25:59.399:,12:25:59.463:,e
2019-11-21,12:25:59.463:,12:25:59.575:,Key.space
2019-11-21,12:25:59.576:,12:25:59.727:,s
2019-11-21,12:25:59.631:,12:25:59.655:,p
2019-11-21,12:25:59.728:,12:25:59.791:,i
2019-11-21,12:25:59.791:,12:25:59.839:,d
2019-11-21,12:25:59.935:,12:26:00.287:,e
2019-11-21,12:25:59.999:,12:26:00.031:,r
