keyname,timepress,timerelease
shift,0,398
t,326,421
h,477,541
e,565,637
space,661,725
i,845,917
t,933,1038
s,1109,1221
y,1253,1317
space,1429,1493
b,1629,1693
i,1821,1901
t,1925,1981
s,2198,2269
y,2317,2397
space,2525,2613
s,2701,2837
p,2813,2909
i,3047,3133
d,3165,3253
e,3293,3413
r,3373,3461
space,3429,3509
c,3589,3669
l,3701,3781
i,4006,4078
m,4221,4293
b,4437,4509
e,4509,4645
d,4589,4693
space,4677,4733
u,4885,4933
p,5254,5325
space,5477,5541
t,5597,5685
h,5686,5749
e,5829,5925
space,5901,5973
w,6174,6309
a,6277,6405
t,6565,6637
e,6661,6757
r,6701,6789
s,6877,6989
p,7109,7189
o,7381,7453
u,7573,7645
t,7701,7773
.,8326,8405
space,8557,8639
shift,8638,9046
d,8941,9069
o,9093,9157
w,9198,9285
n,9309,9381
space,9565,9693
c,9693,9773
a,9885,9981
m,10606,10677
e,10701,10813
space,10837,10909
t,11190,11301
h,11325,11373
e,11405,11501
space,11517,11581
r,11637,11741
a,11781,11909
i,11885,11957
n,12069,12125
space,12229,12301
a,12302,12381
n,12429,12501
d,12541,12645
space,12685,12765
w,12845,12989
a,12965,13133
s,13077,13181
h,13205,13269
e,13301,13477
d,13397,13525
space,13501,13573
t,13621,13693
h,13717,13773
e,13797,13837
space,13885,13949
s,13973,14069
p,14125,14181
i,14742,14861
d,14933,14949
e,14981,15133
r,15077,15173
space,15189,15253
o,15414,15493
u,15589,15653
t,15725,15805
.,15998,16069
shift,18639,19301
m,19190,19245
a,19317,19357
r,19526,19613
y,19677,19733
space,19885,19973
h,20301,20397
a,20421,20597
d,20573,20645
space,20669,20733
a,20765,20869
space,20869,20941
l,21062,21141
i,21269,21365
t,21389,21437
t,21525,21605
l,21629,21685
e,21781,21885
space,21925,22005
l,22373,22469
a,22565,22661
m,22725,22797
b,22965,23037
.,23622,23693
space,24085,24173
shift,24126,24389
w,24301,24390
h,24413,24461
o,24614,24677
s,24709,24789
e,24878,24989
space,24965,25069
