keyname,timepress,timerelease
shift,0,469
t,341,420
h,597,677
e,709,820
space,797,868
i,925,996
s,1053,1180
t,1149,1212
y,1389,1460
backspace,1677,1733
backspace,1885,1988
backspace,2061,2165
t,2277,2356
s,2541,2620
y,2693,2716
space,2814,2901
b,3085,3164
i,3189,3236
t,3333,3396
s,3613,3692
y,3869,3916
space,4021,4108
s,4397,4541
p,4461,4541
i,4653,4700
d,4749,4821
e,4989,5076
r,5013,5116
space,5077,5180
c,5373,5452
l,5469,5540
i,5653,5773
m,5749,5861
b,5917,5988
e,6109,6188
d,6293,6412
space,6389,6468
u,6509,6588
p,6637,6740
space,6701,6789
t,6830,6893
h,6917,6980
e,6996,7092
space,7069,7140
w,7180,7276
a,7437,7548
t,7549,7628
e,7733,7901
r,7821,7902
s,7989,8100
p,8077,8148
o,8236,8380
i,8309,8404
u,8405,8500
backspace,8709,8780
backspace,8845,8917
u,9037,9092
t,9156,9212
.,9292,9372
space,10006,10100
shift,10221,11102
shift,11502,11789
d,11685,11764
o,11893,11973
w,11997,12052
n,12116,12188
space,12220,12316
c,12485,12564
a,12613,12708
m,12709,12797
e,12837,12940
space,12925,13012
t,13077,13124
h,13180,13236
e,13236,13348
space,13308,13404
r,13604,13700
a,13765,13853
i,13877,13972
n,13924,14092
space,14108,14148
a,14180,14276
n,14356,14452
d,14436,14540
space,14508,14620
w,14660,14740
a,14829,14940
s,15037,15124
h,15148,15220
e,15260,15340
d,15436,15516
space,15484,15580
t,15605,15668
h,15724,15796
e,15797,15900
space,15861,15980
s,16029,16132
p,16109,16172
i,16340,16404
d,16428,16508
e,16636,16756
r,16732,16804
space,16981,17077
o,17157,17268
u,17236,17316
t,17292,17364
.,17500,17588
shift,20614,21020
m,20893,20996
a,21166,21300
r,21277,21348
y,21468,21532
space,21612,21700
h,21957,22036
a,22052,22140
d,22205,22300
a,22477,22652
space,22653,22684
backspace,23021,23092
backspace,23157,23237
space,23325,23420
a,23444,23516
space,23636,23652
l,24085,24140
i,24237,24292
t,24364,24404
t,24492,24564
l,24652,24732
e,24756,24860
space,24884,24932
l,25221,25308
a,25372,25460
m,25596,25668
b,25805,25860
.,26277,26340
space,26645,26732
shift,27014,27444
w,27309,27396
h,27653,27724
o,27869,27940
s,28333,28404
e,28533,28580
space,28749,28837
f,29477,29572
l,29644,29708
e,29740,29820
e,29884,29956
c,30133,30204
e,30252,30325
space,30413,30524
w,30589,30685
a,30805,30956
s,30829,30980
space,30933,31044
w,31188,31284
h,31332,31373
i,31469,31532
t,31596,31660
e,31708,31828
space,31829,31924
a,31980,32164
s,32044,32188
space,32140,32260
s,32573,32660
n,32700,32772
o,32884,32956
w,32996,33076
.,33613,33700
space,34061,34140
shift,34245,34892
a,34765,34868
n,35037,35132
d,35164,35236
space,35661,35740
e,35877,35948
v,36068,36132
e,36284,36332
