keyname,timepress,timerelease
shift,0,188
t,109,164
h,269,381
e,382,436
space,469,540
i,3662,3716
t,4325,4389
s,4541,4612
y,4668,4732
space,4845,4916
b,6046,6101
i,6197,6276
t,6381,6437
s,6485,6548
y,6596,6652
space,6725,6796
s,7462,7548
p,7573,7628
i,7957,8012
d,8052,8116
e,8196,8276
r,8365,8436
space,9445,9525
c,9989,10068
l,10092,10132
i,10237,10284
m,10397,10452
b,10869,10932
e,10980,11036
d,11133,11212
space,11253,11332
u,12453,12524
p,12621,12700
space,12788,12852
t,12924,12988
h,13108,13172
e,13148,13220
space,13276,13357
w,14109,14180
a,14301,14380
t,14613,14676
e,14724,14804
r,14884,14956
s,16061,16132
p,16196,16252
o,16389,16444
u,16612,16669
t,16796,16860
.,17726,17812
space,18437,18516
shift,18629,18980
d,18925,19004
o,19028,19092
w,19148,19212
n,19244,19308
space,19389,19484
c,19524,19596
a,19733,19820
m,19980,20044
e,20100,20156
space,20196,20268
t,20445,20500
h,20620,20700
e,20700,20748
space,20796,20860
r,21004,21068
a,21204,21284
i,21308,21388
n,21484,21548
space,22221,22284
a,22325,22404
n,22428,22476
d,22524,22604
space,22628,22644
w,23221,23292
a,23397,23468
s,23564,23644
h,23676,23740
e,23772,23836
d,23932,24004
space,24044,24124
t,24565,24628
h,24732,24820
e,24821,24884
space,24908,24980
s,25381,25444
p,25548,25604
i,25772,25836
d,25885,25948
e,26020,26092
r,26180,26260
space,26284,26348
o,26516,26580
u,26716,26772
t,26893,26956
.,27405,27476
shift,30566,30772
m,30701,30748
a,30796,30876
r,31085,31156
y,31196,31260
space,31317,31396
a,31420,31500
n,31548,31588
backspace,31908,31989
backspace,32373,32428
h,32636,32700
a,32740,32796
d,33053,33108
space,33148,33236
a,33284,33364
space,33396,33476
l,33941,34012
i,34141,34188
t,34357,34484
t,34508,34564
l,34716,34788
e,34828,34876
space,34908,34964
l,35077,35140
a,35196,35260
m,35333,35388
b,35604,35676
.,36837,36916
space,37012,37092
shift,37125,37276
w,37245,37324
h,37388,37452
o,37532,37604
s,37644,37724
e,37820,37900
space,37940,38020
f,39165,39220
l,39333,39404
e,39556,39612
e,39700,39772
c,39908,39972
e,40068,40140
space,40205,40292
w,40717,40788
a,40900,40996
space,41124,41221
backspace,41693,41772
s,41860,41924
space,42188,42285
w,42565,42620
i,42868,42932
g,43148,43220
i,43285,43349
t,43453,43524
e,43548,43612
space,43636,43724
backspace,44237,44301
backspace,44365,44420
backspace,44476,44524
backspace,44588,44636
backspace,44708,44764
backspace,45092,45148
h,45541,45604
i,45756,45820
t,45964,46020
e,46076,46196
space,46196,46260
a,46373,46396
s,46468,46548
space,46596,46668
w,47373,47420
backspace,47772,47828
s,47924,47996
n,48028,48100
o,48228,48252
w,48252,48300
.,49853,49932
space,50220,50276
shift,50582,50772
a,50774,50844
n,50828,50892
d,51036,51108
space,51405,51484
backspace,52277,52340
backspace,52404,52460
backspace,52524,52556
backspace,52956,53020
shift,53124,53292
a,53268,53356
n,53501,53580
d,54389,54460
space,54621,54700
e,54908,54956
v,55148,55220
e,55260,55324
r,55420,55484
y,56029,56100
w,56637,56724
h,56916,56988
e,57116,57196
r,57300,57356
e,57460,57524
space,57589,57668
t,59045,59116
h,59212,59276
a,59300,59356
t,59380,59436
space,59492,59572
m,60165,60220
a,60252,60332
r,60556,60628
y,60652,60716
insert,63021,63140
backspace,63220,63252
backspace,63396,63452
backspace,63596,63660
backspace,64117,64172
