date,press,release,identity
2019-11-21,13:38:21.004:,13:38:21.297:,Key.shift
2019-11-21,13:38:21.202:,13:38:21.273:,T
2019-11-21,13:38:21.321:,13:38:21.449:,h
2019-11-21,13:38:21.449:,13:38:21.521:,e
2019-11-21,13:38:21.521:,13:38:21.810:,Key.space
2019-11-21,13:38:21.561:,13:38:21.609:,i
2019-11-21,13:38:21.641:,13:38:21.810:,t
2019-11-21,13:38:21.833:,13:38:22.065:,s
2019-11-21,13:38:21.857:,13:38:21.889:,y
2019-11-21,13:38:21.961:,13:38:21.985:,Key.space
2019-11-21,13:38:22.089:,13:38:22.161:,b
2019-11-21,13:38:22.177:,13:38:22.281:,i
2019-11-21,13:38:22.281:,13:38:22.329:,t
2019-11-21,13:38:22.425:,13:38:22.576:,s
2019-11-21,13:38:22.481:,13:38:22.529:,y
2019-11-21,13:38:22.601:,13:38:23.000:,Key.space
2019-11-21,13:38:22.657:,13:38:22.681:,s
2019-11-21,13:38:22.753:,13:38:22.777:,p
2019-11-21,13:38:22.801:,13:38:22.857:,i
2019-11-21,13:38:22.937:,13:38:22.961:,d
2019-11-21,13:38:23.090:,13:38:23.145:,e
2019-11-21,13:38:23.217:,13:38:23.384:,r
2019-11-21,13:38:23.297:,13:38:23.321:,Key.space
2019-11-21,13:38:23.425:,13:38:23.552:,c
2019-11-21,13:38:23.489:,13:38:23.513:,l
2019-11-21,13:38:23.641:,13:38:23.856:,i
2019-11-21,13:38:23.707:,13:38:23.761:,m
2019-11-21,13:38:23.785:,13:38:23.825:,b
2019-11-21,13:38:23.953:,13:38:24.041:,e
2019-11-21,13:38:24.121:,13:38:24.240:,d
2019-11-21,13:38:24.169:,13:38:24.225:,Key.space
2019-11-21,13:38:24.369:,13:38:24.576:,u
2019-11-21,13:38:24.457:,13:38:24.545:,p
2019-11-21,13:38:24.593:,13:38:24.721:,Key.space
2019-11-21,13:38:24.633:,13:38:24.697:,t
2019-11-21,13:38:24.722:,13:38:24.881:,h
2019-11-21,13:38:24.882:,13:38:24.921:,e
2019-11-21,13:38:24.945:,13:38:25.001:,Key.space
2019-11-21,13:38:25.057:,13:38:25.113:,s
2019-11-21,13:38:25.305:,13:38:25.433:,Key.backspace
2019-11-21,13:38:25.353:,13:38:25.401:,w
2019-11-21,13:38:25.545:,13:38:25.609:,a
2019-11-21,13:38:25.994:,13:38:26.065:,t
2019-11-21,13:38:26.218:,13:38:26.273:,e
2019-11-21,13:38:26.489:,13:38:26.609:,s
2019-11-21,13:38:26.737:,13:38:26.872:,Key.backspace
2019-11-21,13:38:26.817:,13:38:26.841:,r
2019-11-21,13:38:26.977:,13:38:27.136:,s
2019-11-21,13:38:27.025:,13:38:27.080:,p
2019-11-21,13:38:27.258:,13:38:27.441:,o
2019-11-21,13:38:27.345:,13:38:27.369:,u
2019-11-21,13:38:27.457:,13:38:27.521:,t
2019-11-21,13:38:27.585:,13:38:27.707:,.
2019-11-21,13:38:27.779:,13:38:27.874:,Key.space
2019-11-21,13:38:27.913:,13:38:28.193:,Key.shift
2019-11-21,13:38:28.001:,13:38:28.049:,D
2019-11-21,13:38:28.194:,13:38:28.217:,o
2019-11-21,13:38:28.217:,13:38:28.305:,w
2019-11-21,13:38:28.305:,13:38:28.536:,n
2019-11-21,13:38:28.377:,13:38:28.400:,Key.space
2019-11-21,13:38:28.449:,13:38:28.480:,c
2019-11-21,13:38:28.625:,13:38:28.809:,a
2019-11-21,13:38:28.689:,13:38:28.729:,m
2019-11-21,13:38:28.825:,13:38:28.944:,e
2019-11-21,13:38:28.881:,13:38:28.912:,Key.space
2019-11-21,13:38:29.025:,13:38:29.144:,t
2019-11-21,13:38:29.049:,13:38:29.097:,h
2019-11-21,13:38:29.209:,13:38:29.344:,e
2019-11-21,13:38:29.241:,13:38:29.280:,Key.space
2019-11-21,13:38:29.369:,13:38:29.488:,r
2019-11-21,13:38:29.569:,13:38:29.952:,a
2019-11-21,13:38:29.593:,13:38:29.640:,i
2019-11-21,13:38:29.657:,13:38:29.705:,n
2019-11-21,13:38:29.729:,13:38:29.760:,Key.space
2019-11-21,13:38:29.785:,13:38:29.832:,a
2019-11-21,13:38:29.865:,13:38:29.888:,n
2019-11-21,13:38:29.969:,13:38:30.040:,d
2019-11-21,13:38:30.065:,13:38:30.208:,Key.space
2019-11-21,13:38:30.137:,13:38:30.160:,w
2019-11-21,13:38:30.314:,13:38:30.353:,a
2019-11-21,13:38:30.441:,13:38:30.513:,s
2019-11-21,13:38:30.545:,13:38:30.697:,h
2019-11-21,13:38:30.625:,13:38:30.648:,e
2019-11-21,13:38:30.777:,13:38:30.905:,d
2019-11-21,13:38:30.833:,13:38:30.856:,Key.space
2019-11-21,13:38:30.977:,13:38:31.089:,t
2019-11-21,13:38:31.089:,13:38:31.129:,h
2019-11-21,13:38:31.161:,13:38:31.241:,e
2019-11-21,13:38:31.242:,13:38:31.305:,Key.space
2019-11-21,13:38:31.337:,13:38:31.666:,s
2019-11-21,13:38:31.417:,13:38:31.465:,p
2019-11-21,13:38:31.489:,13:38:31.529:,i
2019-11-21,13:38:31.577:,13:38:31.617:,d
2019-11-21,13:38:31.746:,13:38:31.801:,e
2019-11-21,13:38:31.865:,13:38:32.009:,r
2019-11-21,13:38:31.937:,13:38:31.985:,Key.space
2019-11-21,13:38:32.057:,13:38:32.313:,o
2019-11-21,13:38:32.145:,13:38:32.168:,u
2019-11-21,13:38:32.314:,13:38:32.337:,t
2019-11-21,13:38:32.369:,13:38:32.473:,.
2019-11-21,13:38:34.675:,13:38:35.145:,Key.shift
2019-11-21,13:38:34.946:,13:38:35.057:,M
2019-11-21,13:38:35.249:,13:38:35.337:,a
2019-11-21,13:38:35.441:,13:38:35.576:,r
2019-11-21,13:38:35.481:,13:38:35.513:,y
2019-11-21,13:38:35.593:,13:38:35.673:,Key.space
2019-11-21,13:38:35.673:,13:38:35.840:,h
2019-11-21,13:38:35.754:,13:38:35.785:,a
2019-11-21,13:38:35.905:,13:38:36.032:,d
2019-11-21,13:38:35.945:,13:38:35.976:,Key.space
2019-11-21,13:38:36.073:,13:38:36.248:,a
2019-11-21,13:38:36.121:,13:38:36.169:,Key.space
2019-11-21,13:38:36.249:,13:38:36.273:,l
2019-11-21,13:38:36.386:,13:38:36.481:,i
2019-11-21,13:38:36.617:,13:38:36.697:,t
2019-11-21,13:38:36.785:,13:38:36.865:,t
2019-11-21,13:38:36.889:,13:38:36.969:,l
2019-11-21,13:38:36.993:,13:38:37.153:,e
2019-11-21,13:38:37.057:,13:38:37.081:,Key.space
2019-11-21,13:38:37.177:,13:38:37.368:,l
2019-11-21,13:38:37.273:,13:38:37.297:,a
2019-11-21,13:38:37.393:,13:38:37.489:,m
2019-11-21,13:38:37.521:,13:38:37.601:,b
2019-11-21,13:38:37.657:,13:38:37.761:,.
2019-11-21,13:38:37.785:,13:38:37.857:,Key.space
2019-11-21,13:38:37.881:,13:38:38.240:,Key.shift
2019-11-21,13:38:37.945:,13:38:38.009:,W
2019-11-21,13:38:38.010:,13:38:38.033:,h
2019-11-21,13:38:38.105:,13:38:38.137:,o
2019-11-21,13:38:38.169:,13:38:38.209:,s
2019-11-21,13:38:38.337:,13:38:38.489:,e
2019-11-21,13:38:38.401:,13:38:38.417:,Key.space
2019-11-21,13:38:38.513:,13:38:38.664:,f
2019-11-21,13:38:38.577:,13:38:38.601:,l
2019-11-21,13:38:38.706:,13:38:38.777:,e
2019-11-21,13:38:38.833:,13:38:38.929:,e
2019-11-21,13:38:39.017:,13:38:39.072:,c
2019-11-21,13:38:39.193:,13:38:39.368:,e
2019-11-21,13:38:39.273:,13:38:39.296:,Key.space
2019-11-21,13:38:39.385:,13:38:39.473:,w
2019-11-21,13:38:39.569:,13:38:39.633:,a
2019-11-21,13:38:39.721:,13:38:39.896:,s
2019-11-21,13:38:39.769:,13:38:39.801:,Key.space
2019-11-21,13:38:39.897:,13:38:39.985:,w
2019-11-21,13:38:40.057:,13:38:40.120:,i
2019-11-21,13:38:40.441:,13:38:40.537:,Key.backspace
2019-11-21,13:38:40.657:,13:38:40.889:,h
2019-11-21,13:38:40.729:,13:38:40.809:,i
2019-11-21,13:38:40.809:,13:38:40.889:,t
2019-11-21,13:38:40.993:,13:38:41.185:,e
2019-11-21,13:38:41.065:,13:38:41.089:,Key.space
2019-11-21,13:38:41.185:,13:38:41.256:,a
2019-11-21,13:38:41.337:,13:38:41.456:,s
2019-11-21,13:38:41.369:,13:38:41.424:,Key.space
2019-11-21,13:38:41.538:,13:38:41.665:,n
2019-11-21,13:38:41.890:,13:38:41.969:,Key.backspace
2019-11-21,13:38:42.161:,13:38:42.424:,s
2019-11-21,13:38:42.265:,13:38:42.296:,n
2019-11-21,13:38:42.321:,13:38:42.368:,o
2019-11-21,13:38:42.425:,13:38:42.514:,w
2019-11-21,13:38:42.633:,13:38:42.737:,.
2019-11-21,13:38:42.913:,13:38:43.016:,Key.space
2019-11-21,13:38:43.113:,13:38:43.496:,Key.shift
2019-11-21,13:38:43.305:,13:38:43.361:,A
2019-11-21,13:38:43.393:,13:38:43.416:,n
2019-11-21,13:38:43.521:,13:38:43.705:,d
2019-11-21,13:38:43.601:,13:38:43.624:,Key.space
2019-11-21,13:38:43.729:,13:38:43.784:,e
2019-11-21,13:38:44.177:,13:38:44.296:,v
2019-11-21,13:38:44.537:,13:38:44.633:,r
2019-11-21,13:38:44.825:,13:38:45.008:,Key.backspace
2019-11-21,13:38:44.929:,13:38:44.952:,e
2019-11-21,13:38:45.073:,13:38:45.256:,r
2019-11-21,13:38:45.161:,13:38:45.184:,y
2019-11-21,13:38:45.297:,13:38:45.368:,w
2019-11-21,13:38:45.505:,13:38:45.585:,e
2019-11-21,13:38:45.778:,13:38:45.856:,Key.backspace
2019-11-21,13:38:45.969:,13:38:46.056:,j
2019-11-21,13:38:46.321:,13:38:46.416:,Key.backspace
2019-11-21,13:38:46.497:,13:38:46.664:,h
2019-11-21,13:38:46.593:,13:38:46.633:,e
2019-11-21,13:38:46.761:,13:38:46.832:,r
2019-11-21,13:38:46.921:,13:38:47.040:,e
2019-11-21,13:38:46.961:,13:38:47.000:,Key.space
2019-11-21,13:38:47.089:,13:38:47.136:,t
2019-11-21,13:38:47.137:,13:38:47.264:,h
2019-11-21,13:38:47.289:,13:38:47.344:,a
2019-11-21,13:38:47.513:,13:38:47.536:,t
2019-11-21,13:38:47.537:,13:38:47.880:,Key.space
2019-11-21,13:38:47.618:,13:38:47.618:,Key.shift
2019-11-21,13:38:47.714:,13:38:47.769:,M
2019-11-21,13:38:47.793:,13:38:47.816:,a
2019-11-21,13:38:47.985:,13:38:48.064:,r
2019-11-21,13:38:48.089:,13:38:48.136:,u
2019-11-21,13:38:48.409:,13:38:48.544:,Key.backspace
2019-11-21,13:38:48.617:,13:38:48.713:,y
2019-11-21,13:38:48.785:,13:38:48.976:,Key.space
2019-11-21,13:38:48.881:,13:38:48.904:,w
2019-11-21,13:38:49.033:,13:38:49.216:,e
2019-11-21,13:38:49.137:,13:38:49.160:,n
2019-11-21,13:38:49.249:,13:38:49.328:,t
2019-11-21,13:38:49.409:,13:38:49.457:,.
2019-11-21,13:38:49.433:,13:38:49.456:,.
2019-11-21,13:38:49.858:,13:38:49.952:,Key.backspace
2019-11-21,13:38:50.033:,13:38:50.128:,Key.backspace
2019-11-21,13:38:50.201:,13:38:50.304:,.
2019-11-21,13:38:50.305:,13:38:50.480:,Key.space
2019-11-21,13:38:50.393:,13:38:50.416:,t
2019-11-21,13:38:50.513:,13:38:50.633:,h
2019-11-21,13:38:50.914:,13:38:50.968:,Key.backspace
2019-11-21,13:38:51.049:,13:38:51.112:,Key.backspace
2019-11-21,13:38:51.249:,13:38:51.456:,Key.shift
2019-11-21,13:38:51.345:,13:38:51.433:,T
2019-11-21,13:38:51.481:,13:38:51.640:,h
2019-11-21,13:38:51.553:,13:38:51.576:,e
2019-11-21,13:38:51.665:,13:38:51.729:,Key.space
2019-11-21,13:38:51.730:,13:38:51.848:,l
2019-11-21,13:38:51.873:,13:38:52.056:,a
2019-11-21,13:38:51.921:,13:38:51.944:,m
2019-11-21,13:38:52.081:,13:38:52.152:,b
2019-11-21,13:38:52.177:,13:38:52.272:,Key.space
2019-11-21,13:38:52.297:,13:38:52.352:,w
2019-11-21,13:38:52.457:,13:38:52.520:,a
2019-11-21,13:38:52.585:,13:38:52.721:,s
2019-11-21,13:38:52.657:,13:38:52.680:,Key.space
2019-11-21,13:38:52.777:,13:38:52.960:,s
2019-11-21,13:38:52.817:,13:38:52.872:,u
2019-11-21,13:38:52.993:,13:38:53.008:,r
2019-11-21,13:38:53.105:,13:38:53.240:,e
2019-11-21,13:38:53.161:,13:38:53.184:,Key.space
2019-11-21,13:38:53.265:,13:38:53.336:,t
2019-11-21,13:38:53.361:,13:38:53.624:,o
2019-11-21,13:38:53.401:,13:38:53.448:,Key.space
2019-11-21,13:38:53.473:,13:38:53.528:,g
2019-11-21,13:38:53.553:,13:38:53.576:,o
2019-11-21,13:38:53.713:,13:38:53.785:,.
2019-11-21,13:38:55.754:,13:38:56.097:,Key.shift
2019-11-21,13:38:55.978:,13:38:56.073:,H
2019-11-21,13:38:56.097:,13:38:56.168:,u
2019-11-21,13:38:56.289:,13:38:56.448:,m
2019-11-21,13:38:56.329:,13:38:56.393:,p
2019-11-21,13:38:57.010:,13:38:57.073:,t
2019-11-21,13:38:57.161:,13:38:57.256:,y
2019-11-21,13:38:57.281:,13:38:57.448:,Key.space
2019-11-21,13:38:57.473:,13:38:57.592:,Key.shift
2019-11-21,13:38:57.521:,13:38:57.569:,D
2019-11-21,13:38:57.625:,13:38:57.730:,u
2019-11-21,13:38:57.859:,13:38:58.040:,m
2019-11-21,13:38:57.921:,13:38:57.992:,p
2019-11-21,13:38:58.073:,13:38:58.128:,t
2019-11-21,13:38:58.193:,13:38:58.272:,y
2019-11-21,13:38:58.289:,13:38:58.384:,Key.space
2019-11-21,13:38:58.417:,13:38:58.496:,s
2019-11-21,13:38:58.569:,13:38:58.640:,a
2019-11-21,13:38:58.753:,13:38:58.856:,t
2019-11-21,13:38:58.777:,13:38:58.808:,Key.space
2019-11-21,13:38:58.905:,13:38:59.216:,o
2019-11-21,13:38:58.985:,13:38:59.112:,n
2019-11-21,13:38:59.025:,13:38:59.056:,Key.space
2019-11-21,13:38:59.113:,13:38:59.144:,a
2019-11-21,13:38:59.297:,13:38:59.488:,Key.space
2019-11-21,13:38:59.377:,13:38:59.408:,w
2019-11-21,13:38:59.561:,13:38:59.697:,a
2019-11-21,13:38:59.617:,13:38:59.640:,l
2019-11-21,13:38:59.777:,13:39:00.080:,l
2019-11-21,13:38:59.873:,13:38:59.897:,.
2019-11-21,13:38:59.985:,13:39:00.009:,Key.space
2019-11-21,13:39:00.137:,13:39:00.456:,Key.shift
2019-11-21,13:39:00.241:,13:39:00.313:,H
2019-11-21,13:39:00.353:,13:39:00.376:,u
2019-11-21,13:39:00.625:,13:39:00.769:,m
2019-11-21,13:39:00.809:,13:39:00.976:,p
2019-11-21,13:39:00.913:,13:39:00.945:,t
2019-11-21,13:39:01.049:,13:39:01.224:,y
2019-11-21,13:39:01.121:,13:39:01.144:,Key.space
2019-11-21,13:39:01.345:,13:39:01.368:,Key.shift
2019-11-21,13:39:01.369:,13:39:01.512:,u
2019-11-21,13:39:01.370:,13:39:01.392:,d
2019-11-21,13:39:01.577:,13:39:01.801:,m
2019-11-21,13:39:01.689:,13:39:01.745:,p
2019-11-21,13:39:01.978:,13:39:02.041:,Key.backspace
2019-11-21,13:39:02.129:,13:39:02.208:,Key.backspace
2019-11-21,13:39:02.289:,13:39:02.360:,Key.backspace
2019-11-21,13:39:02.409:,13:39:02.656:,Key.backspace
2019-11-21,13:39:02.497:,13:39:02.520:,Key.shift
2019-11-21,13:39:02.553:,13:39:02.617:,D
2019-11-21,13:39:02.689:,13:39:02.769:,u
2019-11-21,13:39:02.849:,13:39:03.001:,m
2019-11-21,13:39:03.025:,13:39:03.144:,p
2019-11-21,13:39:03.169:,13:39:03.224:,t
2019-11-21,13:39:03.305:,13:39:03.392:,y
2019-11-21,13:39:03.417:,13:39:03.520:,Key.space
2019-11-21,13:39:03.633:,13:39:03.856:,h
2019-11-21,13:39:03.745:,13:39:03.776:,a
2019-11-21,13:39:03.993:,13:39:04.057:,Key.space
2019-11-21,13:39:04.241:,13:39:04.312:,Key.backspace
2019-11-21,13:39:04.409:,13:39:04.488:,d
2019-11-21,13:39:04.513:,13:39:04.593:,Key.space
2019-11-21,13:39:04.617:,13:39:04.729:,a
2019-11-21,13:39:04.730:,13:39:04.768:,Key.space
2019-11-21,13:39:04.801:,13:39:04.880:,g
2019-11-21,13:39:04.977:,13:39:05.065:,r
2019-11-21,13:39:05.161:,13:39:05.392:,e
2019-11-21,13:39:05.393:,13:39:05.416:,a
2019-11-21,13:39:05.505:,13:39:05.576:,t
2019-11-21,13:39:05.609:,13:39:05.688:,Key.space
2019-11-21,13:39:05.721:,13:39:05.768:,f
2019-11-21,13:39:05.873:,13:39:06.024:,a
2019-11-21,13:39:05.945:,13:39:05.992:,l
2019-11-21,13:39:06.097:,13:39:06.192:,l
2019-11-21,13:39:06.281:,13:39:06.728:,.
2019-11-21,13:39:06.376:,13:39:06.400:,Key.space
2019-11-21,13:39:06.473:,13:39:06.512:,Key.shift
2019-11-21,13:39:06.536:,13:39:06.601:,A
2019-11-21,13:39:06.641:,13:39:06.664:,l
2019-11-21,13:39:06.809:,13:39:06.888:,l
2019-11-21,13:39:06.889:,13:39:07.024:,Key.space
2019-11-21,13:39:06.937:,13:39:07.000:,t
2019-11-21,13:39:07.025:,13:39:07.121:,h
2019-11-21,13:39:07.145:,13:39:07.200:,e
2019-11-21,13:39:07.201:,13:39:07.336:,Key.space
2019-11-21,13:39:07.280:,13:39:07.304:,k
2019-11-21,13:39:07.433:,13:39:07.624:,i
2019-11-21,13:39:07.489:,13:39:07.600:,n
2019-11-21,13:39:07.537:,13:39:07.560:,g
2019-11-21,13:39:07.825:,13:39:07.952:,'
2019-11-21,13:39:07.953:,13:39:08.048:,s
2019-11-21,13:39:08.089:,13:39:08.184:,Key.space
2019-11-21,13:39:08.257:,13:39:08.448:,h
2019-11-21,13:39:08.321:,13:39:08.344:,o
2019-11-21,13:39:08.489:,13:39:08.568:,r
2019-11-21,13:39:08.706:,13:39:08.777:,s
2019-11-21,13:39:08.857:,13:39:08.928:,e
2019-11-21,13:39:09.017:,13:39:09.152:,s
2019-11-21,13:39:09.065:,13:39:09.105:,Key.space
2019-11-21,13:39:09.225:,13:39:09.336:,n
2019-11-21,13:39:09.249:,13:39:09.280:,a
2019-11-21,13:39:09.377:,13:39:09.512:,d
2019-11-21,13:39:09.553:,13:39:09.721:,a
2019-11-21,13:39:09.633:,13:39:09.665:,l
2019-11-21,13:39:09.817:,13:39:09.856:,l
2019-11-21,13:39:10.041:,13:39:10.217:,Key.backspace
2019-11-21,13:39:10.241:,13:39:10.272:,Key.backspace
2019-11-21,13:39:10.369:,13:39:10.424:,Key.backspace
2019-11-21,13:39:10.529:,13:39:10.584:,Key.backspace
2019-11-21,13:39:10.689:,13:39:10.721:,Key.backspace
2019-11-21,13:39:10.801:,13:39:10.952:,Key.backspace
2019-11-21,13:39:10.985:,13:39:11.064:,a
2019-11-21,13:39:11.065:,13:39:11.128:,n
2019-11-21,13:39:11.153:,13:39:11.216:,d
2019-11-21,13:39:11.241:,13:39:11.296:,Key.space
2019-11-21,13:39:11.562:,13:39:11.737:,a
2019-11-21,13:39:11.649:,13:39:11.672:,l
2019-11-21,13:39:11.825:,13:39:12.016:,l
2019-11-21,13:39:11.881:,13:39:11.912:,Key.space
2019-11-21,13:39:11.961:,13:39:11.992:,t
2019-11-21,13:39:12.049:,13:39:12.248:,h
2019-11-21,13:39:12.145:,13:39:12.168:,e
2019-11-21,13:39:12.249:,13:39:12.360:,Key.space
2019-11-21,13:39:12.288:,13:39:12.312:,k
2019-11-21,13:39:12.440:,13:39:12.664:,i
2019-11-21,13:39:12.480:,13:39:12.544:,n
2019-11-21,13:39:12.568:,13:39:12.592:,g
2019-11-21,13:39:12.713:,13:39:12.800:,;
2019-11-21,13:39:12.801:,13:39:12.944:,s
2019-11-21,13:39:12.945:,13:39:13.024:,Key.space
2019-11-21,13:39:13.241:,13:39:13.320:,Key.backspace
2019-11-21,13:39:13.416:,13:39:13.464:,Key.backspace
2019-11-21,13:39:13.529:,13:39:13.608:,Key.backspace
2019-11-21,13:39:13.689:,13:39:13.809:,'
2019-11-21,13:39:13.809:,13:39:13.864:,s
2019-11-21,13:39:13.888:,13:39:13.960:,Key.space
2019-11-21,13:39:13.961:,13:39:14.080:,m
2019-11-21,13:39:14.112:,13:39:14.200:,e
2019-11-21,13:39:14.201:,13:39:14.313:,n
2019-11-21,13:39:14.873:,13:39:14.976:,Key.space
2019-11-21,13:39:15.001:,13:39:15.288:,Key.shift
2019-11-21,13:39:15.113:,13:39:15.184:,C
2019-11-21,13:39:15.185:,13:39:15.265:,o
2019-11-21,13:39:15.313:,13:39:15.368:,u
2019-11-21,13:39:15.545:,13:39:15.664:,l
2019-11-21,13:39:15.688:,13:39:15.880:,d
2019-11-21,13:39:15.785:,13:39:15.808:,n
2019-11-21,13:39:16.048:,13:39:16.104:,;
2019-11-21,13:39:16.345:,13:39:16.416:,Key.backspace
2019-11-21,13:39:16.496:,13:39:16.592:,;
2019-11-21,13:39:16.664:,13:39:16.704:,t
2019-11-21,13:39:16.977:,13:39:17.056:,Key.backspace
2019-11-21,13:39:17.137:,13:39:17.216:,Key.backspace
2019-11-21,13:39:17.289:,13:39:17.368:,'
2019-11-21,13:39:17.393:,13:39:17.464:,t
2019-11-21,13:39:17.496:,13:39:17.576:,Key.space
2019-11-21,13:39:17.600:,13:39:17.888:,p
2019-11-21,13:39:17.753:,13:39:17.776:,u
2019-11-21,13:39:17.913:,13:39:17.968:,t
2019-11-21,13:39:17.993:,13:39:18.080:,Key.space
2019-11-21,13:39:18.378:,13:39:18.624:,Key.shift
2019-11-21,13:39:18.521:,13:39:18.544:,H
2019-11-21,13:39:18.545:,13:39:18.592:,u
2019-11-21,13:39:18.713:,13:39:18.936:,m
2019-11-21,13:39:18.809:,13:39:18.832:,p
2019-11-21,13:39:18.936:,13:39:18.968:,t
2019-11-21,13:39:19.065:,13:39:19.160:,y
2019-11-21,13:39:19.177:,13:39:19.264:,Key.space
2019-11-21,13:39:19.425:,13:39:19.569:,t
2019-11-21,13:39:19.489:,13:39:19.514:,o
2019-11-21,13:39:19.633:,13:39:19.705:,g
2019-11-21,13:39:19.801:,13:39:19.872:,e
2019-11-21,13:39:19.953:,13:39:20.024:,t
2019-11-21,13:39:20.049:,13:39:20.160:,h
2019-11-21,13:39:20.184:,13:39:20.256:,e
2019-11-21,13:39:20.288:,13:39:20.369:,r
2019-11-21,13:39:20.465:,13:39:20.496:,Key.space
2019-11-21,13:39:20.520:,13:39:20.608:,a
2019-11-21,13:39:20.745:,13:39:20.792:,g
2019-11-21,13:39:20.929:,13:39:21.144:,a
2019-11-21,13:39:20.976:,13:39:21.008:,i
2019-11-21,13:39:21.040:,13:39:21.096:,n
2019-11-21,13:39:21.248:,13:39:21.320:,.
2019-11-21,13:39:23.050:,13:39:23.297:,Key.shift
2019-11-21,13:39:23.610:,13:39:23.888:,Key.shift
2019-11-21,13:39:23.801:,13:39:23.865:,T
2019-11-21,13:39:23.985:,13:39:24.240:,w
2019-11-21,13:39:24.081:,13:39:24.104:,n
2019-11-21,13:39:24.273:,13:39:24.368:,k
2019-11-21,13:39:24.641:,13:39:24.705:,Key.backspace
2019-11-21,13:39:24.865:,13:39:24.992:,Key.backspace
2019-11-21,13:39:25.113:,13:39:25.336:,i
2019-11-21,13:39:25.193:,13:39:25.272:,n
2019-11-21,13:39:25.384:,13:39:25.481:,k
2019-11-21,13:39:25.585:,13:39:25.706:,l
2019-11-21,13:39:25.729:,e
2019-11-21,13:39:25.793:,13:39:25.840:,.
2019-11-21,13:39:26.293:,.
2019-11-21,13:39:26.324:,.
2019-11-21,13:39:26.354:,13:39:26.384:,.
2019-11-21,13:39:26.385:,13:39:26.409:,w
2019-11-21,13:39:26.385:,13:39:26.408:,i
2019-11-21,13:39:26.585:,13:39:26.648:,Key.backspace
2019-11-21,13:39:26.737:,13:39:26.816:,Key.backspace
2019-11-21,13:39:26.913:,13:39:26.984:,Key.backspace
2019-11-21,13:39:27.072:,13:39:27.128:,Key.backspace
2019-11-21,13:39:27.241:,13:39:27.352:,Key.backspace
2019-11-21,13:39:27.376:,13:39:27.537:,Key.space
2019-11-21,13:39:27.449:,13:39:27.480:,t
2019-11-21,13:39:27.657:,13:39:28.040:,w
2019-11-21,13:39:27.681:,13:39:27.770:,i
2019-11-21,13:39:27.771:,13:39:27.793:,n
2019-11-21,13:39:27.921:,13:39:27.976:,k
2019-11-21,13:39:28.128:,13:39:28.232:,l
2019-11-21,13:39:28.521:,13:39:28.649:,e
2019-11-21,13:39:28.729:,13:39:28.880:,.
2019-11-21,13:39:28.905:,13:39:28.968:,Key.space
2019-11-21,13:39:29.032:,13:39:29.144:,l
2019-11-21,13:39:29.216:,13:39:29.353:,i
2019-11-21,13:39:29.289:,13:39:29.352:,t
2019-11-21,13:39:29.425:,13:39:29.512:,t
2019-11-21,13:39:29.513:,13:39:29.585:,l
2019-11-21,13:39:29.617:,13:39:29.856:,e
2019-11-21,13:39:29.641:,13:39:29.664:,Key.space
2019-11-21,13:39:29.761:,13:39:29.784:,s
2019-11-21,13:39:29.969:,13:39:30.008:,t
2019-11-21,13:39:30.128:,13:39:30.224:,a
2019-11-21,13:39:30.393:,13:39:30.416:,r
