date,press,release,identity
2019-11-21,11:43:37.109:,11:43:37.313:,Key.shift_r
2019-11-21,11:43:37.227:,11:43:37.258:,T
2019-11-21,11:43:37.426:,11:43:37.489:,h
2019-11-21,11:43:37.514:,11:43:37.569:,e
2019-11-21,11:43:37.602:,11:43:37.665:,Key.space
2019-11-21,11:43:37.794:,11:43:37.873:,i
2019-11-21,11:43:38.130:,11:43:38.202:,t
2019-11-21,11:43:38.354:,11:43:38.441:,s
2019-11-21,11:43:38.466:,11:43:38.529:,y
2019-11-21,11:43:38.666:,11:43:38.730:,Key.space
2019-11-21,11:43:38.882:,11:43:39.041:,b
2019-11-21,11:43:38.954:,11:43:38.985:,i
2019-11-21,11:43:39.097:,11:43:39.170:,t
2019-11-21,11:43:39.307:,11:43:39.418:,s
2019-11-21,11:43:39.458:,11:43:39.537:,y
2019-11-21,11:43:39.690:,11:43:39.770:,Key.space
2019-11-21,11:43:40.259:,11:43:40.346:,s
2019-11-21,11:43:40.378:,11:43:40.473:,p
2019-11-21,11:43:40.562:,11:43:40.697:,i
2019-11-21,11:43:40.626:,11:43:40.649:,d
2019-11-21,11:43:40.722:,11:43:40.785:,e
2019-11-21,11:43:40.810:,11:43:40.905:,r
2019-11-21,11:43:40.946:,11:43:41.057:,Key.space
2019-11-21,11:43:41.579:,11:43:41.657:,c
2019-11-21,11:43:41.730:,11:43:41.785:,l
2019-11-21,11:43:41.906:,11:43:41.969:,i
2019-11-21,11:43:42.082:,11:43:42.161:,m
2019-11-21,11:43:42.250:,11:43:42.394:,b
2019-11-21,11:43:42.434:,11:43:42.633:,e
2019-11-21,11:43:42.546:,11:43:42.569:,d
2019-11-21,11:43:42.722:,11:43:42.794:,Key.space
2019-11-21,11:43:43.803:,11:43:43.866:,u
2019-11-21,11:43:43.978:,11:43:44.057:,p
2019-11-21,11:43:44.202:,11:43:44.265:,Key.space
2019-11-21,11:43:44.290:,11:43:44.370:,t
2019-11-21,11:43:44.426:,11:43:44.505:,h
