keyname,timepress,timerelease
shift,0,493
t,365,461
h,893,1004
e,1053,1180
space,1181,1316
i,1357,1485
t,1486,1605
s,1685,1909
y,2461,2573
space,2957,3084
b,3085,3180
i,3181,3340
t,3381,3476
s,3525,3693
y,3709,3829
space,3853,3956
s,3989,4140
p,4180,4372
i,4396,4564
d,4542,4620
e,4701,4829
r,4853,4988
space,4933,5084
c,5181,5308
l,5285,5420
i,5396,5565
m,5566,5652
b,5782,5868
e,5845,5940
r,5981,6108
backspace,6437,6581
d,6557,6676
space,6813,6933
u,7021,7156
p,7133,7244
space,7269,7380
t,7437,7508
h,7477,7636
e,7605,7700
space,7661,7764
w,7789,7868
a,7949,8156
t,8293,8396
e,8420,8556
r,8557,8716
s,8693,8813
p,8997,9108
o,9109,9252
u,9292,9396
t,9420,9516
.,9645,9765
space,9797,9900
shift,10069,10364
d,10229,10348
w,10549,10693
backspace,11029,11116
o,11293,11404
w,11373,11484
n,11508,11620
space,11660,11789
c,12053,12124
a,12140,12300
m,12276,12412
e,12428,12532
space,12604,12716
t,12781,12892
h,12861,12964
e,12916,13052
space,13052,13268
r,13292,13380
a,13404,13572
i,13524,13652
n,13596,13757
space,14001,14140
a,14118,14260
n,14236,14396
d,14397,14556
space,14524,14701
w,14798,14837
a,15173,15308
s,15333,15500
h,15501,15628
e,15660,15724
d,15845,15972
space,15917,16052
t,16541,16668
h,16620,16764
e,16804,16964
space,16941,17036
s,17172,17372
p,17300,17444
i,17476,17604
d,17572,17652
e,17741,17845
r,17869,18060
space,17997,18124
o,18332,18484
u,18460,18580
t,18853,18973
.,19005,19140
shift,22542,22773
m,22709,22828
a,22876,23044
r,23021,23172
y,23140,23260
space,23284,23388
h,23468,23588
a,23532,23652
d,23676,23812
space,23797,23908
a,23884,24108
space,24037,24188
l,24164,24308
i,24284,24412
t,24437,24492
t,24589,24692
l,24781,24916
e,24885,25036
space,24997,25092
l,25157,25340
a,25341,25436
b,25461,25532
backspace,25805,25884
m,26045,26124
b,26253,26324
comma,26661,26772
space,26829,26940
shift,27486,27740
w,27669,27741
h,27821,27956
o,27933,28084
s,28069,28156
e,28221,28340
space,28364,28492
f,28540,28757
l,28733,28812
e,28860,28932
e,29005,29076
c,29197,29276
e,29421,29540
space,29596,29708
w,29677,29821
a,29844,29988
s,29941,30133
space,30052,30196
w,30349,30500
h,30540,30700
i,30676,30821
t,30724,30860
e,30980,31180
space,31149,31284
a,31404,31612
s,31652,31828
space,31773,31892
s,31932,32076
n,32077,32204
o,32173,32316
w,32236,32364
.,33157,33277
space,33324,33428
shift,33508,33724
a,33620,33748
n,33772,33868
d,33988,34004
space,34068,34204
w,34277,34356
backspace,34589,34716
e,34692,34780
v,34892,34980
e,35068,35180
r,35164,35309
y,35324,35420
w,35500,35628
h,35668,35820
e,35836,35956
backspace,36229,36285
e,36557,36708
r,36757,36860
e,36884,37044
space,36996,37100
t,37180,37301
h,37302,37404
a,37324,37492
t,37404,37572
space,37492,37612
shift,37974,38196
m,38125,38260
a,38236,38396
r,38412,38588
y,38564,38676
space,38676,38757
w,38933,39044
e,39068,39220
n,39397,39532
t,39813,39956
comma,40156,40292
space,40269,40388
t,40460,40572
h,40540,40676
e,40660,40828
space,40749,40884
backspace,41173,41236
backspace,41317,41389
backspace,41479,41533
backspace,41620,41708
backspace,42141,42244
space,43477,43564
shift,43588,43892
t,43789,43868
h,43988,44060
e,44132,44276
space,44252,44396
l,44613,44708
a,44724,44877
m,44878,44972
b,45092,45212
space,45244,45428
w,45348,45484
a,45485,45660
s,45613,45812
space,45716,45836
s,45892,46028
u,46004,46108
r,46148,46268
e,46292,46436
space,46436,46492
t,46572,46692
o,46636,46764
space,46749,46836
g,46892,47020
o,46988,47132
.,47244,47364
shift,50550,50957
h,50845,50980
y,51116,51220
backspace,51869,52004
u,52213,52308
m,52468,52605
p,52620,52772
t,52828,52956
y,52988,53084
