keyname,timepress,timerelease
shift,0,180
t,109,156
h,349,404
e,685,884
space,1132,1212
i,1877,1932
t,2533,2596
s,2693,2756
y,2964,3020
space,3949,4044
b,4949,5028
i,5229,5300
t,5709,5788
s,6132,6212
y,6405,6460
space,7213,7309
s,7973,8028
p,8052,8108
i,8204,8260
d,8292,8348
e,8436,8516
r,8612,8676
space,8716,8780
c,9709,9764
l,9813,9876
i,10036,10092
m,10501,10556
b,10724,10780
e,10828,10876
d,10980,11052
space,11933,12012
u,12269,12340
p,12780,12853
space,13092,13148
t,15240,15292
h,15412,15460
e,15484,15532
space,15628,15692
w,16709,16764
a,16884,16957
t,17076,17132
e,17228,17300
r,17396,17460
s,20565,20661
p,20716,20772
o,20884,20940
u,21109,21172
t,21365,21420
.,22581,22668
space,22892,22964
shift,24734,24940
d,24868,24916
o,25277,25388
w,25460,25523
n,25556,25620
space,25716,25787
c,27021,27084
a,27221,27292
m,27356,27420
space,27508,27563
e,27532,27564
t,27684,27756
h,27852,27923
e,27948,27995
space,28020,28067
backspace,29045,29092
backspace,29213,29268
backspace,29372,29435
backspace,29524,29595
backspace,30012,30075
backspace,30180,30252
e,30861,30916
space,30956,31028
t,31108,31171
h,31269,31340
e,31364,31411
space,31428,31499
r,31668,31739
a,32020,32091
i,32333,32380
n,32532,32587
.,33421,33467
space,33940,33996
backspace,40069,40116
backspace,40252,40307
space,41837,41940
a,42196,42276
n,42340,42395
d,42493,42556
space,42588,42667
w,47141,47211
a,47332,47387
s,47508,47571
h,47612,47683
e,47732,47803
d,47908,47979
space,48004,48075
t,49605,49660
h,49780,49843
e,49868,49915
space,49988,50067
s,51037,51091
i,51636,51692
backspace,57845,57892
backspace,58412,58467
s,58973,59044
p,59076,59131
i,59268,59331
d,59420,59499
e,59596,59667
r,59756,59819
space,59843,59940
o,61205,61276
u,61476,61531
t,61684,61747
.,62797,62860
space,65101,65163
backspace,66245,66323
backspace,66444,66523
.,67461,67539
shift,81669,81860
m,81820,81861
a,82060,82131
r,82589,82675
y,82804,82867
space,83020,83067
h,83476,83532
a,83572,83643
d,83804,83867
space,83948,84019
a,84244,84315
space,84348,84428
l,84964,85027
i,85172,85227
t,85396,85460
t,85548,85627
l,85788,85851
e,85884,85939
space,86012,86099
l,86636,86691
a,86755,86811
m,86931,87003
b,87163,87219
.,90773,90843
space,91316,91403
shift,92165,92356
w,92308,92379
h,92828,92899
o,93284,93339
s,93580,93660
e,93868,93947
space,94044,94131
f,94829,94875
l,95068,95123
e,95211,95275
e,95380,95459
c,96109,96163
e,96308,96363
space,96572,96668
w,96844,96923
a,97051,97107
s,97211,97291
space,97316,97379
w,98084,98139
h,98203,98276
i,98316,98371
t,98508,98579
e,98651,98716
space,98740,98819
a,98851,98939
s,99043,99123
d,99075,99099
space,99123,99203
backspace,99765,99811
backspace,99939,99995
backspace,100083,100163
backspace,100292,100355
a,101484,101587
s,101691,101755
space,101836,101907
w,102540,102595
n,102659,102747
o,102844,102923
backspace,103332,103387
backspace,103508,103547
backspace,103884,103939
s,104227,104283
n,104347,104419
o,104475,104523
w,104579,104627
.,105636,105699
space,106068,106147
shift,106413,106723
a,106620,106724
n,106795,106851
d,106932,106995
space,107051,107139
e,108157,108227
v,108364,108427
e,108579,108651
r,108763,108827
y,109012,109075
w,109620,109691
h,109747,109803
e,109899,110004
r,110115,110179
e,110364,110491
space,110587,110691
t,111404,111467
h,111587,111643
a,111683,111739
t,111763,111843
space,111891,111963
shift,113277,113443
m,113412,113467
a,113571,113659
r,113851,113907
y,113955,114011
space,114092,114171
w,114572,114651
e,114771,114819
n,114875,114939
t,115108,115147
.,116716,116771
space,116883,116963
t,117372,117435
h,117555,117619
e,117683,117747
space,117827,117891
backspace,118237,118259
backspace,118411,118467
backspace,118579,118651
backspace,119996,120051
shift,120293,120483
t,120459,120523
h,120659,120715
e,120755,120811
space,120867,120955
l,121508,121563
a,121619,121683
m,121779,121851
b,121996,122059
space,122147,122227
w,122324,122443
a,122531,122611
s,122691,122771
space,122787,122867
s,131860,131947
u,132003,132059
r,132139,132203
e,132307,132379
space,132403,132483
t,132547,132627
o,132651,132699
space,132779,132851
g,133620,133683
o,133779,133843
.,134244,134299
shift,145437,145660
h,145611,145675
u,145739,145803
m,145939,146003
p,147180,147243
t,148268,148331
y,148516,148571
space,148948,149019
shift,149397,149803
d,149787,149827
u,150099,150163
m,150323,150395
p,150611,150675
t,150964,151027
y,151171,151227
space,151483,151563
s,152084,152155
a,152259,152331
t,152419,152507
space,152731,152819
o,153500,153555
n,153675,153731
space,153819,153883
a,153948,154019
space,154059,154115
w,154195,154251
a,154387,154459
l,154507,154555
l,154659,154731
.,155348,155427
space,155635,155723
shift,162157,162283
h,162260,162331
u,162411,162459
m,162587,162699
p,162835,162906
y,163107,163178
u,163139,163163
backspace,164468,164531
space,164955,165002
shift,166037,166388
shift,166523,166811
backspace,169828,169923
backspace,170035,170082
t,171132,171219
y,171316,171379
space,177452,177523
shift,177956,178219
d,178139,178243
u,178315,178395
m,178515,178570
p,180244,180307
t,180676,180731
y,180843,180899
space,181195,181275
h,182076,182139
a,182203,182299
d,182531,182595
space,182731,182787
a,182875,182938
space,182995,183058
g,183764,183835
r,183883,183954
e,184067,184146
a,184275,184370
t,184387,184450
space,184811,184898
f,185444,185506
a,185563,185619
l,185979,186034
l,186155,186210
.,186796,186874
space,187812,187899
shift,188147,188451
a,188411,188522
l,188731,188770
l,188923,188978
space,189123,189194
t,191748,191811
h,191931,191994
e,192035,192106
space,192155,192251
k,193836,193906
i,193995,194050
n,194203,194266
g,194395,194450
',200268,200338
s,201892,201954
space,201995,202050
h,202219,202290
o,202419,202498
r,202538,202602
s,202771,202858
e,202963,203027
a,204164,204234
n,204299,204362
d,204427,204482
space,204514,204570
backspace,206596,206642
backspace,206755,206802
backspace,206906,206954
backspace,207331,207410
s,208059,208123
space,208187,208266
a,208299,208378
n,208410,208466
d,208532,208610
space,208611,208674
a,209636,209706
l,209859,209914
l,209994,210058
space,210163,210307
t,210539,210594
h,210731,210786
e,210810,210866
space,210907,210986
k,211483,211546
i,211779,211842
n,211979,212042
g,212146,212203
;,212891,212954
backspace,213475,213538
',214011,214082
s,214699,214786
space,214867,214930
m,215051,215106
a,215186,215210
backspace,216044,216082
e,216139,216251
n,216427,216474
.,217283,217347
space,219772,219810
shift,219987,220234
c,220066,220130
o,220595,220666
u,220811,220866
l,221027,221098
d,221154,221210
n,221523,221602
',224492,224546
t,226267,226338
space,226931,227010
p,227556,227690
u,227842,227922
t,228042,228114
space,228226,228307
shift,229004,229474
h,229427,229506
u,229651,229706
m,230043,230130
p,231755,231810
t,232098,232154
y,232259,232314
space,232426,232514
shift,232948,233299
t,233587,233650
o,233819,233882
g,234034,234090
e,234122,234194
t,234218,234266
h,234378,234426
e,234450,234506
r,234594,234650
space,234674,234738
a,235291,235354
g,235482,235546
a,235602,235682
i,235666,235714
n,235819,235874
.,236595,236763
backspace,248299,248378
shift,260397,260604
t,260556,260606
w,260950,261019
i,261084,261139
n,261293,261429
k,262259,262314
e,262411,262466
l,263051,263106
backspace,263627,263690
backspace,263802,263866
l,264475,264538
e,264570,264634
.,265499,265578
space,265755,265834
t,266387,266506
w,266570,266634
i,266714,266778
n,266914,267034
k,267298,267354
l,267499,267570
e,267650,267714
.,267978,268050
space,268483,268563
l,270532,270586
i,271043,271106
t,271299,271354
t,271490,271506
l,271667,271722
e,271778,271834
space,271914,271994
s,272283,272362
t,272482,272538
a,272627,272706
r,272707,272770
.,274283,274410
space,274603,274682
shift,277428,277626
h,277594,277674
o,277762,277834
w,277922,277986
space,278090,278226
shift,278387,278546
i,278498,278570
space,278626,278706
w,279002,279074
o,279098,279130
n,279290,279346
d,279474,279554
e,279658,279730
r,279802,279874
space,280002,280082
backspace,281131,281170
space,281667,281755
w,282875,282962
h,283026,283090
a,283146,283226
t,283250,283282
space,283362,283418
y,283634,283690
o,284491,284538
u,284674,284730
space,285435,285474
a,288379,288458
r,288658,288682
e,289419,289498
shift,289972,290379
shift,290410,290714
shift,291364,291770
!,291618,291746
space,293083,293146
shift,293611,293778
u,293738,293801
p,293962,294018
space,294226,294314
a,295299,295362
b,295418,295465
o,295634,295697
v,295898,295954
e,296026,296082
space,297315,297410
t,298131,298186
h,298306,298417
e,298442,298457
space,298498,298569
w,299219,299282
o,299602,299649
r,300066,300122
l,300235,300298
d,300562,300625
space,300714,300785
s,300850,300921
o,300962,301025
space,301146,301210
h,301323,301433
i,301458,301529
g,301666,301729
h,301834,301897
.,302851,302906
space,303098,303177
shift,303467,303634
l,303602,303657
i,303762,303817
k,303930,304001
e,304026,304081
space,304162,304225
a,304275,304354
space,304394,304473
d,305122,305193
i,305250,305306
a,305362,305441
m,306130,306177
o,306323,306386
n,306538,306593
d,307731,307793
space,307874,307977
i,308082,308129
n,308250,308313
space,308354,308417
t,308498,308553
h,308650,308721
e,308746,308785
space,308834,308914
s,309210,309274
k,309298,309362
i,309458,309513
backspace,310283,310345
y,310610,310682
.,311138,311209
