keyname,timepress,timerelease
shift,0,166
t,117,205
h,357,412
e,389,492
space,564,644
i,1390,1461
t,1484,1572
s,1732,1852
y,1829,1900
space,2020,2108
b,2957,3165
i,3037,3188
t,3189,3212
s,3341,3468
y,3445,3508
space,3636,3716
s,4454,4564
p,4588,4660
i,4756,4836
d,4813,4892
e,4860,4948
r,4972,5092
space,5068,5164
c,5717,5812
l,5852,5924
i,6036,6092
m,6197,6260
b,6381,6460
e,6436,6580
d,6676,6820
space,6940,7028
u,7661,7740
p,7772,7828
space,7964,8044
t,8877,9004
h,8989,9052
e,9100,9188
space,9260,9324
w,9421,9516
a,9604,9708
t,9740,9804
e,9828,9924
r,9900,10004
s,10100,10212
p,10292,10380
r,10541,10644
o,10668,10764
u,10925,10940
t,10964,11068
.,13054,13133
space,13813,13924
shift,14294,14661
d,14597,14661
o,14796,14876
w,14900,14980
n,15116,15180
space,15308,15388
c,15885,16004
a,16052,16172
m,16196,16276
e,16252,16340
space,16388,16444
t,16500,16628
h,16629,16700
e,16684,16780
space,16828,16916
r,16892,16980
a,17108,17189
i,17189,17292
n,17268,17340
.,18149,18204
space,18268,18372
backspace,18965,19052
space,19292,19356
backspace,19628,19700
backspace,19780,19860
space,20068,20140
a,20205,20292
n,20452,20524
d,20548,20636
space,20669,20748
w,21621,21717
a,21829,21892
s,21892,22036
h,22156,22228
e,22196,22324
d,22300,22412
space,22484,22564
t,23261,23356
h,23428,23492
e,23524,23596
space,23684,23757
s,23780,23852
p,23972,24060
i,24108,24188
d,24140,24244
e,24220,24300
r,24324,24420
space,24468,24548
o,25165,25260
u,25237,25308
t,25364,25484
.,25708,25789
left,33261,33492
left,33564,33652
left,33724,33796
left,33884,33964
left,34044,34132
left,34229,34300
left,34396,34484
left,34564,34732
left,34772,34876
left,34972,35052
right,35189,35268
right,35380,35436
right,35556,35620
delete,35997,36068
shift,39094,39404
m,39325,39380
a,39428,39516
r,39612,39708
y,39788,39868
space,40020,40076
h,40173,40252
a,40253,40388
d,40364,40460
space,40484,40540
a,40564,40652
space,40652,40708
l,40844,40964
i,41076,41141
t,41173,41236
t,41332,41412
l,41492,41564
e,41588,41668
space,41756,41812
l,41940,42004
a,42028,42084
m,42149,42204
b,42348,42420
.,43821,43900
space,44020,44156
backspace,44645,44708
backspace,44836,44900
comma,45581,45644
space,45732,45796
shift,45917,46084
w,46060,46085
h,46285,46396
o,46372,46452
s,46452,46572
e,46572,46676
space,46732,46820
f,47421,47524
l,47572,47636
e,47668,47724
e,47820,47900
c,48132,48212
e,48276,48372
space,48444,48524
w,49157,49236
a,49381,49532
s,49508,49636
space,50028,50084
w,50276,50380
h,50604,50764
i,50740,50844
t,50924,51036
e,50988,51092
space,51148,51212
a,51260,51372
s,51340,51460
space,51476,51540
s,51692,51812
n,52044,52132
o,52100,52188
w,52292,52396
.,52516,52596
space,52716,52852
shift,53894,54132
a,54092,54172
n,54348,54420
d,54452,54508
space,54580,54628
e,54628,54716
v,54836,54876
e,54980,55083
r,55060,55156
u,55228,55292
backspace,55580,55660
y,55844,55940
w,55964,56019
h,56044,56107
e,56140,56260
r,56236,56347
e,56324,56443
space,56508,56596
t,58093,58189
h,58268,58332
a,58356,58452
t,58476,58548
space,58572,58636
shift,58796,59036
m,59012,59067
a,59148,59244
r,59268,59348
y,59372,59420
space,59581,59660
w,59700,59828
e,59804,59892
n,59940,60020
t,60092,60204
space,60228,60308
backspace,60893,60972
comma,61653,61716
space,61820,61867
shift,61980,62076
t,62052,62140
h,62260,62332
e,62356,62436
space,62460,62540
l,63565,63644
a,63700,63780
m,63836,63907
b,64068,64140
space,64252,64339
w,64604,64700
a,64820,64947
s,64924,65051
space,65084,65139
s,65413,65628
u,65652,65668
r,65988,66132
e,66092,66188
space,66284,66419
t,66789,66868
o,66908,66980
space,67100,67180
g,67204,67275
o,67308,67363
.,67644,67732
shift,72798,73077
h,72989,73052
u,73300,73388
m,73476,73556
p,73676,73740
t,73949,74052
y,74020,74156
space,74204,74292
shift,74828,75396
d,75317,75397
u,75564,75636
m,75748,75827
p,75933,76028
t,76029,76140
y,76116,76212
space,76236,76292
s,77333,77436
a,77388,77507
t,77532,77588
space,77708,77788
o,77957,78060
n,78004,78091
a,78196,78324
space,78300,78387
w,78460,78524
a,78644,78756
l,78756,78828
l,78892,78988
comma,79461,79540
space,79660,79740
shift,81014,81756
h,81653,81732
u,81908,81996
m,82092,82173
p,82276,82388
t,82460,82563
y,82756,82828
space,82964,83060
shift,83406,83884
d,83796,83907
u,84069,84124
m,84244,84316
p,84420,84507
t,84636,84748
y,84860,84948
space,84948,85020
h,85941,86004
a,86036,86180
d,86157,86267
space,86316,86387
a,86476,86571
space,86596,86643
g,87261,87372
r,87340,87467
e,87580,87659
a,87780,87891
t,87860,87955
space,88076,88172
f,89421,89499
a,89540,89659
l,89940,90012
l,90148,90180
.,90316,90395
space,90540,90675
shift,90941,91140
a,91084,91179
l,91292,91355
l,91436,91507
space,91620,91691
t,91716,91795
h,91828,91891
e,91916,91979
space,92020,92099
k,93165,93227
