date,press,release,identity
2019-11-21,13:40:12.435:,13:40:12.673:,Key.shift
2019-11-21,13:40:12.585:,13:40:12.673:,T
2019-11-21,13:40:12.688:,13:40:12.760:,h
2019-11-21,13:40:12.792:,13:40:13.056:,e
2019-11-21,13:40:12.880:,13:40:12.904:,Key.space
2019-11-21,13:40:12.952:,13:40:12.976:,i
2019-11-21,13:40:13.080:,13:40:13.112:,t
2019-11-21,13:40:13.208:,13:40:13.448:,s
2019-11-21,13:40:13.280:,13:40:13.304:,y
2019-11-21,13:40:13.368:,13:40:13.392:,Key.space
2019-11-21,13:40:13.521:,13:40:13.705:,b
2019-11-21,13:40:13.593:,13:40:13.616:,o
2019-11-21,13:40:13.616:,13:40:13.680:,i
2019-11-21,13:40:13.706:,13:40:13.752:,t
2019-11-21,13:40:14.000:,13:40:14.080:,Key.backspace
2019-11-21,13:40:14.152:,13:40:14.248:,Key.backspace
2019-11-21,13:40:14.312:,13:40:14.424:,Key.backspace
2019-11-21,13:40:14.424:,13:40:14.568:,i
2019-11-21,13:40:14.520:,13:40:14.544:,t
2019-11-21,13:40:14.689:,13:40:14.760:,s
2019-11-21,13:40:14.848:,13:40:14.896:,y
2019-11-21,13:40:14.912:,13:40:14.992:,Key.space
2019-11-21,13:40:15.016:,13:40:15.352:,s
2019-11-21,13:40:15.104:,13:40:15.128:,p
2019-11-21,13:40:15.176:,13:40:15.200:,i
2019-11-21,13:40:15.296:,13:40:15.320:,d
2019-11-21,13:40:15.416:,13:40:15.512:,e
2019-11-21,13:40:15.544:,13:40:15.681:,r
2019-11-21,13:40:15.682:,13:40:15.728:,Key.space
2019-11-21,13:40:15.752:,13:40:15.824:,c
2019-11-21,13:40:15.824:,13:40:15.872:,l
2019-11-21,13:40:15.968:,13:40:16.184:,i
2019-11-21,13:40:16.040:,13:40:16.104:,m
2019-11-21,13:40:16.128:,13:40:16.160:,b
2019-11-21,13:40:16.296:,13:40:16.376:,e
2019-11-21,13:40:16.440:,13:40:16.528:,d
2019-11-21,13:40:16.552:,13:40:16.768:,Key.space
2019-11-21,13:40:16.609:,13:40:16.648:,u
2019-11-21,13:40:16.769:,13:40:16.784:,p
2019-11-21,13:40:16.784:,13:40:16.880:,Key.space
2019-11-21,13:40:16.808:,13:40:16.856:,t
2019-11-21,13:40:16.880:,13:40:16.952:,h
2019-11-21,13:40:17.000:,13:40:17.168:,e
2019-11-21,13:40:17.056:,13:40:17.080:,Key.space
2019-11-21,13:40:17.192:,13:40:17.360:,w
2019-11-21,13:40:17.408:,13:40:17.472:,a
2019-11-21,13:40:17.601:,13:40:17.656:,t
2019-11-21,13:40:17.761:,13:40:17.824:,e
2019-11-21,13:40:17.872:,13:40:17.936:,r
2019-11-21,13:40:18.040:,13:40:18.192:,s
2019-11-21,13:40:18.104:,13:40:18.152:,p
2019-11-21,13:40:18.328:,13:40:18.456:,o
2019-11-21,13:40:18.344:,13:40:18.392:,u
2019-11-21,13:40:18.641:,13:40:18.704:,.
2019-11-21,13:40:18.736:,13:40:18.840:,Key.space
2019-11-21,13:40:18.888:,13:40:19.432:,Key.shift
2019-11-21,13:40:19.312:,13:40:19.376:,D
2019-11-21,13:40:19.456:,13:40:19.553:,o
2019-11-21,13:40:19.729:,13:40:19.792:,Key.backspace
2019-11-21,13:40:19.896:,13:40:19.952:,Key.backspace
2019-11-21,13:40:20.048:,13:40:20.112:,Key.backspace
2019-11-21,13:40:20.200:,13:40:20.400:,Key.backspace
2019-11-21,13:40:20.296:,13:40:20.320:,t
2019-11-21,13:40:20.512:,13:40:20.592:,Key.space
2019-11-21,13:40:20.616:,13:40:20.713:,.
2019-11-21,13:40:20.824:,13:40:20.904:,Key.backspace
2019-11-21,13:40:20.984:,13:40:21.056:,Key.backspace
2019-11-21,13:40:21.096:,13:40:21.440:,.
2019-11-21,13:40:21.208:,13:40:21.232:,Key.space
2019-11-21,13:40:21.280:,13:40:21.408:,Key.shift
2019-11-21,13:40:21.336:,13:40:21.360:,D
2019-11-21,13:40:21.464:,13:40:21.728:,o
2019-11-21,13:40:21.592:,13:40:21.616:,w
2019-11-21,13:40:21.640:,13:40:21.672:,n
2019-11-21,13:40:21.849:,13:40:21.864:,Key.space
2019-11-21,13:40:22.008:,13:40:22.096:,c
2019-11-21,13:40:22.192:,13:40:22.272:,a
2019-11-21,13:40:22.272:,13:40:22.352:,m
2019-11-21,13:40:22.376:,13:40:22.504:,e
2019-11-21,13:40:22.440:,13:40:22.464:,Key.space
2019-11-21,13:40:22.560:,13:40:22.696:,t
2019-11-21,13:40:22.600:,13:40:22.632:,h
2019-11-21,13:40:22.809:,13:40:22.912:,Key.space
2019-11-21,13:40:23.112:,13:40:23.272:,Key.backspace
2019-11-21,13:40:23.184:,13:40:23.224:,e
2019-11-21,13:40:23.296:,13:40:23.432:,Key.space
2019-11-21,13:40:23.376:,13:40:23.408:,r
2019-11-21,13:40:23.560:,13:40:23.952:,a
2019-11-21,13:40:23.608:,13:40:23.640:,i
2019-11-21,13:40:23.640:,13:40:23.696:,n
2019-11-21,13:40:23.720:,13:40:23.768:,Key.space
2019-11-21,13:40:23.784:,13:40:23.840:,a
2019-11-21,13:40:23.872:,13:40:23.896:,n
2019-11-21,13:40:23.976:,13:40:24.128:,d
2019-11-21,13:40:24.048:,13:40:24.072:,Key.space
2019-11-21,13:40:24.160:,13:40:24.240:,w
2019-11-21,13:40:24.344:,13:40:24.416:,a
2019-11-21,13:40:24.496:,13:40:24.576:,s
2019-11-21,13:40:24.576:,13:40:24.752:,h
2019-11-21,13:40:24.688:,13:40:24.712:,e
2019-11-21,13:40:24.857:,13:40:24.992:,d
2019-11-21,13:40:24.896:,13:40:24.920:,Key.space
2019-11-21,13:40:25.040:,13:40:25.208:,t
2019-11-21,13:40:25.096:,13:40:25.128:,h
2019-11-21,13:40:25.224:,13:40:25.272:,e
2019-11-21,13:40:25.304:,13:40:25.720:,Key.space
2019-11-21,13:40:25.400:,13:40:25.432:,s
2019-11-21,13:40:25.480:,13:40:25.504:,p
2019-11-21,13:40:25.568:,13:40:25.592:,i
2019-11-21,13:40:25.648:,13:40:25.672:,d
2019-11-21,13:40:25.817:,13:40:25.928:,e
2019-11-21,13:40:26.248:,13:40:26.336:,e
2019-11-21,13:40:26.416:,13:40:26.504:,r
2019-11-21,13:40:26.528:,13:40:26.600:,Key.space
2019-11-21,13:40:26.769:,13:40:26.848:,Key.backspace
2019-11-21,13:40:26.928:,13:40:26.992:,Key.backspace
2019-11-21,13:40:27.056:,13:40:27.184:,Key.backspace
2019-11-21,13:40:27.104:,13:40:27.136:,r
2019-11-21,13:40:27.184:,13:40:27.440:,Key.space
2019-11-21,13:40:27.280:,13:40:27.312:,o
2019-11-21,13:40:27.344:,13:40:27.376:,u
2019-11-21,13:40:27.456:,13:40:27.496:,t
2019-11-21,13:40:27.552:,13:40:27.608:,.
2019-11-21,13:40:29.434:,13:40:29.913:,Key.shift
2019-11-21,13:40:29.737:,13:40:29.857:,M
2019-11-21,13:40:29.832:,13:40:29.856:,A
2019-11-21,13:40:30.016:,13:40:30.247:,r
2019-11-21,13:40:30.080:,13:40:30.104:,y
2019-11-21,13:40:30.168:,13:40:30.192:,Key.space
2019-11-21,13:40:30.272:,13:40:30.392:,h
2019-11-21,13:40:30.416:,13:40:30.432:,a
2019-11-21,13:40:30.496:,13:40:30.584:,d
2019-11-21,13:40:30.697:,13:40:30.792:,Key.backspace
2019-11-21,13:40:30.864:,13:40:30.937:,Key.backspace
2019-11-21,13:40:31.032:,13:40:31.096:,Key.backspace
2019-11-21,13:40:31.192:,13:40:31.256:,Key.backspace
2019-11-21,13:40:31.352:,13:40:31.416:,Key.backspace
2019-11-21,13:40:31.512:,13:40:31.576:,Key.backspace
2019-11-21,13:40:31.648:,13:40:31.728:,Key.backspace
2019-11-21,13:40:31.729:,13:40:31.832:,a
2019-11-21,13:40:31.929:,13:40:32.128:,r
2019-11-21,13:40:32.033:,13:40:32.048:,y
2019-11-21,13:40:32.128:,13:40:32.208:,Key.space
2019-11-21,13:40:32.240:,13:40:32.344:,h
2019-11-21,13:40:32.376:,13:40:32.384:,a
2019-11-21,13:40:32.464:,13:40:32.544:,d
2019-11-21,13:40:32.544:,13:40:32.632:,Key.space
2019-11-21,13:40:32.664:,13:40:32.952:,a
2019-11-21,13:40:32.698:,13:40:32.728:,Key.space
2019-11-21,13:40:32.776:,13:40:32.800:,l
2019-11-21,13:40:32.976:,13:40:33.072:,i
2019-11-21,13:40:33.136:,13:40:33.264:,t
