2019-11-03 15:25:07,054: 't'
2019-11-03 15:25:07,173: 'h'
2019-11-03 15:25:07,274: 'i'
2019-11-03 15:25:07,405: 's'
2019-11-03 15:25:07,533: Key.space
2019-11-03 15:25:07,758: 'i'
2019-11-03 15:25:07,831: 's'
2019-11-03 15:25:07,966: Key.space
2019-11-03 15:25:08,077: 'a'
2019-11-03 15:25:08,167: Key.space
2019-11-03 15:25:08,318: 't'
2019-11-03 15:25:08,422: 'e'
2019-11-03 15:25:08,661: 's'
2019-11-03 15:25:08,781: 't'
2019-11-03 15:25:23,414: Key.ctrl
2019-11-03 15:25:23,693: 'c'
2019-11-03 15:39:10,688: Key.ctrl
2019-11-03 15:39:13,256: Key.ctrl
2019-11-03 15:39:14,111: 'c'
2019-11-03 15:40:05,775: 'f'
2019-11-03 15:40:07,814: Key.backspace
2019-11-03 15:40:14,942: 'f'
2019-11-03 15:40:15,502: 'd'
2019-11-03 15:40:16,110: 's'
2019-11-03 15:40:17,518: Key.backspace
2019-11-03 15:40:17,678: Key.backspace
2019-11-03 15:40:17,798: Key.backspace
2019-11-03 15:40:21,110: 'f'
2019-11-03 15:40:21,518: 'd'
2019-11-03 15:40:22,582: Key.backspace
2019-11-03 15:40:22,726: Key.backspace
2019-11-03 15:40:23,478: 'f'
2019-11-03 15:40:23,702: 'h'
2019-11-03 15:40:23,734: 'd'
2019-11-03 15:40:23,918: 'h'
2019-11-03 15:40:24,038: 'd'
2019-11-03 15:40:24,254: Key.backspace
2019-11-03 15:40:24,390: Key.backspace
2019-11-03 15:40:24,526: Key.backspace
2019-11-03 15:40:24,662: Key.backspace
2019-11-03 15:40:24,782: Key.backspace
2019-11-03 15:40:24,878: Key.backspace
2019-11-03 15:40:47,138: Key.ctrl
2019-11-03 15:40:47,353: 'c'
